"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_3QDj7DbSS3G2RwBDn",1515481,"new_entry","correction","NA",NA,"On March 12, the Peruvian government suspends face-to-face courses in all schools (public and private) with a duration until March 30. 
On April 1, the measure is extended until May 4.",2020-03-12,2020-03-12,2020-05-03,"Peru","PER","PE","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Peru",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Military,Provincial/State Government,Municipal Government,Police",51.6345224820299,50.5283520287435,49.4148741632197,99,"https://gestion.pe/peru/covid-19-minedu-colegios-privados-deben-presentar-plan-de-recuperacion-escolar-noticia/",2020-08-13,"2020-08-13 10:30:31"
"2","R_3QDj7DbSS3G2RwBDp",1515481,"new_entry","correction","NA",NA,"On March 12, the Peruvian government suspends face-to-face courses in all schools (public and private) with a duration until March 30. 
On April 1, the measure is extended until May 4.",2020-03-12,2020-03-12,2020-05-03,"Peru","PER","PE","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Peru",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Military,Provincial/State Government,Municipal Government,Police",51.6345224820299,50.5283520287435,49.4148741632197,99,"https://gestion.pe/peru/covid-19-minedu-colegios-privados-deben-presentar-plan-de-recuperacion-escolar-noticia/",2020-08-13,"2020-08-13 10:30:31"
"3","R_3QDj7DbSS3G2RwBEn",1515481,"new_entry","correction","NA",NA,"On March 12, the Peruvian government suspends face-to-face courses in all schools (public and private) with a duration until March 30. 
On April 1, the measure is extended until May 4.",2020-03-12,2020-03-12,2020-05-03,"Peru","PER","PE","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Peru",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Military,Provincial/State Government,Municipal Government,Police",51.6345224820299,50.5283520287435,49.4148741632197,99,"https://gestion.pe/peru/covid-19-minedu-colegios-privados-deben-presentar-plan-de-recuperacion-escolar-noticia/",2020-08-13,"2020-08-13 10:30:31"
"4","R_3QDj7DbSS3G2RwBBy",1515481,"new_entry","correction","NA",NA,"On March 12, the Peruvian government suspends face-to-face courses in all schools (public and private) with a duration until March 30. 
On April 1, the measure is extended until May 4.",2020-03-12,2020-03-12,2020-05-03,"Peru","PER","PE","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"","Peru",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Military,Provincial/State Government,Municipal Government,Police",51.6345224820299,50.5283520287435,49.4148741632197,99,"https://gestion.pe/peru/covid-19-minedu-colegios-privados-deben-presentar-plan-de-recuperacion-escolar-noticia/",2020-08-13,"2020-08-13 10:30:31"
"5","R_u8RhKkek8fI2ZYBDn",488631,"new_entry","original","NA",NA,"On 12th March 2020, the Ministry of Education of Peru suspended or postponed the beginning of all face-to-face lessons on universities, technical-productive institutes, and higher education centres, both public and private, until 29th March 2020, allowing schools to begin lessons on 30th March 2020.",2020-03-12,2020-03-12,2020-05-03,"Peru","PER","PE","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"","Peru",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",51.6345224820299,50.5283520287435,49.4148741632197,99,"https://www.gob.pe/institucion/minedu/noticias/108801-minedu-suspende-clases-en-universidades-publicas-y-privadas-para-evitar-propagacion-del-coronavirus",2020-08-11,"2020-08-11 16:11:06"
"6","R_u8RhKkek8fI2ZYBDp",488631,"new_entry","original","NA",NA,"On 12th March 2020, the Ministry of Education of Peru suspended or postponed the beginning of all face-to-face lessons on universities, technical-productive institutes, and higher education centres, both public and private, until 29th March 2020, allowing schools to begin lessons on 30th March 2020.",2020-03-12,2020-03-12,2020-05-03,"Peru","PER","PE","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"","Peru",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",51.6345224820299,50.5283520287435,49.4148741632197,99,"https://www.gob.pe/institucion/minedu/noticias/108801-minedu-suspende-clases-en-universidades-publicas-y-privadas-para-evitar-propagacion-del-coronavirus",2020-08-11,"2020-08-11 16:11:06"
"7","R_u8RhKkek8fI2ZYBEn",488631,"new_entry","original","NA",NA,"On 12th March 2020, the Ministry of Education of Peru suspended or postponed the beginning of all face-to-face lessons on universities, technical-productive institutes, and higher education centres, both public and private, until 29th March 2020, allowing schools to begin lessons on 30th March 2020.",2020-03-12,2020-03-12,2020-05-03,"Peru","PER","PE","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"","Peru",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",51.6345224820299,50.5283520287435,49.4148741632197,99,"https://www.gob.pe/institucion/minedu/noticias/108801-minedu-suspende-clases-en-universidades-publicas-y-privadas-para-evitar-propagacion-del-coronavirus",2020-08-11,"2020-08-11 16:11:06"
"8","R_u8RhKkek8fI2ZYBBy",488631,"new_entry","original","NA",NA,"On 12th March 2020, the Ministry of Education of Peru suspended or postponed the beginning of all face-to-face lessons on universities, technical-productive institutes, and higher education centres, both public and private, until 29th March 2020, allowing schools to begin lessons on 30th March 2020.",2020-03-12,2020-03-12,2020-05-03,"Peru","PER","PE","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Peru",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",51.6345224820299,50.5283520287435,49.4148741632197,99,"https://www.gob.pe/institucion/minedu/noticias/108801-minedu-suspende-clases-en-universidades-publicas-y-privadas-para-evitar-propagacion-del-coronavirus",2020-08-11,"2020-08-11 16:11:06"
"9","R_1I71peaHd3kxwrpDn",1515481,"update","original","Change of Policy",NA,"On March 12, the Peruvian government suspends face-to-face courses in all schools (public and private) with a duration until March 30. 
On April 1, the measure is extended until May 4.
On April 18, the measure is extended indefinitely.",2020-03-12,2020-03-12,2020-05-03,"Peru","PER","PE","National",0,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Peru",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Military,Provincial/State Government,Municipal Government,Police",51.6345224820299,50.5283520287435,49.4148741632197,99,"https://gestion.pe/peru/covid-19-minedu-colegios-privados-deben-presentar-plan-de-recuperacion-escolar-noticia/",2020-08-10,"2020-08-10 16:47:32"
"10","R_1I71peaHd3kxwrpDp",1515481,"update","original","Change of Policy",NA,"On March 12, the Peruvian government suspends face-to-face courses in all schools (public and private) with a duration until March 30. 
On April 1, the measure is extended until May 4.
On April 18, the measure is extended indefinitely.",2020-03-12,2020-03-12,2020-05-03,"Peru","PER","PE","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Peru",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Military,Provincial/State Government,Municipal Government,Police",51.6345224820299,50.5283520287435,49.4148741632197,99,"https://gestion.pe/peru/covid-19-minedu-colegios-privados-deben-presentar-plan-de-recuperacion-escolar-noticia/",2020-08-10,"2020-08-10 16:47:32"
