"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_3mlPhA1uz05nIh0De",9855045,"update","correction",NA,NA,"Portugal suspended ""all classroom and non-teaching activities in schools at all levels of education as of next Monday, March 16""",2020-03-13,2020-03-16,2020-06-26,"Portugal","PRT","PT","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Portugal","One or more countries, but not all countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.7837612184018,51.7811140402672,50.5244036007671,121,"https://www.portugal.gov.pt/pt/gc22/governo/comunicado-de-conselho-de-ministros?i=330",2020-04-11,2020-04-11 06:38:03
"2","R_3mlPhA1uz05nIh0Ec",9855045,"update","correction",NA,NA,"Portugal suspended ""all classroom and non-teaching activities in schools at all levels of education as of next Monday, March 16""",2020-03-13,2020-03-16,2020-06-26,"Portugal","PRT","PT","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Portugal","One or more countries, but not all countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.7837612184018,51.7811140402672,50.5244036007671,121,"https://www.portugal.gov.pt/pt/gc22/governo/comunicado-de-conselho-de-ministros?i=330",2020-04-11,2020-04-11 06:38:03
"3","R_AtD00TV9UWVBkqJDe",1524797,"new_entry","original",NA,NA,"Portugal ""Council of Ministers changes the schedule for the  access to higher education in 2020""April 9 2020",2020-04-09,2020-04-09,NA,"Portugal","PRT","PT","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Portugal",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.0465950932366,53.1548530480491,52.2048130968349,112,"https://www.portugal.gov.pt/pt/gc22/comunicacao/noticia?i=conselho-de-ministros-altera-calendario-acesso-ensino-superior",2020-05-03,2020-05-03 18:08:07
"4","R_AtD00TV9UWVBkqJEc",1524797,"new_entry","original",NA,NA,"Portugal ""Council of Ministers changes the schedule for the  access to higher education in 2020""April 9 2020",2020-04-09,2020-04-09,NA,"Portugal","PRT","PT","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Portugal",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.0465950932366,53.1548530480491,52.2048130968349,112,"https://www.portugal.gov.pt/pt/gc22/comunicacao/noticia?i=conselho-de-ministros-altera-calendario-acesso-ensino-superior",2020-05-03,2020-05-03 18:08:07
"5","R_1QuTYo5gL7UygvkDe",9855045,"update","original",NA,"Strengthening","Portugal announced on April 9 measurements for the 3rd period of the academic year 2020. Most in-classroom-teaching remains suspended until the end of the academic year with the exception that  ""the Government may decide to resume face-to-face classes for the 11th and 12th years of schooling, guaranteeing social distance (classes, rooms, classes) and justifying the absences of students. students whose guardians choose not to attend;"" UPDATE: Educational institutions were supposed to be closed until April 13.As of April 9, the grades 11 and 12 may return to classroom teaching. All others are supposed to have virtual education.",2020-04-09,2020-04-14,2020-06-26,"Portugal","PRT","PT","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Portugal","One or more countries, but not all countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.3286367989124,53.0937135902433,51.0049360489056,101,"https://www.portugal.gov.pt/pt/gc22/governo/comunicado-de-conselho-de-ministros?i=340",2020-04-13,2020-04-13 09:35:05
"6","R_1QuTYo5gL7UygvkEc",9855045,"update","original",NA,"Strengthening","Portugal announced on April 9 measurements for the 3rd period of the academic year 2020. Most in-classroom-teaching remains suspended until the end of the academic year with the exception that  ""the Government may decide to resume face-to-face classes for the 11th and 12th years of schooling, guaranteeing social distance (classes, rooms, classes) and justifying the absences of students. students whose guardians choose not to attend;"" UPDATE: Educational institutions were supposed to be closed until April 13.As of April 9, the grades 11 and 12 may return to classroom teaching. All others are supposed to have virtual education.",2020-04-09,2020-04-14,2020-06-26,"Portugal","PRT","PT","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Portugal","One or more countries, but not all countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.3286367989124,53.0937135902433,51.0049360489056,101,"https://www.portugal.gov.pt/pt/gc22/governo/comunicado-de-conselho-de-ministros?i=340",2020-04-13,2020-04-13 09:35:05
"7","R_2XbU0X5pUsIFBDZDe",9855045,"update","original","End of Policy","Strengthening","Portugal suspended ""all classroom and non-teaching activities in schools at all levels of education as of next Monday, March 16"". As of May 18, Portugal reopens ""schools for 11th and 12th years, from 10 am to 5 pm, day care centers (with the option of supporting the family), and social facilities in the area of <U+200B><U+200B>disability"" UPDATE: All schools were closed. Now the final classes are allowed to go back as of May 18",2020-04-30,2020-05-18,2020-06-26,"Portugal","PRT","PT","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Portugal","One or more countries, but not all countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.portugal.gov.pt/pt/gc22/governo/comunicado-de-conselho-de-ministros?i=330",2020-05-03,2020-05-03 19:27:42
"8","R_2XbU0X5pUsIFBDZEc",9855045,"update","original","End of Policy","Strengthening","Portugal suspended ""all classroom and non-teaching activities in schools at all levels of education as of next Monday, March 16"". As of May 18, Portugal reopens ""schools for 11th and 12th years, from 10 am to 5 pm, day care centers (with the option of supporting the family), and social facilities in the area of <U+200B><U+200B>disability"" UPDATE: All schools were closed. Now the final classes are allowed to go back as of May 18",2020-04-30,2020-05-18,2020-06-26,"Portugal","PRT","PT","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Portugal","One or more countries, but not all countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.portugal.gov.pt/pt/gc22/governo/comunicado-de-conselho-de-ministros?i=330",2020-05-03,2020-05-03 19:27:42
"9","R_2VvIaUVRcQRV5HFDe",9855045,"update","original","End of Policy","Strengthening","Portugal suspended ""all classroom and non-teaching activities in schools at all levels of education as of next Monday, March 16"" Portugal announced ""Reopening of daycare centers, pre-school and ATL"" for June 1 UPDATE: Reopening of daycare centers, pre-school and ATL",2020-04-30,2020-06-01,2020-06-26,"Portugal","PRT","PT","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Portugal","One or more countries, but not all countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.portugal.gov.pt/pt/gc22/governo/comunicado-de-conselho-de-ministros?i=330",2020-05-03,2020-05-03 19:43:24
"10","R_2VvIaUVRcQRV5HFEc",9855045,"update","original","End of Policy","Strengthening","Portugal suspended ""all classroom and non-teaching activities in schools at all levels of education as of next Monday, March 16"" Portugal announced ""Reopening of daycare centers, pre-school and ATL"" for June 1 UPDATE: Reopening of daycare centers, pre-school and ATL",2020-04-30,2020-06-01,2020-06-26,"Portugal","PRT","PT","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Portugal","One or more countries, but not all countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.portugal.gov.pt/pt/gc22/governo/comunicado-de-conselho-de-ministros?i=330",2020-05-03,2020-05-03 19:43:24
