"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_3rN9bHIOjvTLpajDn",330495,"new_entry","original","NA",NA,"St. Vincent & the Grenadines, """"Schools across Saint  Vincent the Grenadines will close one week ahead of the normal Easter vacation as at the end of the school day on Friday, 20th March, 2020.""""",2020-03-16,2020-03-20,2020-06-23,"Saint Vincent and the Grenadines","VCT","VC","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Saint Vincent and the Grenadines",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",52.4497237854316,51.2754743984074,50.352423369128,69,"http://www.gov.vc/index.php/media-center/1215-schools-across-st-vincent-and-the-grenadines-to-close-one-week-early",2020-04-01,"2020-04-01 17:09:30"
"2","R_3rN9bHIOjvTLpajDp",330495,"new_entry","original","NA",NA,"St. Vincent & the Grenadines, """"Schools across Saint  Vincent the Grenadines will close one week ahead of the normal Easter vacation as at the end of the school day on Friday, 20th March, 2020.""""",2020-03-16,2020-03-20,2020-06-23,"Saint Vincent and the Grenadines","VCT","VC","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Saint Vincent and the Grenadines",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",52.4497237854316,51.2754743984074,50.352423369128,69,"http://www.gov.vc/index.php/media-center/1215-schools-across-st-vincent-and-the-grenadines-to-close-one-week-early",2020-04-01,"2020-04-01 17:09:30"
"3","R_3rN9bHIOjvTLpajEn",330495,"new_entry","original","NA",NA,"St. Vincent & the Grenadines, """"Schools across Saint  Vincent the Grenadines will close one week ahead of the normal Easter vacation as at the end of the school day on Friday, 20th March, 2020.""""",2020-03-16,2020-03-20,2020-06-23,"Saint Vincent and the Grenadines","VCT","VC","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Saint Vincent and the Grenadines",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",52.4497237854316,51.2754743984074,50.352423369128,69,"http://www.gov.vc/index.php/media-center/1215-schools-across-st-vincent-and-the-grenadines-to-close-one-week-early",2020-04-01,"2020-04-01 17:09:30"
"4","R_3rN9bHIOjvTLpajBy",330495,"new_entry","original","NA",NA,"St. Vincent & the Grenadines, """"Schools across Saint  Vincent the Grenadines will close one week ahead of the normal Easter vacation as at the end of the school day on Friday, 20th March, 2020.""""",2020-03-16,2020-03-20,2020-06-23,"Saint Vincent and the Grenadines","VCT","VC","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Saint Vincent and the Grenadines",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",52.4497237854316,51.2754743984074,50.352423369128,69,"http://www.gov.vc/index.php/media-center/1215-schools-across-st-vincent-and-the-grenadines-to-close-one-week-early",2020-04-01,"2020-04-01 17:09:30"
"5","R_1loYiB8H6dOkxTdDn",330495,"update","original","NA",NA,"St. Vincent & the Grenadines: """"UWI Open Campus Will Close From Monday April 6th Until Further Notice""""",2020-04-03,2020-04-06,2020-06-23,"Saint Vincent and the Grenadines","VCT","VC","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Saint Vincent and the Grenadines",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","Other (Please specify in the text box)",53.0753445459825,52.0428971637719,50.9887120258767,60,"https://news784.com/local-news/uwi-open-campus-will-close-from-monday-april-6th-until-further-notice/",2020-04-07,"2020-04-07 06:19:43"
"6","R_1loYiB8H6dOkxTdDp",330495,"update","original","NA",NA,"St. Vincent & the Grenadines: """"UWI Open Campus Will Close From Monday April 6th Until Further Notice""""",2020-04-03,2020-04-06,2020-06-23,"Saint Vincent and the Grenadines","VCT","VC","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Saint Vincent and the Grenadines",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","Other (Please specify in the text box)",53.0753445459825,52.0428971637719,50.9887120258767,60,"https://news784.com/local-news/uwi-open-campus-will-close-from-monday-april-6th-until-further-notice/",2020-04-07,"2020-04-07 06:19:43"
"7","R_1loYiB8H6dOkxTdEn",330495,"update","original","NA",NA,"St. Vincent & the Grenadines: """"UWI Open Campus Will Close From Monday April 6th Until Further Notice""""",2020-04-03,2020-04-06,2020-06-23,"Saint Vincent and the Grenadines","VCT","VC","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Saint Vincent and the Grenadines",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","Other (Please specify in the text box)",53.0753445459825,52.0428971637719,50.9887120258767,60,"https://news784.com/local-news/uwi-open-campus-will-close-from-monday-april-6th-until-further-notice/",2020-04-07,"2020-04-07 06:19:43"
"8","R_1loYiB8H6dOkxTdBy",330495,"update","original","NA",NA,"St. Vincent & the Grenadines: """"UWI Open Campus Will Close From Monday April 6th Until Further Notice""""",2020-04-03,2020-04-06,2020-06-23,"Saint Vincent and the Grenadines","VCT","VC","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Saint Vincent and the Grenadines",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","Other (Please specify in the text box)",53.0753445459825,52.0428971637719,50.9887120258767,60,"https://news784.com/local-news/uwi-open-campus-will-close-from-monday-april-6th-until-further-notice/",2020-04-07,"2020-04-07 06:19:43"
"9","R_27CDa22cHT4WUy5Dn",330495,"update","original","NA",NA,"Saint Vincent & the Grenadines (04.07.2020): Schools in SVG will not reopen on the scheduled date of Tuesday 14th April 2020. We will reasess the situation in two weeks time .""""",2020-04-07,2020-04-14,2020-06-23,"Saint Vincent and the Grenadines","VCT","VC","National",0,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Saint Vincent and the Grenadines",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","Other (Please specify in the text box)",54.6344061591167,52.0971373706912,49.9896146627595,58,"https://news784.com/local-news/update-delayed-reopening-of-schools-in-svg-due-to-covid-19-pandemic/",2020-04-09,"2020-04-09 07:41:55"
"10","R_27CDa22cHT4WUy5Dp",330495,"update","original","NA",NA,"Saint Vincent & the Grenadines (04.07.2020): Schools in SVG will not reopen on the scheduled date of Tuesday 14th April 2020. We will reasess the situation in two weeks time .""""",2020-04-07,2020-04-14,2020-06-23,"Saint Vincent and the Grenadines","VCT","VC","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Saint Vincent and the Grenadines",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","Other (Please specify in the text box)",54.6344061591167,52.0971373706912,49.9896146627595,58,"https://news784.com/local-news/update-delayed-reopening-of-schools-in-svg-due-to-covid-19-pandemic/",2020-04-09,"2020-04-09 07:41:55"
"11","R_27CDa22cHT4WUy5En",330495,"update","original","NA",NA,"Saint Vincent & the Grenadines (04.07.2020): Schools in SVG will not reopen on the scheduled date of Tuesday 14th April 2020. We will reasess the situation in two weeks time .""""",2020-04-07,2020-04-14,2020-06-23,"Saint Vincent and the Grenadines","VCT","VC","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Saint Vincent and the Grenadines",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","Other (Please specify in the text box)",54.6344061591167,52.0971373706912,49.9896146627595,58,"https://news784.com/local-news/update-delayed-reopening-of-schools-in-svg-due-to-covid-19-pandemic/",2020-04-09,"2020-04-09 07:41:55"
