"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_2WIi3mMGd8nNduYCv","9346157","new_entry","original",NA,NA,"San Marino closes all schools of every kind and grade from February 23rd on.",2020-02-23,2020-02-23,2020-03-15,"San Marino","SMR","SM","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","San Marino",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government,Ministry/Department of Health,Police",53.3899560090206,52.1917088480603,51.1301126321127,191,"NA",2020-03-31,2020-03-31 13:42:16
"2","R_2WIi3mMGd8nNduYCw","9346157","new_entry","original",NA,NA,"San Marino closes all schools of every kind and grade from February 23rd on.",2020-02-23,2020-02-23,2020-03-15,"San Marino","SMR","SM","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","San Marino",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government,Ministry/Department of Health,Police",53.3899560090206,52.1917088480603,51.1301126321127,191,"NA",2020-03-31,2020-03-31 13:42:16
"3","R_2WIi3mMGd8nNduYDr","9346157","new_entry","original",NA,NA,"San Marino closes all schools of every kind and grade from February 23rd on.",2020-02-23,2020-02-23,2020-03-15,"San Marino","SMR","SM","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","San Marino",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government,Ministry/Department of Health,Police",53.3899560090206,52.1917088480603,51.1301126321127,191,"NA",2020-03-31,2020-03-31 13:42:16
"4","R_2WIi3mMGd8nNduYBg","9346157","new_entry","original",NA,NA,"San Marino closes all schools of every kind and grade from February 23rd on.",2020-02-23,2020-02-23,2020-03-15,"San Marino","SMR","SM","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","San Marino",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government,Ministry/Department of Health,Police",53.3899560090206,52.1917088480603,51.1301126321127,191,"NA",2020-03-31,2020-03-31 13:42:16
"5","R_2wEK1ua4YJJlZ3PCv","9346157","new_entry","correction",NA,NA,"San Marino closes all schools of every kind and grade from February 23rd until March 1.",2020-02-23,2020-02-23,2020-03-15,"San Marino","SMR","SM","National",0,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"","San Marino",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government,Ministry/Department of Health,Police",53.3899560090206,52.1917088480603,51.1301126321127,191,"file:///Users/audreyfirrone/Downloads/2115552OrdinanzaSanitan.pdf",2020-08-13,2020-08-13 14:22:33
"6","R_2wEK1ua4YJJlZ3PCw","9346157","new_entry","correction",NA,NA,"San Marino closes all schools of every kind and grade from February 23rd until March 1.",2020-02-23,2020-02-23,2020-03-15,"San Marino","SMR","SM","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"","San Marino",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government,Ministry/Department of Health,Police",53.3899560090206,52.1917088480603,51.1301126321127,191,"file:///Users/audreyfirrone/Downloads/2115552OrdinanzaSanitan.pdf",2020-08-13,2020-08-13 14:22:33
"7","R_2wEK1ua4YJJlZ3PDr","9346157","new_entry","correction",NA,NA,"San Marino closes all schools of every kind and grade from February 23rd until March 1.",2020-02-23,2020-02-23,2020-03-15,"San Marino","SMR","SM","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"","San Marino",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government,Ministry/Department of Health,Police",53.3899560090206,52.1917088480603,51.1301126321127,191,"file:///Users/audreyfirrone/Downloads/2115552OrdinanzaSanitan.pdf",2020-08-13,2020-08-13 14:22:33
"8","R_2wEK1ua4YJJlZ3PBg","9346157","new_entry","correction",NA,NA,"San Marino closes all schools of every kind and grade from February 23rd until March 1.",2020-02-23,2020-02-23,2020-03-15,"San Marino","SMR","SM","National",0,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"","San Marino",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government,Ministry/Department of Health,Police",53.3899560090206,52.1917088480603,51.1301126321127,191,"file:///Users/audreyfirrone/Downloads/2115552OrdinanzaSanitan.pdf",2020-08-13,2020-08-13 14:22:33
"9","R_0IYMn93TS193eVjCv","9346157","new_entry","correction",NA,NA,"San Marino closes all schools of every kind and grade from February 23rd until March 1.",2020-02-23,2020-02-23,2020-03-15,"San Marino","SMR","SM","National",0,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"","San Marino",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government,Ministry/Department of Health,Police",53.3899560090206,52.1917088480603,51.1301126321127,191,"https://www.gov.sm/dam/jcr:554bf8af-5dc8-4dd1-b3fc-59b45a90a08f/Ordinanza%20Sanita%20n.2-2020-fto.pdf",2020-08-31,2020-08-31 00:36:10
"10","R_0IYMn93TS193eVjCw","9346157","new_entry","correction",NA,NA,"San Marino closes all schools of every kind and grade from February 23rd until March 1.",2020-02-23,2020-02-23,2020-03-15,"San Marino","SMR","SM","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"","San Marino",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government,Ministry/Department of Health,Police",53.3899560090206,52.1917088480603,51.1301126321127,191,"https://www.gov.sm/dam/jcr:554bf8af-5dc8-4dd1-b3fc-59b45a90a08f/Ordinanza%20Sanita%20n.2-2020-fto.pdf",2020-08-31,2020-08-31 00:36:10
