record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_3plqQciBV1DJJyrDl,9303062,new_entry,original,,,"""On March 14, 2020, the President of the Republic decided to take measures to reduce contact and travel to the entire territory to the minimum as of March 16 at 12 a.m .:

A contingency plan triggered from today; mobile hospitals deployed by the national army,
Prohibition of all public demonstrations for one month
Cruise ships banned from entering Senegal
Schools and universities closed from Monday March 16
Suspension of Muslim and Christian pilgrimage procedures
Calls on the religious authorities to accompany the State in the measures adopted
Independence Day celebration 4 April canceled, instead a ceremony of taking up arms at the Palace will be organized
Calls on the Senegalese diaspora to respect the instructions issued in their country of residence
Violations of these rules will be penalized.""",2020-03-14,2020-03-16,,Senegal,SEN,SN,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Senegal,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Military",52.0520200854137,51.1999269177884,50.246502690253,90,https://covid19.sec.gouv.sn/faq-page#n169,2020-04-06,2020-04-06T14:49:32Z,24,0,2,9,67,0.004,,,,,,58,2672,1,0,-0.43567043,0.004591105,-0.20141026,10,45,15129273,15772186965,1042.4947,6.485194754,16.532142,23.4815139,6.94937187,2,1,0.591078758,-0.0211631,533085,0.72626411
R_3plqQciBV1DJJyrDn,9303062,new_entry,original,,,"""On March 14, 2020, the President of the Republic decided to take measures to reduce contact and travel to the entire territory to the minimum as of March 16 at 12 a.m .:

A contingency plan triggered from today; mobile hospitals deployed by the national army,
Prohibition of all public demonstrations for one month
Cruise ships banned from entering Senegal
Schools and universities closed from Monday March 16
Suspension of Muslim and Christian pilgrimage procedures
Calls on the religious authorities to accompany the State in the measures adopted
Independence Day celebration 4 April canceled, instead a ceremony of taking up arms at the Palace will be organized
Calls on the Senegalese diaspora to respect the instructions issued in their country of residence
Violations of these rules will be penalized.""",2020-03-14,2020-03-16,,Senegal,SEN,SN,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Senegal,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Military",52.0520200854137,51.1999269177884,50.246502690253,90,https://covid19.sec.gouv.sn/faq-page#n169,2020-04-06,2020-04-06T14:49:32Z,24,0,2,9,67,0.004,,,,,,58,2672,1,0,-0.43567043,0.004591105,-0.20141026,10,45,15129273,15772186965,1042.4947,6.485194754,16.532142,23.4815139,6.94937187,2,1,0.591078758,-0.0211631,533085,0.72626411
R_3plqQciBV1DJJyrEn,9303062,new_entry,original,,,"""On March 14, 2020, the President of the Republic decided to take measures to reduce contact and travel to the entire territory to the minimum as of March 16 at 12 a.m .:

A contingency plan triggered from today; mobile hospitals deployed by the national army,
Prohibition of all public demonstrations for one month
Cruise ships banned from entering Senegal
Schools and universities closed from Monday March 16
Suspension of Muslim and Christian pilgrimage procedures
Calls on the religious authorities to accompany the State in the measures adopted
Independence Day celebration 4 April canceled, instead a ceremony of taking up arms at the Palace will be organized
Calls on the Senegalese diaspora to respect the instructions issued in their country of residence
Violations of these rules will be penalized.""",2020-03-14,2020-03-16,,Senegal,SEN,SN,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Senegal,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Military",52.0520200854137,51.1999269177884,50.246502690253,90,https://covid19.sec.gouv.sn/faq-page#n169,2020-04-06,2020-04-06T14:49:32Z,24,0,2,9,67,0.004,,,,,,58,2672,1,0,-0.43567043,0.004591105,-0.20141026,10,45,15129273,15772186965,1042.4947,6.485194754,16.532142,23.4815139,6.94937187,2,1,0.591078758,-0.0211631,533085,0.72626411
R_3plqQciBV1DJJyrBt,9303062,new_entry,original,,,"""On March 14, 2020, the President of the Republic decided to take measures to reduce contact and travel to the entire territory to the minimum as of March 16 at 12 a.m .:

A contingency plan triggered from today; mobile hospitals deployed by the national army,
Prohibition of all public demonstrations for one month
Cruise ships banned from entering Senegal
Schools and universities closed from Monday March 16
Suspension of Muslim and Christian pilgrimage procedures
Calls on the religious authorities to accompany the State in the measures adopted
Independence Day celebration 4 April canceled, instead a ceremony of taking up arms at the Palace will be organized
Calls on the Senegalese diaspora to respect the instructions issued in their country of residence
Violations of these rules will be penalized.""",2020-03-14,2020-03-16,,Senegal,SEN,SN,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Senegal,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Military",52.0520200854137,51.1999269177884,50.246502690253,90,https://covid19.sec.gouv.sn/faq-page#n169,2020-04-06,2020-04-06T14:49:32Z,24,0,2,9,67,0.004,,,,,,58,2672,1,0,-0.43567043,0.004591105,-0.20141026,10,45,15129273,15772186965,1042.4947,6.485194754,16.532142,23.4815139,6.94937187,2,1,0.591078758,-0.0211631,533085,0.72626411
R_1IN1UjV2tS3hnA3NA,830001,new_entry,original,,,"On 23rd March, Senegal announced that it would have curfews from 8:00 pm - 6:00 am.",2020-03-23,2020-03-23,2020-05-04,Senegal,SEN,SN,National,1,,,,Curfew,,,,Senegal,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Military",52.6362403311705,51.7532715044211,50.7998402145064,73,https://covid19.sec.gouv.sn/faq-page#n169,2020-04-06,2020-04-06T15:54:11Z,79,0,5,60,392,0.023,,,,,,58,2672,1,0,-0.43567043,0.004591105,-0.20141026,10,45,15129273,15772186965,1042.4947,6.485194754,16.532142,23.4815139,6.94937187,2,1,0.591078758,-0.0211631,533085,0.72626411
R_3j2wEafIlnwKLQBNA,830001,update,original,,Strengthening,"Senegal announced a dusk-to-dawn curfew (8pm to 6 am), until May 4. UPDATE: The curfew, originally announced on March 23, has been extended to May 4.",2020-04-04,2020-04-06,2020-05-04,Senegal,SEN,SN,National,1,,,,Curfew,,,,Senegal,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Military",54.1184760185553,51.8848231876496,49.512304350676,55,http://french.xinhuanet.com/afrique/2020-04/05/c_138948075.htm,2020-04-23,2020-04-23T15:34:33Z,226,2,92,95,2139,0.128,,,,,,58,2672,1,0,-0.43567043,0.004591105,-0.20141026,10,45,15129273,15772186965,1042.4947,6.485194754,16.532142,23.4815139,6.94937187,2,1,0.591078758,-0.0211631,533085,0.72626411
R_1j9EoBr89bLvqsLNA,529705,new_entry,original,,,"The state of emergency was first announced by the head of state on 23 March.
",2020-03-23,2020-04-23,,Senegal,SEN,SN,National,1,,,,Declaration of Emergency,,,,Senegal,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Military",52.9009690007565,51.8814949862457,50.9668091514013,51,https://www.africanews.com/2020/04/05/senegal-extends-state-of-emergency-for-coronavirus//,2020-04-06,2020-04-06T15:25:11Z,479,6,257,387,6548,0.391,,,,,,58,2672,1,0,-0.43567043,0.004591105,-0.20141026,10,45,15129273,15772186965,1042.4947,6.485194754,16.532142,23.4815139,6.94937187,2,1,0.591078758,-0.0211631,533085,0.72626411
R_vufUbKOgMWFx0WtNA,7715055,new_entry,original,,,"As of March 18 at midnight, Senegal suspended all inbound and outbound flights from: Spain, Italy, France, Belgium, Portugal, Tunisia and Algeria, for 30 days.",2020-03-16,2020-03-18,2020-04-18,Senegal,SEN,SN,National,0,,,,External Border Restrictions,,,,"Algeria,Belgium,France,Italy,Portugal,Spain,Tunisia","One or more countries, but not all countries",,,,,All (Travelers + Residents),Inbound/Outbound,Flights,Mandatory with Exceptions (Please list exceptions in the text entry),National Government,52.2617764724841,51.3670369997426,50.3672023136583,87,https://www.dakaractu.com/Covid-19-Le-Senegal-suspend-ses-lignes-aeriennes-avec-la-France-l-Italie-l-Espagne-entre-autres_a185416.html?print=1,2020-04-18,2020-04-18T20:39:40Z,31,0,2,27,138,0.008,,,,,,58,2672,1,0,-0.43567043,0.004591105,-0.20141026,10,45,15129273,15772186965,1042.4947,6.485194754,16.532142,23.4815139,6.94937187,2,1,0.591078758,-0.0211631,533085,0.72626411
R_3JKmcXGQqO6THIZNA,511451,new_entry,original,,,"Senegal is closing borders with Gambia as of March 24, for 21 days.",2020-03-23,2020-03-24,2020-04-14,Senegal,SEN,SN,National,0,,,,External Border Restrictions,,,,Gambia,"One or more countries, but not all countries",,,,,All (Travelers + Residents),Inbound/Outbound,Land Border,Mandatory (Unspecified/Implied),National Government,53.0360083072523,51.7013662661624,50.485737910135,66,https://www.garda.com/crisis24/news-alerts/325921/senegal-authorities-announce-nationwide-curfew-close-borders-with-the-gambia-march-23-update-3,2020-04-19,2020-04-19T18:50:33Z,86,0,8,59,451,0.027,,,,,,58,2672,1,0,-0.43567043,0.004591105,-0.20141026,10,45,15129273,15772186965,1042.4947,6.485194754,16.532142,23.4815139,6.94937187,2,1,0.591078758,-0.0211631,533085,0.72626411
R_3J8CWOkmq1qAZnbNA,561824,new_entry,original,,,"""On March 14, 2020, the President of the Republic decided to take measures to reduce contact and travel to the entire territory to the minimum as of March 16 at 12 a.m .:


Cruise ships banned from entering Senegal

Violations of these rules will be penalized.""
",2020-03-14,2020-04-16,,Senegal,SEN,SN,National,0,,,,External Border Restrictions,,,,All countries,All countries,,,,,All (Travelers + Residents),Inbound,Cruises,Mandatory (Unspecified/Implied),"National Government,Military",53.5256700176624,51.9498050438204,49.8617333820713,55,https://covid19.sec.gouv.sn/faq-page#n169,2020-04-06,2020-04-06T14:58:58Z,335,2,194,435,4106,0.245,,,,,,58,2672,1,0,-0.43567043,0.004591105,-0.20141026,10,45,15129273,15772186965,1042.4947,6.485194754,16.532142,23.4815139,6.94937187,2,1,0.591078758,-0.0211631,533085,0.72626411
