"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_3KB1DP8rwDEa42dCv","109049","new_entry","original",NA,NA,"On March 12, the Government of Slovenia adopted the decision to temporarily close kindergartens and schools between March 16 and March 29.",2020-03-12,2020-03-16,2020-03-29,"Slovenia","SVN","SI","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Slovenia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.5872513930859,54.5907403565269,53.676423396667,192,"https://www.gov.si/en/news/2020-03-12-slovenia-to-declare-an-epidemic-and-temporarily-close-kindergartens-and-schools/",2020-04-03,2020-04-03 03:27:29
"2","R_3KB1DP8rwDEa42dCw","109049","new_entry","original",NA,NA,"On March 12, the Government of Slovenia adopted the decision to temporarily close kindergartens and schools between March 16 and March 29.",2020-03-12,2020-03-16,2020-03-29,"Slovenia","SVN","SI","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Slovenia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.5872513930859,54.5907403565269,53.676423396667,192,"https://www.gov.si/en/news/2020-03-12-slovenia-to-declare-an-epidemic-and-temporarily-close-kindergartens-and-schools/",2020-04-03,2020-04-03 03:27:29
"3","R_3KB1DP8rwDEa42dDr","109049","new_entry","original",NA,NA,"On March 12, the Government of Slovenia adopted the decision to temporarily close kindergartens and schools between March 16 and March 29.",2020-03-12,2020-03-16,2020-03-29,"Slovenia","SVN","SI","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Slovenia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.5872513930859,54.5907403565269,53.676423396667,192,"https://www.gov.si/en/news/2020-03-12-slovenia-to-declare-an-epidemic-and-temporarily-close-kindergartens-and-schools/",2020-04-03,2020-04-03 03:27:29
"4","R_3KB1DP8rwDEa42dBg","109049","new_entry","original",NA,NA,"On March 12, the Government of Slovenia adopted the decision to temporarily close kindergartens and schools between March 16 and March 29.",2020-03-12,2020-03-16,2020-03-29,"Slovenia","SVN","SI","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Slovenia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.5872513930859,54.5907403565269,53.676423396667,192,"https://www.gov.si/en/news/2020-03-12-slovenia-to-declare-an-epidemic-and-temporarily-close-kindergartens-and-schools/",2020-04-03,2020-04-03 03:27:29
"5","R_32LNUqxrLHwVFXoNA","1583144","new_entry","original",NA,NA,"On March 12 at 6 p.m., Slovenia declares an epidemic. At the same time, the national emergency response plan is activated.",2020-03-12,2020-03-12,NA,"Slovenia","SVN","SI","National",1,NA,NA,"Declaration of Emergency",NA,NA,"","Slovenia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.7393607931896,51.7108306644575,50.6026583003729,152,"https://www.gov.si/en/news/2020-03-12-slovenia-declares-coronavirus-epidemic/",2020-04-03,2020-04-03 03:14:55
"6","R_1lfB0PXFh4fvbEQNA","1291379","new_entry","original",NA,NA,"On 10 March, Slovenia advises citizens against travelling to the South Korean area around Daegu and Cheongju and against all but essential travel to other parts of the Republic of Korea.",2020-03-10,2020-03-10,NA,"Slovenia","SVN","SI","National",0,NA,NA,"External Border Restrictions",NA,NA,"","South Korea","One or more countries, but not all countries",NA,NA,NA,NA,"All (Travelers + Residents)","Outbound","All kinds of transport","Voluntary/Recommended but No Penalties","National Government",51.6727777457549,50.6790031224399,49.5804646108024,121,"https://www.gov.si/en/news/2020-03-10-south-korea-travel-advisory/",2020-04-03,2020-04-03 02:54:57
"7","R_1oaLZxpI5bOCYAyNA","1377366","new_entry","original",NA,NA,"Slovenia bans aircrafts from Italian airports, in places where risk of infection is higher, from China, South Korea, and Iran. The ban applies from 10. 3. 2020 to 31. 3. 2020, with a possibility of extension. This does not apply to emergency and medical flights.",2020-03-09,2020-03-10,2020-03-31,"Slovenia","SVN","SI","National",0,NA,NA,"External Border Restrictions",NA,NA,"","China,Iran,Italy,South Korea","One or more countries, but not all countries",NA,NA,NA,NA,"All (Travelers + Residents)","Inbound","Flights","Mandatory with Exceptions (Please list exceptions in the text entry)","National Government",51.6727777457549,50.6790031224399,49.5804646108024,121,"https://www.gov.si/en/news/2020-03-09-national-security-council-adopts-measures-to-contain-the-spread-of-coronavirus/",2020-04-03,2020-04-03 02:40:29
"8","R_1erdvQjOtbBG9m8NA","3031369","new_entry","correction",NA,NA,"On 10 March, the Slovenian MFA advised against all travel to Iran. Slovenian citizens temporarily staying in Iran are advised to leave the country as soon as possible.",2020-03-10,2020-03-10,NA,"Slovenia","SVN","SI","National",0,NA,NA,"External Border Restrictions",NA,NA,"","Iran","One or more countries, but not all countries",NA,NA,NA,NA,"All (Travelers + Residents)","Outbound","All kinds of transport","Voluntary/Recommended but No Penalties","National Government,Ministry/Department of Health",51.6727777457549,50.6790031224399,49.5804646108024,121,"URL/link   https://www.gov.si/en/news/2020-03-10-iran-travel-advisory/        Newspaper/Institution",2020-04-05,2020-04-05 08:58:54
"9","R_277Mb6NlsZLwem4NA","3031369","new_entry","correction",NA,NA,"On 10 March, the Slovenian MFA advised against all travel to Iran. Slovenian citizens temporarily staying in Iran are advised to leave the country as soon as possible.",2020-03-10,2020-03-10,NA,"Slovenia","SVN","SI","National",0,NA,NA,"External Border Restrictions",NA,NA,"","Iran","One or more countries, but not all countries",NA,NA,NA,NA,"All (Travelers + Residents)","Outbound","All kinds of transport","Voluntary/Recommended but No Penalties","National Government",51.6727777457549,50.6790031224399,49.5804646108024,121,"https://www.gov.si/en/news/2020-03-10-iran-travel-advisory/ Newspaper/Institution",2020-04-05,2020-04-05 11:29:55
"10","R_1cYb05Oa1zHEopyNA","3031369","new_entry","correction",NA,NA,"On 10 March, the Slovenian MFA advised against all travel to Iran. Slovenian citizens temporarily staying in Iran are advised to leave the country as soon as possible.",2020-03-10,2020-03-10,NA,"Slovenia","SVN","SI","National",0,NA,NA,"External Border Restrictions",NA,NA,"","Iran","One or more countries, but not all countries",NA,NA,NA,NA,"All Residents (Citizen Residents +Foreign Residents)","Outbound","All kinds of transport","Voluntary/Recommended but No Penalties","National Government",51.6727777457549,50.6790031224399,49.5804646108024,121,"URL/link   https://www.gov.si/en/news/2020-03-10-iran-travel-advisory/        Newspaper/Institution",2020-06-16,2020-06-16 14:26:14
