record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_3EJPrJ0WlrM1MzgNA,1081483,new_entry,original,,,"The Republic of South Africa enforces anti-disinformation measures relating to the COVID-19 Pandemic in the Government Gazette on March 18, 2020. Any persons who publishes ""any statement through any medium, including social media with intention to deceive any other person about COVID-19; the infection status of any person; any measure taken by the Government to address COVID019"" is committing an offence.",2020-03-18,2020-03-18,,South Africa,ZAF,ZA,National,0,,,Anti-Disinformation Measures,,,"",South Africa,,,,,,,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",National Government,53.4724770190936,52.4740578753895,51.4561054251683,137,https://www.gov.za/sites/default/files/gcis_document/202003/regulations.pdf,2020-08-23,2020-08-23T23:21:41Z
R_3fZrGfPf9HtxbOODi,938528,new_entry,original,,,"The Republic of South Africa is enforcing a four-week closure of ""Schools and partial care facilities""  from March 18 2020 until April 15 2020",2020-03-18,2020-03-18,2020-04-30,South Africa,ZAF,ZA,National,1,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,South Africa,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,53.4724770190936,52.4740578753895,51.4561054251683,137,http://www.gpwonline.co.za/Gazettes/Gazettes/43107_18-3_COGTA.pdf,2020-04-03,2020-04-03T18:28:36Z
R_3fZrGfPf9HtxbOODk,938528,new_entry,original,,,"The Republic of South Africa is enforcing a four-week closure of ""Schools and partial care facilities""  from March 18 2020 until April 15 2020",2020-03-18,2020-03-18,2020-04-30,South Africa,ZAF,ZA,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,South Africa,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,53.4724770190936,52.4740578753895,51.4561054251683,137,http://www.gpwonline.co.za/Gazettes/Gazettes/43107_18-3_COGTA.pdf,2020-04-03,2020-04-03T18:28:36Z
R_3fZrGfPf9HtxbOOEj,938528,new_entry,original,,,"The Republic of South Africa is enforcing a four-week closure of ""Schools and partial care facilities""  from March 18 2020 until April 15 2020",2020-03-18,2020-03-18,2020-04-30,South Africa,ZAF,ZA,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,South Africa,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,53.4724770190936,52.4740578753895,51.4561054251683,137,http://www.gpwonline.co.za/Gazettes/Gazettes/43107_18-3_COGTA.pdf,2020-04-03,2020-04-03T18:28:36Z
R_3fZrGfPf9HtxbOOBr,938528,new_entry,original,,,"The Republic of South Africa is enforcing a four-week closure of ""Schools and partial care facilities""  from March 18 2020 until April 15 2020",2020-03-18,2020-03-18,2020-04-30,South Africa,ZAF,ZA,National,1,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,South Africa,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,53.4724770190936,52.4740578753895,51.4561054251683,137,http://www.gpwonline.co.za/Gazettes/Gazettes/43107_18-3_COGTA.pdf,2020-04-03,2020-04-03T18:28:36Z
R_2CfUgfQH3SxWXUJDi,938528,update,original,,Strengthening,"The Republic of South Africa has announced that ""Schools and partial care facilities must be closed by 18 March 2020 until 30 April 2020, which period may be extended by way of directions by the Cabinet member responsible"" on April 16 2020.",2020-04-16,2020-04-16,2020-04-30,South Africa,ZAF,ZA,National,0,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,South Africa,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,55.519038287867,54.571570486108,53.561798358039,170,http://www.cogta.gov.za/cgta_2016/wp-content/uploads/2020/04/43232_16-04_Cogta_Regulations_compressed-1.pdf,2020-04-16,2020-04-16T17:49:20Z
R_2CfUgfQH3SxWXUJDk,938528,update,original,,Strengthening,"The Republic of South Africa has announced that ""Schools and partial care facilities must be closed by 18 March 2020 until 30 April 2020, which period may be extended by way of directions by the Cabinet member responsible"" on April 16 2020.",2020-04-16,2020-04-16,2020-04-30,South Africa,ZAF,ZA,National,0,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,South Africa,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,55.519038287867,54.571570486108,53.561798358039,170,http://www.cogta.gov.za/cgta_2016/wp-content/uploads/2020/04/43232_16-04_Cogta_Regulations_compressed-1.pdf,2020-04-16,2020-04-16T17:49:20Z
R_2CfUgfQH3SxWXUJEj,938528,update,original,,Strengthening,"The Republic of South Africa has announced that ""Schools and partial care facilities must be closed by 18 March 2020 until 30 April 2020, which period may be extended by way of directions by the Cabinet member responsible"" on April 16 2020.",2020-04-16,2020-04-16,2020-04-30,South Africa,ZAF,ZA,National,0,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,South Africa,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,55.519038287867,54.571570486108,53.561798358039,170,http://www.cogta.gov.za/cgta_2016/wp-content/uploads/2020/04/43232_16-04_Cogta_Regulations_compressed-1.pdf,2020-04-16,2020-04-16T17:49:20Z
R_2CfUgfQH3SxWXUJBr,938528,update,original,,Strengthening,"The Republic of South Africa has announced that ""Schools and partial care facilities must be closed by 18 March 2020 until 30 April 2020, which period may be extended by way of directions by the Cabinet member responsible"" on April 16 2020.",2020-04-16,2020-04-16,2020-04-30,South Africa,ZAF,ZA,National,0,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,South Africa,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,55.519038287867,54.571570486108,53.561798358039,170,http://www.cogta.gov.za/cgta_2016/wp-content/uploads/2020/04/43232_16-04_Cogta_Regulations_compressed-1.pdf,2020-04-16,2020-04-16T17:49:20Z
R_s7rHw64pPctG7xnDi,2533019,new_entry,original,,,"On 1 June 2020, the Department of Basic Education in the Republic of South Africa laid out a plan of phased reopening of schools. From 1 June 2020, Grade 7, 12 and School of Skills: Year 4 will reopen. Learners in ECD (Grade R or lower in a school); Grade 1,2,3,6,10 and 11; School of Skills: Years 2 and 3;Schools for Learners with Severe Intellectual Disabilities (""SID""): Grades R, 1, 2, 3 and 6; and Special Care Centres for Learners with Severe and Profound Intellectual Disabilities ( ""LSPID ""): Years 1 -3 will reopen on 6 July 2020. Grade 4,5, 8 and 9; School of Skills: Year 1; and Schools for Learners with Severe Intellectual Disabilities( ""SID ""): Grades 4 and 5 will reopen on 3 August 2020 .
",2020-06-01,2020-06-01,,South Africa,ZAF,ZA,National,1,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities allowed to open with conditions,South Africa,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",Ministry/Department of Education,,,,,https://www.gov.za/sites/default/files/gcis_document/202006/43381gen304.pdf,2020-12-22,2020-12-22T14:10:36Z
