"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_1r6vKXtc4CN4mIEDg",1369277,"new_entry","original","NA",NA,"On Mar 22 2020 KCDC announced, """"Citing the recent incidents of misinformed use of salt water sprays and methanol, the KCDC stated that the spread of COVID-19-related misinformation (“infodemic”) is posing a threat to the safety of citizens and stressed that it is important to check the reliability of the sources of the information they receive from word of mouth, social media, online videos and forums, and news media. The KCDC asked citizens who come across suspicious COVID-19-related information to check the sources of information and confirm the validity of information by utilizing resources such as official websites of KCDC and the Ministry of Health and Welfare and infectious disease call center (1339).""""",2020-03-23,2020-03-23,NA,"South Korea","KOR","KR","National",0,NA,NA,"Anti-Disinformation Measures","Other Quarantine",NA,"","South Korea",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health,Other (Please specify in the text box)",54.8897472989533,51.1254832869945,47.4254193495807,51,"https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&tag=&act=view&list_no=366627",2020-08-15,"2020-08-15 13:53:37"
"2","R_1r6vKXtc4CN4mIECi",1369277,"new_entry","original","NA",NA,"On Mar 22 2020 KCDC announced, """"Citing the recent incidents of misinformed use of salt water sprays and methanol, the KCDC stated that the spread of COVID-19-related misinformation (“infodemic”) is posing a threat to the safety of citizens and stressed that it is important to check the reliability of the sources of the information they receive from word of mouth, social media, online videos and forums, and news media. The KCDC asked citizens who come across suspicious COVID-19-related information to check the sources of information and confirm the validity of information by utilizing resources such as official websites of KCDC and the Ministry of Health and Welfare and infectious disease call center (1339).""""",2020-03-23,2020-03-23,NA,"South Korea","KOR","KR","National",0,NA,NA,"Anti-Disinformation Measures","Lockdown applies to all people",NA,"","South Korea",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health,Other (Please specify in the text box)",54.8897472989533,51.1254832869945,47.4254193495807,51,"https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&tag=&act=view&list_no=366627",2020-08-15,"2020-08-15 13:53:37"
"3","R_1r6vKXtc4CN4mIEDc",1369277,"new_entry","original","NA",NA,"On Mar 22 2020 KCDC announced, """"Citing the recent incidents of misinformed use of salt water sprays and methanol, the KCDC stated that the spread of COVID-19-related misinformation (“infodemic”) is posing a threat to the safety of citizens and stressed that it is important to check the reliability of the sources of the information they receive from word of mouth, social media, online videos and forums, and news media. The KCDC asked citizens who come across suspicious COVID-19-related information to check the sources of information and confirm the validity of information by utilizing resources such as official websites of KCDC and the Ministry of Health and Welfare and infectious disease call center (1339).""""",2020-03-23,2020-03-23,NA,"South Korea","KOR","KR","National",0,NA,NA,"Anti-Disinformation Measures","Other mass gatherings not specified above restricted",NA,"","South Korea",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health,Other (Please specify in the text box)",54.8897472989533,51.1254832869945,47.4254193495807,51,"https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&tag=&act=view&list_no=366627",2020-08-15,"2020-08-15 13:53:37"
"4","R_1r6vKXtc4CN4mIECh",1369277,"new_entry","original","NA",NA,"On Mar 22 2020 KCDC announced, """"Citing the recent incidents of misinformed use of salt water sprays and methanol, the KCDC stated that the spread of COVID-19-related misinformation (“infodemic”) is posing a threat to the safety of citizens and stressed that it is important to check the reliability of the sources of the information they receive from word of mouth, social media, online videos and forums, and news media. The KCDC asked citizens who come across suspicious COVID-19-related information to check the sources of information and confirm the validity of information by utilizing resources such as official websites of KCDC and the Ministry of Health and Welfare and infectious disease call center (1339).""""",2020-03-23,2020-03-23,NA,"South Korea","KOR","KR","National",0,NA,NA,"Anti-Disinformation Measures","Keeping a distance of at least 6 feet or 1.5 meters apart",NA,"","South Korea",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health,Other (Please specify in the text box)",54.8897472989533,51.1254832869945,47.4254193495807,51,"https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&tag=&act=view&list_no=366627",2020-08-15,"2020-08-15 13:53:37"
"5","R_1r6vKXtc4CN4mIEEi",1369277,"new_entry","original","NA",NA,"On Mar 22 2020 KCDC announced, """"Citing the recent incidents of misinformed use of salt water sprays and methanol, the KCDC stated that the spread of COVID-19-related misinformation (“infodemic”) is posing a threat to the safety of citizens and stressed that it is important to check the reliability of the sources of the information they receive from word of mouth, social media, online videos and forums, and news media. The KCDC asked citizens who come across suspicious COVID-19-related information to check the sources of information and confirm the validity of information by utilizing resources such as official websites of KCDC and the Ministry of Health and Welfare and infectious disease call center (1339).""""",2020-03-23,2020-03-23,NA,"South Korea","KOR","KR","National",0,NA,NA,"Anti-Disinformation Measures","Restrictions on ridership of buses",NA,"","South Korea",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health,Other (Please specify in the text box)",54.8897472989533,51.1254832869945,47.4254193495807,51,"https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&tag=&act=view&list_no=366627",2020-08-15,"2020-08-15 13:53:37"
"6","R_1r6vKXtc4CN4mIEEl",1369277,"new_entry","original","NA",NA,"On Mar 22 2020 KCDC announced, """"Citing the recent incidents of misinformed use of salt water sprays and methanol, the KCDC stated that the spread of COVID-19-related misinformation (“infodemic”) is posing a threat to the safety of citizens and stressed that it is important to check the reliability of the sources of the information they receive from word of mouth, social media, online videos and forums, and news media. The KCDC asked citizens who come across suspicious COVID-19-related information to check the sources of information and confirm the validity of information by utilizing resources such as official websites of KCDC and the Ministry of Health and Welfare and infectious disease call center (1339).""""",2020-03-23,2020-03-23,NA,"South Korea","KOR","KR","National",0,NA,NA,"Anti-Disinformation Measures","Restrictions ridership of other forms of public transportation (please include details in the text entry)",NA,"","South Korea",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health,Other (Please specify in the text box)",54.8897472989533,51.1254832869945,47.4254193495807,51,"https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&tag=&act=view&list_no=366627",2020-08-15,"2020-08-15 13:53:37"
"7","R_1r6vKXtc4CN4mIEAq",1369277,"new_entry","original","NA",NA,"On Mar 22 2020 KCDC announced, """"Citing the recent incidents of misinformed use of salt water sprays and methanol, the KCDC stated that the spread of COVID-19-related misinformation (“infodemic”) is posing a threat to the safety of citizens and stressed that it is important to check the reliability of the sources of the information they receive from word of mouth, social media, online videos and forums, and news media. The KCDC asked citizens who come across suspicious COVID-19-related information to check the sources of information and confirm the validity of information by utilizing resources such as official websites of KCDC and the Ministry of Health and Welfare and infectious disease call center (1339).""""",2020-03-23,2020-03-23,NA,"South Korea","KOR","KR","National",0,NA,NA,"Anti-Disinformation Measures","82800",NA,"","South Korea",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health,Other (Please specify in the text box)",54.8897472989533,51.1254832869945,47.4254193495807,51,"https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&tag=&act=view&list_no=366627",2020-08-15,"2020-08-15 13:53:37"
"8","R_1r6vKXtc4CN4mIEAd",1369277,"new_entry","original","NA",NA,"On Mar 22 2020 KCDC announced, """"Citing the recent incidents of misinformed use of salt water sprays and methanol, the KCDC stated that the spread of COVID-19-related misinformation (“infodemic”) is posing a threat to the safety of citizens and stressed that it is important to check the reliability of the sources of the information they receive from word of mouth, social media, online videos and forums, and news media. The KCDC asked citizens who come across suspicious COVID-19-related information to check the sources of information and confirm the validity of information by utilizing resources such as official websites of KCDC and the Ministry of Health and Welfare and infectious disease call center (1339).""""",2020-03-23,2020-03-23,NA,"South Korea","KOR","KR","National",0,NA,NA,"Anti-Disinformation Measures","21600",NA,"","South Korea",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health,Other (Please specify in the text box)",54.8897472989533,51.1254832869945,47.4254193495807,51,"https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&tag=&act=view&list_no=366627",2020-08-15,"2020-08-15 13:53:37"
"9","R_1r6vKXtc4CN4mIEDn",1369277,"new_entry","original","NA",NA,"On Mar 22 2020 KCDC announced, """"Citing the recent incidents of misinformed use of salt water sprays and methanol, the KCDC stated that the spread of COVID-19-related misinformation (“infodemic”) is posing a threat to the safety of citizens and stressed that it is important to check the reliability of the sources of the information they receive from word of mouth, social media, online videos and forums, and news media. The KCDC asked citizens who come across suspicious COVID-19-related information to check the sources of information and confirm the validity of information by utilizing resources such as official websites of KCDC and the Ministry of Health and Welfare and infectious disease call center (1339).""""",2020-03-23,2020-03-23,NA,"South Korea","KOR","KR","National",0,NA,NA,"Anti-Disinformation Measures","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"","South Korea",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health,Other (Please specify in the text box)",54.8897472989533,51.1254832869945,47.4254193495807,51,"https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&tag=&act=view&list_no=366627",2020-08-15,"2020-08-15 13:53:37"
"10","R_1r6vKXtc4CN4mIEDp",1369277,"new_entry","original","NA",NA,"On Mar 22 2020 KCDC announced, """"Citing the recent incidents of misinformed use of salt water sprays and methanol, the KCDC stated that the spread of COVID-19-related misinformation (“infodemic”) is posing a threat to the safety of citizens and stressed that it is important to check the reliability of the sources of the information they receive from word of mouth, social media, online videos and forums, and news media. The KCDC asked citizens who come across suspicious COVID-19-related information to check the sources of information and confirm the validity of information by utilizing resources such as official websites of KCDC and the Ministry of Health and Welfare and infectious disease call center (1339).""""",2020-03-23,2020-03-23,NA,"South Korea","KOR","KR","National",0,NA,NA,"Anti-Disinformation Measures","Primary Schools (generally for children ages 10 and below)",NA,"","South Korea",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health,Other (Please specify in the text box)",54.8897472989533,51.1254832869945,47.4254193495807,51,"https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&tag=&act=view&list_no=366627",2020-08-15,"2020-08-15 13:53:37"
