"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_dnUPl0OtdU0dHLbNA","8194443","new_entry","original",NA,NA,"From June 3, South Sudan has indefinitely suspended the issuance of COVID-19 negativity certificates to prevent forgery.",2020-06-03,2020-06-03,NA,"South Sudan","SSD","SS","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"","South Sudan",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health,New (COVID-19 specific) Task Force",NA,NA,NA,NA,"https://reliefweb.int/report/south-sudan/south-sudan-covid-19-update-21-may-05-june-2020",2020-07-11,2020-07-11 13:28:06
"2","R_1KfiPemmkvHYeJ8Cw","8390","new_entry","original",NA,NA,"South Sudan has closed all schools and universities for a month, beginning March 20.",2020-03-20,2020-03-20,2020-04-20,"South Sudan","SSD","SS","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","South Sudan",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.3058798956114,51.2123068584697,50.315454457792,67,"https://radiotamazuj.org/en/news/article/south-sudan-closes-schools-universities-amid-coronavirus-fears",2020-04-03,2020-04-03 17:14:58
"3","R_1KfiPemmkvHYeJ8Dr","8390","new_entry","original",NA,NA,"South Sudan has closed all schools and universities for a month, beginning March 20.",2020-03-20,2020-03-20,2020-04-20,"South Sudan","SSD","SS","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","South Sudan",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.3058798956114,51.2123068584697,50.315454457792,67,"https://radiotamazuj.org/en/news/article/south-sudan-closes-schools-universities-amid-coronavirus-fears",2020-04-03,2020-04-03 17:14:58
"4","R_1KfiPemmkvHYeJ8Bg","8390","new_entry","original",NA,NA,"South Sudan has closed all schools and universities for a month, beginning March 20.",2020-03-20,2020-03-20,2020-04-20,"South Sudan","SSD","SS","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","South Sudan",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.3058798956114,51.2123068584697,50.315454457792,67,"https://radiotamazuj.org/en/news/article/south-sudan-closes-schools-universities-amid-coronavirus-fears",2020-04-03,2020-04-03 17:14:58
"5","R_3h4LUTKw8OwclQ4NA","9044740","new_entry","original",NA,NA,"From March 25, South Sudan is imposing a night-time curfew from 8 pm to 6 am throughout the country, exempting health workers, journalists, and network operators, who all can go out with a written permit.",2020-03-25,2020-03-25,NA,"South Sudan","SSD","SS","National",1,NA,NA,"Curfew",NA,NA,"","South Sudan","One or more countries, but not all countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Exceptions (Please list exceptions in the text entry)","National Government",52.9418258756405,51.9905784642172,50.8585583395762,76,"https://www.sudantribune.com/spip.php?article69148 ; https://radiotamazuj.org/en/news/article/south-sudan-imposes-nighttime-curfew-over-coronavirus",2020-04-04,2020-04-04 11:42:27
"6","R_2QxIM8x8WiSwGAyNA","2883943","new_entry","original",NA,NA,"From April 28, South Sudan is imposing a nighttime curfew from 7 pm to 6 am, exempting health workers, journalists, and network operators, who all can go out with a written permit.",2020-04-28,2020-04-28,NA,"South Sudan","SSD","SS","National",1,NA,NA,"Curfew",NA,NA,"","South Sudan",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Exceptions (Please list exceptions in the text entry)","National Government",56.2452445001736,52.1739426418021,49.1294872679142,60,"https://radiotamazuj.org/en/news/article/covid-19-south-sudan-reviews-curfew-as-cases-rise-to-34",2020-05-24,2020-05-24 16:01:22
"7","R_2Yfy8wLGeXEspxxNA","9044740","update","original","End of Policy",NA,"On April 28, South Sudan is ending a night-time curfew from 8 pm to 6 am throughout the country, which exempted health workers, journalists, and network operators, who all can go out with a written permit.",2020-04-28,2020-04-28,NA,"South Sudan","SSD","SS","National",0,NA,NA,"Curfew",NA,NA,"","South Sudan","One or more countries, but not all countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Exceptions (Please list exceptions in the text entry)","National Government",56.2452445001736,52.1739426418021,49.1294872679142,60,"NA",2020-05-24,2020-05-24 15:55:29
"8","R_2VOSxZ3mJnaaDYxNA","6190099","new_entry","original",NA,NA,"From May 10, South Sudan is imposing a nighttime curfew from 10 pm to 6 am, which exempts health workers, journalists, and network operators, who can all go out with a written permit.
",2020-05-08,2020-05-10,NA,"South Sudan","SSD","SS","National",1,NA,NA,"Curfew",NA,NA,"","South Sudan",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Exceptions (Please list exceptions in the text entry)","National Government",NA,NA,NA,NA,"https://radiotamazuj.org/en/news/article/south-sudan-loosens-restrictions-even-as-coronavirus-cases-increase",2020-07-12,2020-07-12 12:03:00
"9","R_SZUWK84msEQGWDDNA","2883943","update","original","End of Policy",NA,"On May 10, South Sudan is ending a nighttime curfew from 7 pm to 6 am, which exempted health workers, journalists, and network operators, who could all go out with a written permit.",2020-05-10,2020-05-10,NA,"South Sudan","SSD","SS","National",0,NA,NA,"Curfew",NA,NA,"","South Sudan",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Exceptions (Please list exceptions in the text entry)","National Government",NA,NA,NA,NA,"NA",2020-07-12,2020-07-12 11:56:03
"10","R_3fxWsdgZUDXTT9xBe","1434199","new_entry","original",NA,NA,"From Jan 23, South Sudan is screening travelers at airports for symptoms of the coronavirus.",2020-01-24,2020-01-24,NA,"South Sudan","SSD","SS","National",0,NA,NA,"External Border Restrictions","Health Screenings (e.g. temperature checks)",NA,"","All countries","All countries",NA,NA,NA,NA,"All Travelers (Citizen Travelers + Foreign Travelers )","Inbound","Flights","Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",48.7966281935607,46.2735600006308,42.2942646764173,22,"https://radiotamazuj.org/en/news/article/south-sudan-issues-alert-on-coronavirus",2020-04-03,2020-04-03 16:19:14
