"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","institution_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_3n1NIDPlooDTPI3NA","5587916","new_entry","original",NA,NA,"To provide the public with all relevent information regarding the outbreak, the Surinamese government created a website for public access. The website is accessible by any member of the public, but can only be edited by members of the Corona emergency response team, and associated doctors and researchers.",2020-08-27,2020-08-27,NA,"Suriname","SUR","SR","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"","Suriname",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","New (COVID-19 specific) Task Force",NA,NA,NA,NA,"https://covid-19.sr/situation-report/",2020-09-23,2020-09-23 15:55:55
"2","R_CZT6O4twZjv9lLPCv","1254219","new_entry","original",NA,NA,"The Ministry of Social Affairs and Housing announced that in Suriname ""from March 16 all government and private crèches and preschools are closed. An exception is made with regard to nurseries that are managed by a hospital.""",2020-03-15,2020-03-16,NA,"Suriname","SUR","SR","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Suriname",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)","National Government,Ministry/Department of Health",52.0650864986322,51.0800595306222,49.8593081073617,86,"https://covid-19.sr/voorzorgsmaatregelen-vanuit-het-ministerie-van-sociale-zaken-en-volkshuisvesting/ ; https://covid-19.sr/creches-en-peuterscholen-blijven-langer-gesloten/",2020-04-21,2020-04-21 16:54:40
"3","R_2ts51lVFNTpr97ICw","1464778","new_entry","original",NA,NA,"In Surinam, as of the 16th of March, all schools will be closed. Initially, until the 14th of April but they just announced it will be longer.",2020-03-14,2020-03-16,NA,"Suriname","SUR","SR","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Suriname",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.0650864986322,51.0800595306222,49.8593081073617,86,"https://www.srherald.com/suriname/2020/03/14/breaking-alle-scholen-vanaf-maandag-gesloten-wegens-coronavirus/ ; https://www.srherald.com/suriname/2020/04/02/breaking-scholen-langer-gesloten/?utm_source=rss&utm_medium=rss&utm_campaign=breaking-scholen-langer-gesloten",2020-04-03,2020-04-03 11:50:35
"4","R_2ts51lVFNTpr97IDr","1464778","new_entry","original",NA,NA,"In Surinam, as of the 16th of March, all schools will be closed. Initially, until the 14th of April but they just announced it will be longer.",2020-03-14,2020-03-16,NA,"Suriname","SUR","SR","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Suriname",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.0650864986322,51.0800595306222,49.8593081073617,86,"https://www.srherald.com/suriname/2020/03/14/breaking-alle-scholen-vanaf-maandag-gesloten-wegens-coronavirus/ ; https://www.srherald.com/suriname/2020/04/02/breaking-scholen-langer-gesloten/?utm_source=rss&utm_medium=rss&utm_campaign=breaking-scholen-langer-gesloten",2020-04-03,2020-04-03 11:50:35
"5","R_2ts51lVFNTpr97IBg","1464778","new_entry","original",NA,NA,"In Surinam, as of the 16th of March, all schools will be closed. Initially, until the 14th of April but they just announced it will be longer.",2020-03-14,2020-03-16,NA,"Suriname","SUR","SR","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Suriname",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.0650864986322,51.0800595306222,49.8593081073617,86,"https://www.srherald.com/suriname/2020/03/14/breaking-alle-scholen-vanaf-maandag-gesloten-wegens-coronavirus/ ; https://www.srherald.com/suriname/2020/04/02/breaking-scholen-langer-gesloten/?utm_source=rss&utm_medium=rss&utm_campaign=breaking-scholen-langer-gesloten",2020-04-03,2020-04-03 11:50:35
"6","R_1eJq3AlM1GJey1GCv","3364240","new_entry","original",NA,NA,"Suriname closed all schools effective March 16th. The plan is to reopen schools the 15th of April.",2020-03-14,2020-03-16,2020-04-15,"Suriname","SUR","SR","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Suriname",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Education",52.0650864986322,51.0800595306222,49.8593081073617,86,"https://www.srherald.com/suriname/2020/03/14/breaking-alle-scholen-vanaf-maandag-gesloten-wegens-coronavirus/",2020-10-14,2020-10-14 12:14:24
"7","R_1eJq3AlM1GJey1GCw","3364240","new_entry","original",NA,NA,"Suriname closed all schools effective March 16th. The plan is to reopen schools the 15th of April.",2020-03-14,2020-03-16,2020-04-15,"Suriname","SUR","SR","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Suriname",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Education",52.0650864986322,51.0800595306222,49.8593081073617,86,"https://www.srherald.com/suriname/2020/03/14/breaking-alle-scholen-vanaf-maandag-gesloten-wegens-coronavirus/",2020-10-14,2020-10-14 12:14:24
"8","R_1eJq3AlM1GJey1GDr","3364240","new_entry","original",NA,NA,"Suriname closed all schools effective March 16th. The plan is to reopen schools the 15th of April.",2020-03-14,2020-03-16,2020-04-15,"Suriname","SUR","SR","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Suriname",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Education",52.0650864986322,51.0800595306222,49.8593081073617,86,"https://www.srherald.com/suriname/2020/03/14/breaking-alle-scholen-vanaf-maandag-gesloten-wegens-coronavirus/",2020-10-14,2020-10-14 12:14:24
"9","R_1eJq3AlM1GJey1GBg","3364240","new_entry","original",NA,NA,"Suriname closed all schools effective March 16th. The plan is to reopen schools the 15th of April.",2020-03-14,2020-03-16,2020-04-15,"Suriname","SUR","SR","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Suriname",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Education",52.0650864986322,51.0800595306222,49.8593081073617,86,"https://www.srherald.com/suriname/2020/03/14/breaking-alle-scholen-vanaf-maandag-gesloten-wegens-coronavirus/",2020-10-14,2020-10-14 12:14:24
"10","R_8rfbMVhfs8uH6dHCw","1464778","update","original","Change of Policy","Relaxing","In Surinam, as of the 16th of March, all schools will be closed. Initially, until the 14th of April but they just announced it will be longer. 

*Update* As of the 6th of July, schools in the west can reopen for the examination year (only 12 children are allowed per class). Schools in the East remain closed due to lockdown",2020-03-14,2020-03-16,NA,"Suriname","SUR","SR","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"","Suriname",NA,NA,NA,NA,NA,"Citizen Residents",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.0650864986322,51.0800595306222,49.8593081073617,86,"NA",2020-09-17,2020-09-17 12:41:12
