"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_2c130ijzRufo3VcDo",1445293,"new_entry","original","NA",NA,"Eswatini """"is enforcing a","2020-03-17","2020-03-17",NA,"Swaziland","SWZ","SZ","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Swaziland",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Police",53.5784185144532,52.6063439095291,51.6731383401832,145,"http://www.gov.sz/index.php/latest-news/204-latest-news/2405-latest-press-statement","2020-04-04","2020-04-04 16:14:37"
"2","R_2c130ijzRufo3VcEm",1445293,"new_entry","original","NA",NA,"Eswatini """"is enforcing a","2020-03-17","2020-03-17",NA,"Swaziland","SWZ","SZ","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Swaziland",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Police",53.5784185144532,52.6063439095291,51.6731383401832,145,"http://www.gov.sz/index.php/latest-news/204-latest-news/2405-latest-press-statement","2020-04-04","2020-04-04 16:14:37"
"3","R_3HBLTAJGP5aWXhADo",1445293,"update","original","NA",NA,"Eswatini """"is enforcing a closure of schools after March 17""""","2020-03-17","2020-03-17",NA,"Swaziland","SWZ","SZ","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Swaziland",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.5784185144532,52.6063439095291,51.6731383401832,145,"http://www.gov.sz/index.php/latest-news/204-latest-news/2405-latest-press-statement","2020-04-07","2020-04-07 11:33:05"
"4","R_3HBLTAJGP5aWXhAEm",1445293,"update","original","NA",NA,"Eswatini """"is enforcing a closure of schools after March 17""""","2020-03-17","2020-03-17",NA,"Swaziland","SWZ","SZ","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Swaziland",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.5784185144532,52.6063439095291,51.6731383401832,145,"http://www.gov.sz/index.php/latest-news/204-latest-news/2405-latest-press-statement","2020-04-07","2020-04-07 11:33:05"
"5","R_3hnXW57xzYjaeqbEn",4117681,"new_entry","original","NA",NA,"Eswatini """"is enforcing an curfew for the whole day and night. All unnecessary movements and visits outside the perimeters of ones home or residence are restricted except to provide or acquire essential services after March 27""""","2020-03-24","2020-03-27","2020-04-16","Swaziland","SWZ","SZ","National",1,NA,NA,"Curfew",NA,NA,"","Swaziland",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.9941085416737,54.0635055183636,53.1478181436035,170,"http://www.gov.sz/index.php/latest-news/204-latest-news/2414-government-press-statement-24-march","2020-04-08","2020-04-08 13:04:24"
"6","R_1qUPdMbprPAaidaEn",7348607,"new_entry","original","NA",NA,"Eswatini """"is enforcing a declaration of national emergency on all citizens as well as visitors after March 17""""","2020-03-17","2020-03-17","2020-06-19","Swaziland","SWZ","SZ","National",1,NA,NA,"Declaration of Emergency",NA,NA,"","Swaziland",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.5784185144532,52.6063439095291,51.6731383401832,145,"http://www.gov.sz/index.php/latest-news/204-latest-news/2405-latest-press-statement","2020-04-05","2020-04-05 15:14:00"
"7","R_3kLjg3Xi0YRzK0KEn",7348607,"update","original","Change of Policy","Strengthening","Eswatini extends country's State of Emergency takes effect from May 18 to at least June 19.","2020-05-18","2020-05-18","2020-06-19","Swaziland","SWZ","SZ","National",0,NA,NA,"Declaration of Emergency",NA,NA,"","Swaziland",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"http://www.gov.sz/index.php/latest-news/204-latest-news/2405-latest-press-statement","2020-05-30","2020-05-30 07:18:15"
"8","R_2Y8HHBpUDWrQ6a2Fg",142566,"new_entry","original","NA",NA,"Eswatini """"is suspending all not essential travels of citizens in other countries after March 17""""
","2020-03-17","2020-03-17",NA,"Swaziland","SWZ","SZ","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","All countries","All countries",NA,NA,NA,NA,"Citizen Residents","Outbound",NA,"Mandatory (Unspecified/Implied)","National Government",53.5784185144532,52.6063439095291,51.6731383401832,145,"http://www.gov.sz/index.php/latest-news/204-latest-news/2405-latest-press-statement","2020-04-05","2020-04-05 16:43:11"
"9","R_3egK6SzPuTSU8sQFg",4555107,"new_entry","original","NA",NA,"Eswatini """"is enforcing external border restriction on Foreign nationals coming from COVID-19 high risk countries. They will be restricted from entering the country until further notice after March 17""""","2020-03-17","2020-03-17",NA,"Swaziland","SWZ","SZ","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","Bolivia","One or more countries, but not all countries",NA,NA,NA,NA,"Foreign Travelers","Inbound","Not Applicable","Mandatory (Unspecified/Implied)","National Government",53.5784185144532,52.6063439095291,51.6731383401832,145,"http://www.gov.sz/index.php/latest-news/204-latest-news/2405-latest-press-statement","2020-04-05","2020-04-05 16:12:07"
"10","R_sp2sXBOkFv8hCuZEn",2788245,"new_entry","original","NA",NA,"Eswatini """"is enforcing a health monitoring on all persons who had contact with positive tested persons, at hospital entrance points, Clients calling the emergency toll-free line reporting symptoms of COVID-19, returned travelers and police road blocks for the next three weeks after April 15"""".","2020-04-15","2020-04-15","2020-05-06","Swaziland","SWZ","SZ","National",0,NA,NA,"Health Monitoring",NA,NA,"","All countries","All countries",NA,NA,NA,NA,"All (Travelers + Residents)","Inbound/Outbound","All kinds of transport","Mandatory (Unspecified/Implied)","National Government",55.4324124475368,54.5094789118656,53.5378433115508,169,"http://www.gov.sz/index.php/latest-news/204-latest-news/2437-partial-lockdown-extension-covid-19-15-april","2020-04-17","2020-04-17 17:41:01"
