"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_8hLOsa1rgNYHrC9De",7988092,"new_entry","correction",NA,NA,"The Syrian government ordered the closure of universities, schools and institutions from March 14 to April 2.",2020-05-06,2020-05-06,2020-05-31,"Syria","SYR","SY","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,NA,"Syria",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.al-monitor.com/pulse/originals/2020/03/syria-coronavirus-who-pandemic-denial-cases-detention-camps.html",2020-08-11,2020-08-11 09:27:47
"2","R_8hLOsa1rgNYHrC9Ec",7988092,"new_entry","correction",NA,NA,"The Syrian government ordered the closure of universities, schools and institutions from March 14 to April 2.",2020-05-06,2020-05-06,2020-05-31,"Syria","SYR","SY","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,NA,"Syria",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.al-monitor.com/pulse/originals/2020/03/syria-coronavirus-who-pandemic-denial-cases-detention-camps.html",2020-08-11,2020-08-11 09:27:47
"3","R_1OlVmoSll2CujCGDe",7988092,"update","original","End of Policy",NA,"The Syrian government originally ordered the closure of universities, schools and institutions from March 14 to April 2 but has decided to extend this on May 6 and reopen universities and institutions as of May 31, 2020. UPDATE: The Syrian government originally ordered the closure of universities, schools and institutions from March 14 to April 2 but decided on Wednesday, 6 May to extend this reopen universities and institutions as of May 31, 2020.",2020-05-06,2020-05-06,2020-05-31,"Syria","SYR","SY","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Syria",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.al-monitor.com/pulse/originals/2020/03/syria-coronavirus-who-pandemic-denial-cases-detention-camps.html",2020-05-08,2020-05-08 08:08:27
"4","R_1OlVmoSll2CujCGEc",7988092,"update","original","End of Policy",NA,"The Syrian government originally ordered the closure of universities, schools and institutions from March 14 to April 2 but has decided to extend this on May 6 and reopen universities and institutions as of May 31, 2020. UPDATE: The Syrian government originally ordered the closure of universities, schools and institutions from March 14 to April 2 but decided on Wednesday, 6 May to extend this reopen universities and institutions as of May 31, 2020.",2020-05-06,2020-05-06,2020-05-31,"Syria","SYR","SY","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Syria",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.al-monitor.com/pulse/originals/2020/03/syria-coronavirus-who-pandemic-denial-cases-detention-camps.html",2020-05-08,2020-05-08 08:08:27
"5","R_3PnVnQMMrcsbbHyEw",9774266,"new_entry","original",NA,NA,"On March 20, the government banned entry for foreigners, after the first coronavirus victim reached Syria by road from Lebanon after returning from Europe.",2020-03-20,2020-03-20,NA,"Syria","SYR","SY","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,NA,"All countries","All countries",NA,NA,NA,NA,"Foreign Travelers","Inbound","All kinds of transport","Mandatory (Unspecified/Implied)","National Government",50.4099965432891,48.6338889685466,46.8254541456461,18,"https://www.washingtonpost.com/politics/2020/04/02/syrias-civil-war-will-make-fighting-coronavirus-particularly-difficult/",2020-04-04,2020-04-04 12:15:10
"6","R_3CIYhM2j9Kxdh6WCn",3307582,"new_entry","original",NA,NA,"Health officials have deployed medical teams at the national level and to 1,864 health clinics across the country.",2020-03-20,2020-03-20,NA,"Syria","SYR","SY","National",0,NA,NA,"Health Resources","Other Health Infrastructure",NA,NA,"All countries","All countries",NA,NA,NA,NA,"Health Staff","Inbound",NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health",50.4099965432891,48.6338889685466,46.8254541456461,18,"https://www.washingtonpost.com/politics/2020/04/02/syrias-civil-war-will-make-fighting-coronavirus-particularly-difficult/#comments-wrapper",2020-04-04,2020-04-04 12:26:18
"7","R_1ib81Zz1Boj3UtLEd",5531975,"new_entry","original",NA,NA,"The Syrian Government decided on a curfew to prevent the movement of citizens between centres of cities and countryside which came into effect on the 31st of March and is set to last until the 16th of April.",2020-03-27,2020-03-29,2020-05-02,"Syria","SYR","SY","National",1,NA,NA,"Internal Border Restrictions",NA,NA,NA,"Syria","All countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",50.9578612767895,49.1319694045704,47.1442530773358,15,"https://sana.sy/en/?p=189023",2020-04-17,2020-04-17 10:24:55
"8","R_2wdAENGW2F2ht2CEd",5531975,"update","original",NA,"Strengthening","The Syrian Interior Ministry extended the curfew among provinces which prevents the commuting of citizens between province centres and all other urban and rural areas at all times excluding those with clearance 
set to last until April 16 to May 2nd. UPDATE: The original travel restriction referred to under the curfew measure by the Syrian government set to last until April 16 has been extended to May 2.",2020-04-15,2020-04-15,2020-05-02,"Syria","SYR","SY","National",0,NA,NA,"Internal Border Restrictions",NA,NA,NA,"Syria","All countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government,Ministry/Department of Health",53.602292453085,48.8834935468953,45.2980249959481,14,"https://sana.sy/en/?p=189969",2020-04-17,2020-04-17 10:36:02
"9","R_71Uq3YFNYmTfTslEd",5531975,"update","original",NA,"Relaxing","The Syrian Government with the curfew still in place until May 2nd has decided to allow citizens to travel among provinces on the 20th and 21st of April after putting medical teams at the entrance of each province. UPDATE: Curfew among provinces is still enforced until May 2 but the government is making an exception and allowing citizens to travel among provinces on the 20th and 21st of April.",2020-04-16,2020-04-20,2020-05-02,"Syria","SYR","SY","National",0,NA,NA,"Internal Border Restrictions",NA,NA,NA,"Syria","All countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government,Ministry/Department of Health",53.5108975379622,48.9397308588836,44.8567025530307,14,"https://sana.sy/en/?p=190089",2020-04-17,2020-04-17 10:44:37
"10","R_vc8177Er6zPsGbLEd",3960526,"new_entry","original",NA,NA,"On March 23, the government stepped up procedures for the supposed response to the epidemic by carrying out campaigns to sterilize cities and villages.",2020-03-23,2020-03-23,NA,"Syria","SYR","SY","National",0,NA,NA,"Other Policy Not Listed Above",NA,"Disinfection / sterilization of cities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","National Government,Other (Please specify in the text box)",51.1167798775348,48.8483775539787,46.7020059896991,16,"https://www.al-monitor.com/pulse/originals/2020/03/syria-coronavirus-who-pandemic-denial-cases-detention-camps.html",2020-04-04,2020-04-04 07:56:58
