record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_3nvIvjbXvPeOOGrDn,8106378,new_entry,original,,,Taiwan CECC determines that all primary and secondary schools will postpone the first day of spring semester until 2 weeks later to minimize the risk of the spread of the disease and ensure students’ health on Feb. 02.,2020-02-02,2020-02-02,2020-02-25,Taiwan,TWN,TW,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Taiwan,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government,Municipal Government",52.6797635243845,51.7557150085018,51.0194360768854,191,https://www.cdc.gov.tw/Bulletin/Detail/JZQlIA_rgWjwQV-gqeJJww?typeid=9,2020-04-02,2020-04-02T10:26:32Z,10,0,0,64,1067,0.045,,,,,,45,2437,0,2,,0.823284328,0.008362531,0,61,,,,,,,,2,2,3.473153114,,,0.80241404
R_3nvIvjbXvPeOOGrEm,8106378,new_entry,original,,,Taiwan CECC determines that all primary and secondary schools will postpone the first day of spring semester until 2 weeks later to minimize the risk of the spread of the disease and ensure students’ health on Feb. 02.,2020-02-02,2020-02-02,2020-02-25,Taiwan,TWN,TW,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Taiwan,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government,Municipal Government",52.6797635243845,51.7557150085018,51.0194360768854,191,https://www.cdc.gov.tw/Bulletin/Detail/JZQlIA_rgWjwQV-gqeJJww?typeid=9,2020-04-02,2020-04-02T10:26:32Z,10,0,0,64,1067,0.045,,,,,,45,2437,0,2,,0.823284328,0.008362531,0,61,,,,,,,,2,2,3.473153114,,,0.80241404
R_300nXnDxBrZdmClBs,3165307,new_entry,original,,,Taiwan Ministry of Education announces that the start of spring semester will be postponed till Feb. 25 for universities and higher educations on Feb. 03.,2020-02-03,2020-02-03,2020-02-25,Taiwan,TWN,TW,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Taiwan,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government,Municipal Government",52.8220800189079,51.9853022749606,51.1494737131148,192,https://www.cna.com.tw/news/firstnews/202002035004.aspx,2020-04-02,2020-04-02T11:23:51Z,10,0,0,131,1198,0.05,,,,,,45,2437,0,2,,0.823284328,0.008362531,0,61,,,,,,,,2,2,3.473153114,,,0.80241404
R_3RqEzdGfIQ8PYIaNA,3161635,new_entry,original,,,"Taiwan CDC has raised the travel notice level for Wuhan City to Level 2: Alert, advising travelers planning to recently visit Wuhan and other neighboring areas in China to take personal precautions to ward off infection on Jan. 16.",2020-01-16,2020-01-16,,Taiwan,TWN,TW,National,0,,,,External Border Restrictions,,,,China,One or more cities within a country,,,Wuhan,,All Residents (Citizen Residents +Foreign Residents),Outbound,All kinds of transport,Voluntary/Recommended but No Penalties,Ministry/Department of Health,,,,,https://www.cdc.gov.tw/Bulletin/Detail/vhdJ-q9cK-U5pHwlzVDklg?typeid=9,2020-03-31,2020-03-31T07:26:37Z,,,,4,4,0,,,,,,45,2437,0,2,,0.823284328,0.008362531,0,61,,,,,,,,2,2,3.473153114,,,0.80241404
R_2EEJkkfw4DbBYQfNA,4914058,new_entry,original,,,"Taiwan Central Epidemic Command Center (CECC) raises the travel notice level for Wuhan, China to Level 3: Warning on Jan. 21.",2020-01-21,2020-01-21,,Taiwan,TWN,TW,National,0,,,,External Border Restrictions,,,,China,One or more cities within a country,,,Wuhan,,All Residents (Citizen Residents +Foreign Residents),Outbound,All kinds of transport,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",50.8353170022723,49.4996078977363,47.6186928973182,192,https://www.cdc.gov.tw/Bulletin/Detail/6oHuoqzW9e_onW0AaMEemg?typeid=9,2020-03-31,2020-03-31T16:22:58Z,,,,12,20,0.001,,,,,,45,2437,0,2,,0.823284328,0.008362531,0,61,,,,,,,,2,2,3.473153114,,,0.80241404
R_215kQqAcvSc10x5NA,2653741,new_entry,original,,,Taiwan CECC broadens the travel notice to Hubei Province (including Wuhan City) and raised the level for Hubei Province to Level 3: Warning on Jan 25. The public is advised to avoid non-essential trips to the area.,2020-01-25,2020-01-25,,Taiwan,TWN,TW,National,0,,,,External Border Restrictions,,,,China,One or more provinces within a country,,Wubei,,,All Residents (Citizen Residents +Foreign Residents),Outbound,"All kinds of transport,Ferries",Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",51.0008566823219,49.8826507750369,48.5819459962013,191,https://www.cdc.gov.tw/Bulletin/Detail/MnTWeIbgfZ43qiDUrO7kRg?typeid=9,2020-03-31,2020-03-31T16:51:21Z,3,0,0,91,282,0.012,,,,,,45,2437,0,2,,0.823284328,0.008362531,0,61,,,,,,,,2,2,3.473153114,,,0.80241404
R_1N4ZpEHhEJ1loHSNA,3477662,new_entry,original,,,Taiwan CECC  raises travel notice level for other Chinese provinces to Level 2: Alert on Jan. 25. Travelers planning to visit China are advised to reinforce prevention measures.,2020-01-25,2020-01-25,,Taiwan,TWN,TW,National,0,,,,External Border Restrictions,,,,China,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents +Foreign Residents),Outbound,All kinds of transport,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",51.0008566823219,49.8826507750369,48.5819459962013,191,https://www.cdc.gov.tw/Bulletin/Detail/MnTWeIbgfZ43qiDUrO7kRg?typeid=9,2020-03-31,2020-03-31T16:55:37Z,3,0,0,91,282,0.012,,,,,,45,2437,0,2,,0.823284328,0.008362531,0,61,,,,,,,,2,2,3.473153114,,,0.80241404
R_Wwbx8qbmJ37Z0BjNA,5356109,new_entry,original,,,Taiwan CECC stipulates restrictions on entry of Chinese citizens on Jan. 26.,2020-01-26,2020-01-26,,Taiwan,TWN,TW,National,0,,,,External Border Restrictions,,,,China,"One or more countries, but not all countries",,,,,Other,Inbound,All kinds of transport,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",51.0055507310985,50.1596981269934,48.8501910796606,191,https://www.cdc.gov.tw/Bulletin/Detail/Ja4WiN7s_J7sqFkLmxTCAA?typeid=9,2020-04-01,2020-04-01T14:45:12Z,4,0,0,117,399,0.017,,,,,,45,2437,0,2,,0.823284328,0.008362531,0,61,,,,,,,,2,2,3.473153114,,,0.80241404
R_2YVveRg59hi3qgSNA,8403815,new_entry,original,,,"Taiwan CECC raises travel notice level for China (excluding Hong Kong, Macau) to Level 3: Warning; public advised to avoid non-essential travels to China on Jan. 28.",2020-01-28,2020-01-28,,Taiwan,TWN,TW,National,0,,,,External Border Restrictions,,,,China,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents +Foreign Residents),Outbound,All kinds of transport,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",51.4644188308248,50.4381106759718,49.2975554854564,191,https://www.cdc.gov.tw/Bulletin/Detail/-lN6bM-ZCU-nWv1gUIXxOg?typeid=9,2020-04-01,2020-04-01T14:50:19Z,8,0,0,95,617,0.026,,,,,,45,2437,0,2,,0.823284328,0.008362531,0,61,,,,,,,,2,2,3.473153114,,,0.80241404
R_VQLU3QEIwx3GaHvCs,1699492,new_entry,original,,,"Feb. 3, CECC determines that Wenzhou residents are prohibited from entering Taiwan.",2020-02-03,2020-02-03,,Taiwan,TWN,TW,National,0,,,,External Border Restrictions,Other External Border Restriction,,,China,One or more cities within a country,,,Wenzhou,,All Foreign Nationals (Foreign Residents + Foreign Travelers),Inbound,All kinds of transport,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health",52.8220800189079,51.9853022749606,51.1494737131148,192,https://www.cdc.gov.tw/Bulletin/Detail/E9iQwdg9OLIu8I9Il8s_uQ?typeid=9,2020-07-13,2020-07-13T10:55:50Z,10,0,0,131,1198,0.05,,,,,,45,2437,0,2,,0.823284328,0.008362531,0,61,,,,,,,,2,2,3.473153114,,,0.80241404
R_spyvZMLwvvxqdO1NA,2834104,new_entry,correction,,,"Taiwan CECC announces strict border control: cruise ships docking in China, Hong Kong or Macau 14 days prior to arrival barred from entry on Feb. 05.",2020-02-04,2020-02-04,,Taiwan,TWN,TW,National,0,,,,External Border Restrictions,,,,"China,Hong Kong,Macau","One or more countries, but not all countries",,,,,All (Travelers + Residents),Inbound,"Cruises,Ferries",Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government,Municipal Government,Police",53.0855979547061,52.0835633889935,51.1004460512642,192,https://www.cdc.gov.tw/Bulletin/Detail/ju9Pn6BdJZBks83L5iDGCg?typeid=9,2020-04-02,2020-04-02T20:50:25Z,11,0,0,103,1301,0.055,,,,,,45,2437,0,2,,0.823284328,0.008362531,0,61,,,,,,,,2,2,3.473153114,,,0.80241404
R_OjIJf8QwCtE1vzzNA,720030,new_entry,correction,,,"Taiwan CECC announces that China (including Hong Kong and Macau) are listed as Level 2: Alert; all residents from China are prohibited to enter starting from Feb. 6. 
",2020-02-05,2020-02-06,,Taiwan,TWN,TW,National,0,,,,External Border Restrictions,,,,"Andorra,China,Hong Kong,Macau","One or more countries, but not all countries",,,,,Other,Inbound,All kinds of transport,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government,Municipal Government,Police",53.216085044397,52.2893871123497,51.380608944749,193,https://www.cdc.gov.tw/Bulletin/Detail/d8IEMvgt20oaB7rIu8ygaQ?typeid=9,2020-04-02,2020-04-02T21:32:50Z,16,0,1,77,1535,0.064,,,,,,45,2437,0,2,,0.823284328,0.008362531,0,61,,,,,,,,2,2,3.473153114,,,0.80241404
R_30jy9UIWR6g2xUuNA,4389870,new_entry,correction,,,"Taiwan CDC announces international cruise ships will be banned from calling at ports of Taiwan on Feb 6. 
",2020-02-06,2020-02-06,,Taiwan,TWN,TW,National,0,,,,External Border Restrictions,,,,All countries,All countries,,,,,All (Travelers + Residents),Inbound,Cruises,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government,Municipal Government,Police",53.216085044397,52.2893871123497,51.380608944749,193,https://www.cdc.gov.tw/Bulletin/Detail/yybAkCFAUSmBeCQlimc7Cw?typeid=9,2020-04-02,2020-04-02T21:36:53Z,16,0,1,77,1535,0.064,,,,,,45,2437,0,2,,0.823284328,0.008362531,0,61,,,,,,,,2,2,3.473153114,,,0.80241404
R_xc5YhBzJ6VcpklPNA,8973711,new_entry,original,,,"Taiwan CECC announces that travel notice for  Hong Kong and Macau has been raised to Level 3: Warning; for Singapore has been raised to Level 2: Alert; for Thailand has been raised to Level 1: Watch, and the public is advised to practice usual precautions on Feb.11.",2020-02-11,2020-02-11,,Taiwan,TWN,TW,National,0,,,,External Border Restrictions,,,,"Hong Kong,Macau,Singapore,Thailand","One or more countries, but not all countries",,,,,All Citizens (Citizen Residents + Citizen Travelers),Outbound,All kinds of transport,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",53.4115704622913,52.5251129379608,51.6401682924532,193,https://www.cdc.gov.tw/Bulletin/Detail/j2cq5c_IOwT9W-eAIYnw0g?typeid=9,2020-04-02,2020-04-02T21:26:04Z,18,0,1,168,2460,0.103,,,,,,45,2437,0,2,,0.823284328,0.008362531,0,61,,,,,,,,2,2,3.473153114,,,0.80241404
R_57TPYe0O2IYRg8FBp,5970084,new_entry,original,,,"Taiwan CECC announces that travelers entering Taiwan to be required to complete health declaration form and accurately provide their travel and contact history regarding whether they have visited China, Hong Kong and Macau over the past 14 days before entry on February 11.",2020-02-11,2020-02-11,,Taiwan,TWN,TW,National,0,,,,External Border Restrictions,Health Screenings (e.g. temperature checks),,,All countries,All countries,,,,,All (Travelers + Residents),Inbound,All kinds of transport,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",53.4115704622913,52.5251129379608,51.6401682924532,193,https://www.cdc.gov.tw/Bulletin/Detail/Q5a-4r_k3qNum3SEY8jTBw?typeid=9,2020-04-02,2020-04-02T21:44:57Z,18,0,1,168,2460,0.103,,,,,,45,2437,0,2,,0.823284328,0.008362531,0,61,,,,,,,,2,2,3.473153114,,,0.80241404
R_TjY6h3urwIybxWpNA,1364360,new_entry,original,,,Taiwan CDC raises the travel notice level for Japan to Level: 1 Watch and the public is advised to practice usual precautions om Feb. 14.,2020-02-14,2020-02-14,,Taiwan,TWN,TW,National,0,,,,External Border Restrictions,,,,Japan,"One or more countries, but not all countries",,,,,All (Travelers + Residents),Outbound,All kinds of transport,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",53.710645732269,52.6002699454794,51.6509990565661,193,https://www.cdc.gov.tw/Bulletin/Detail/X2p9CYKPpCGtKoChJtfU5A?typeid=9,2020-04-02,2020-04-02T21:58:14Z,18,0,2,72,2775,0.117,,,,,,45,2437,0,2,,0.823284328,0.008362531,0,61,,,,,,,,2,2,3.473153114,,,0.80241404
R_3gXbnlXYfB1sPg1NA,9692751,new_entry,original,,,Taiwan CECC raises travel notice level for South Korea raised to Level 1: Watch in light of the clusters of cases reported in South Korea on Feb 20. The public is advised to practice usual precautions.,2020-02-20,2020-02-20,,Taiwan,TWN,TW,National,0,,,,External Border Restrictions,,,,South Korea,"One or more countries, but not all countries",,,,,All (Travelers + Residents),Outbound,All kinds of transport,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",54.0180913033337,52.6759004569363,51.4156992232277,193,https://www.cdc.gov.tw/En/Bulletin/Detail/TwikjYl1HNzFx8-NOO65KQ?typeid=158,2020-04-03,2020-04-03T09:18:48Z,24,1,2,796,6113,0.257,,,,,,45,2437,0,2,,0.823284328,0.008362531,0,61,,,,,,,,2,2,3.473153114,,,0.80241404
R_OBZEvr8SiSToCL7NA,5454130,new_entry,original,,,Taiwan CECC raises travel notice level for Japan and South Korea to Level 2: Alert on Feb 22; travelers to the countries are advised to practice enhanced precautions.,2020-02-22,2020-02-22,,Taiwan,TWN,TW,National,0,,,,External Border Restrictions,,,,"Japan,South Korea","One or more countries, but not all countries",,,,,All (Travelers + Residents),Outbound,All kinds of transport,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",53.9694086322305,52.6924741947448,51.7061405030149,193,https://www.cdc.gov.tw/En/Bulletin/Detail/J3j8EM1yS-5FACSFd5kM_A?typeid=158,2020-04-03,2020-04-03T09:23:03Z,26,1,2,444,7271,0.305,,,,,,45,2437,0,2,,0.823284328,0.008362531,0,61,,,,,,,,2,2,3.473153114,,,0.80241404
R_1goHtwHdN23ViHxNA,8635476,new_entry,original,,,Taiwan CECC raises travel notice level for Iran and Italy to Level 1:Watch. Travelers to Iran and Italy are advised to practice usual precautions. Medical personnel are advised to postpone any travel plans for these two countries,2020-02-23,2020-02-23,,Taiwan,TWN,TW,National,0,,,,External Border Restrictions,,,,"Iran,Italy","One or more countries, but not all countries",,,,,All (Travelers + Residents),Outbound,All kinds of transport,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",53.9301144536577,52.7942549529003,51.7697867416602,193,https://www.cdc.gov.tw/En/Bulletin/Detail/dXyJaqqWsW4Mr25leE63Hw?typeid=158,2020-04-03,2020-04-03T09:29:17Z,28,1,2,328,7599,0.319,,,,,,45,2437,0,2,,0.823284328,0.008362531,0,61,,,,,,,,2,2,3.473153114,,,0.80241404
R_Qd2r4ZitLv4JegxNA,4982796,new_entry,original,,,Taiwan CECC advices medical personnel to postpone any travel plans for Italy and Iran on Feb. 23.,2020-02-23,2020-02-23,,Taiwan,TWN,TW,National,0,,,,External Border Restrictions,,,,"Iran,Italy","One or more countries, but not all countries",,,,,Health Staff,Outbound,All kinds of transport,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",53.9301144536577,52.7942549529003,51.7697867416602,193,https://www.cdc.gov.tw/En/Bulletin/Detail/dXyJaqqWsW4Mr25leE63Hw?typeid=158,2020-04-03,2020-04-03T09:31:45Z,28,1,2,328,7599,0.319,,,,,,45,2437,0,2,,0.823284328,0.008362531,0,61,,,,,,,,2,2,3.473153114,,,0.80241404
R_2scj3J60iF9z7cFNA,6007875,new_entry,original,,,"On Feb. 24 Taiwan CECC raises travel notice level for South Korea to Level 3: Warning, advises against all non-essential travel.",2020-02-24,2020-02-24,,Taiwan,TWN,TW,National,0,,,,External Border Restrictions,,,,"Andorra,South Korea","One or more countries, but not all countries",,,,,All (Travelers + Residents),Outbound,All kinds of transport,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",53.9020090808913,52.8214134610445,51.7463770238699,193,https://www.cdc.gov.tw/En/Bulletin/Detail/VzLSC-IamdWaXhm0--MLOA?typeid=158,2020-04-03,2020-04-03T13:22:41Z,30,1,5,698,8297,0.348,,,,,,45,2437,0,2,,0.823284328,0.008362531,0,61,,,,,,,,2,2,3.473153114,,,0.80241404
R_3EpdXSRinltL9hGNA,7680556,new_entry,original,,,"Taiwan CECC announces on Feb 25. that it has raised the travel notice for Italy to Level 2: Alert, in the wake of the rapid increase in the number of coronavirus disease 2019 (COVID-19) cases in the country. The CECC advised travelers to take enhanced precautions when visiting Italy.",2020-02-25,2020-02-25,,Taiwan,TWN,TW,National,0,,,,External Border Restrictions,,,,Italy,"One or more countries, but not all countries",,,,,All (Travelers + Residents),Outbound,All kinds of transport,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",53.9418836327086,52.8726598620617,51.9199007353668,192,https://www.cdc.gov.tw/En/Bulletin/Detail/G5xSGSEl-7GNvyRzYZ5KYQ?typeid=158,2020-04-04,2020-04-04T08:59:01Z,31,1,5,609,8906,0.374,,,,,,45,2437,0,2,,0.823284328,0.008362531,0,61,,,,,,,,2,2,3.473153114,,,0.80241404
R_3FPWQcXPRsJ4SreNA,8025288,new_entry,original,,,Taiwan CECC raises travel notice level for Iran to Level 2: Alert; travelers advised to practice enhanced precautions.,2020-02-26,2020-02-26,,Taiwan,TWN,TW,National,0,,,,External Border Restrictions,,,,Iran,"One or more countries, but not all countries",,,,,All (Travelers + Residents),Outbound,All kinds of transport,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",54.0966847292521,52.8963691785751,51.7493325757655,192,https://www.cdc.gov.tw/En/Bulletin/Detail/Kv_0clwM62rL8L2gcOLcsg?typeid=158,2020-04-04,2020-04-04T10:19:39Z,32,1,5,521,9427,0.396,,,,,,45,2437,0,2,,0.823284328,0.008362531,0,61,,,,,,,,2,2,3.473153114,,,0.80241404
R_Uo8VRx9tdKxai5PNA,6779135,new_entry,original,,,Taiwan CECC raises travel notice for Italy to Level 3: Warning. The CECC has also advised against all nonessential travel to Italy on Feb 27.,2020-02-27,2020-02-27,,Taiwan,TWN,TW,National,0,,,,External Border Restrictions,,,,Italy,"One or more countries, but not all countries",,,,,All (Travelers + Residents),Outbound,All kinds of transport,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",53.9625028106299,52.9342609715401,51.7059902903272,192,https://www.cdc.gov.tw/En/Bulletin/Detail/ZAMRoH02YNNzJusp0p_Wmw?typeid=158,2020-04-04,2020-04-04T11:00:13Z,32,1,5,520,9947,0.418,,,,,,45,2437,0,2,,0.823284328,0.008362531,0,61,,,,,,,,2,2,3.473153114,,,0.80241404
R_2zl6O1S7EtiPXDmNA,1117486,new_entry,original,,,"Taiwan CECC raised its travel notice level to Level 2: Alert for France, Germany and Spain, in the wake of rapid increases in the numbers of coronavirus disease on March 7. The CECC also advised travelers visiting these countries to take enhanced precautions.",2020-03-07,2020-03-07,,Taiwan,TWN,TW,National,0,,,,External Border Restrictions,,,,"France,Germany,Spain","One or more countries, but not all countries",,,,,All (Travelers + Residents),Outbound,All kinds of transport,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",54.4798388155138,53.0946563112088,51.592932023713,192,https://www.cdc.gov.tw/En/Bulletin/Detail/jvT2F21nomw3aonZfClbjg?typeid=158,2020-04-04,2020-04-04T14:31:32Z,45,1,12,307,13835,0.581,,,,,,45,2437,0,2,,0.823284328,0.008362531,0,61,,,,,,,,2,2,3.473153114,,,0.80241404
R_3PYagds90chRDIfNA,7629164,new_entry,original,,,"Taiwan CECC raises travel notice for certain European, Middle Eastern countries (Austria, Bahrain, Belgium, Denmark, Iceland, Kuwait, the Netherlands, Norway, Sweden, and Switzerland) to Level 2: Alert; travelers advised to take adequate precautionary measures on March 11.",2020-03-11,2020-03-11,,Taiwan,TWN,TW,National,0,,,,External Border Restrictions,,,,"Australia,Bahrain,Belgium,Denmark,Iceland,Kuwait,Netherlands,Norway,Sweden,Switzerland","One or more countries, but not all countries",,,,,All (Travelers + Residents),Outbound,All kinds of transport,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",54.4113932893791,53.1194701170526,52.1516354718431,189,https://www.cdc.gov.tw/En/Bulletin/Detail/dR9BLKaoyt1OqvMj0ObuWg?typeid=158,2020-04-05,2020-04-05T09:16:29Z,48,1,17,445,15386,0.646,,,,,,45,2437,0,2,,0.823284328,0.008362531,0,61,,,,,,,,2,2,3.473153114,,,0.80241404
R_2tm0Tw0ek2mzktrNA,3411095,new_entry,original,,,"On March 11 Taiwan CECC raises travel notice to Level 1: Watch for the following countries: the Czech Republic, Estonia, Finland, Greece, Hungary, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Poland, Portugal, Slovakia, Slovenia, Ireland and the United Kingdom; visitors to the countries listed above to take usual precautionary measures.",2020-03-11,2020-03-11,,Taiwan,TWN,TW,National,0,,,,External Border Restrictions,,,,"Czechia,Estonia,Finland,Greece,Hungary,Ireland,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Poland,Portugal,Slovakia,Slovenia,United Kingdom","One or more countries, but not all countries",,,,,All (Travelers + Residents),Outbound,All kinds of transport,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",54.4113932893791,53.1194701170526,52.1516354718431,189,https://www.cdc.gov.tw/En/Bulletin/Detail/dR9BLKaoyt1OqvMj0ObuWg?typeid=158,2020-04-05,2020-04-05T09:27:35Z,48,1,17,445,15386,0.646,,,,,,45,2437,0,2,,0.823284328,0.008362531,0,61,,,,,,,,2,2,3.473153114,,,0.80241404
R_2EocP6PyfOf8GbgNA,6415233,new_entry,original,,,"Taiwan CECC raises the travel notice on March 17, to Level 3: Warning, for all Schengen countries, Ireland and UK. People are advised to avoid nonessential travel to these countries. The CECC raised its travel notice for the states of Washington, New York and California to level 2: Alert. Travelers visiting these regions are advised to practice enhanced precautions. The travel notice for remaining US states is Level 1: Watch, and visitors are advised to take usual precautionary measures.",2020-03-14,2020-03-14,,Taiwan,TWN,TW,National,0,,,,External Border Restrictions,,,,United States,One or more provinces within a country,,the states of Washington; New York; California,,,All (Travelers + Residents),Outbound,All kinds of transport,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",54.4037076947858,53.1732205538355,52.0611801239975,183,https://www.cdc.gov.tw/En/Bulletin/Detail/6q57qJkOZt2iLorwqGI5Zw?typeid=158,2020-04-05,2020-04-05T09:48:11Z,53,1,20,379,16881,0.709,,,,,,45,2437,0,2,,0.823284328,0.008362531,0,61,,,,,,,,2,2,3.473153114,,,0.80241404
