"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","institution_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_TtQSix76cnzouGZNA","7619852","new_entry","original",NA,NA,"On June 26, the upper house of the Tajikistan Parliament approved controversial changes to the Code of Administrative Offenses, which provide for a fine for knowingly false information about the coronavirus pandemic in the media and social networks.",2020-06-26,2020-06-26,NA,"Tajikistan","TJK","TJ","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"","Tajikistan",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Fines","National Government",NA,NA,NA,NA,"https://rus.ozodi.org/a/30691969.html",2020-09-21,2020-09-21 04:18:41
"2","R_3R4QpInU1JA57hVCw","2500273","new_entry","original",NA,NA,"The Republican Committee for combating coronavirus announced on May 5 that schools will extend the holidays untill August 16, final exams for classes 9 and 11 will take place in June and for the other classes the evaluation will be based on performance during September 2019 - April 2020.",2020-05-05,2020-05-10,2020-08-16,"Tajikistan","TJK","TJ","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Tajikistan",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,New (COVID-19 specific) Task Force",NA,NA,NA,NA,"https://www.asiaplustj.info/ru/news/tajikistan/power/20200505/shkolnikam-tadzhikistana-prodlili-kanikuli-do-16-avgusta",2020-06-23,2020-06-23 18:11:04
"3","R_3R4QpInU1JA57hVDr","2500273","new_entry","original",NA,NA,"The Republican Committee for combating coronavirus announced on May 5 that schools will extend the holidays untill August 16, final exams for classes 9 and 11 will take place in June and for the other classes the evaluation will be based on performance during September 2019 - April 2020.",2020-05-05,2020-05-10,2020-08-16,"Tajikistan","TJK","TJ","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Tajikistan",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,New (COVID-19 specific) Task Force",NA,NA,NA,NA,"https://www.asiaplustj.info/ru/news/tajikistan/power/20200505/shkolnikam-tadzhikistana-prodlili-kanikuli-do-16-avgusta",2020-06-23,2020-06-23 18:11:04
"4","R_1pGz2osZft7ZXdqCw","3314034","new_entry","original",NA,NA,"In Tajikistan, the Ministry of Education and Science of the country announced on August 5 that classes in schools will be held in compliance with sanitary and epidemiological standards and social distance.",2020-08-06,2020-08-06,NA,"Tajikistan","TJK","TJ","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools allowed to open with conditions","Tajikistan",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://rus.ozodi.org/a/30769551.html",2020-09-21,2020-09-21 05:25:02
"5","R_1pGz2osZft7ZXdqDr","3314034","new_entry","original",NA,NA,"In Tajikistan, the Ministry of Education and Science of the country announced on August 5 that classes in schools will be held in compliance with sanitary and epidemiological standards and social distance.",2020-08-06,2020-08-06,NA,"Tajikistan","TJK","TJ","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools allowed to open with conditions","Tajikistan",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://rus.ozodi.org/a/30769551.html",2020-09-21,2020-09-21 05:25:02
"6","R_1r60QdgsVJcjgOQBf","6277312","new_entry","original",NA,NA,"Tajikistan strengthens sanitary quarantine points in airports and at the border points of the country, both in the air and in the ground zones, and conducts health screenings for all passengers arriving from abroad starting from January 27",2020-01-27,2020-01-27,NA,"Tajikistan","TJK","TJ","National",0,NA,NA,"External Border Restrictions","Health Screenings (e.g. temperature checks)",NA,"","All countries","All countries",NA,NA,NA,NA,"All Travelers (Citizen Travelers + Foreign Travelers )","Inbound","Flights,Land Border","Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",48.9568990213561,47.5954196968811,45.3813349147608,123,"https://tj.sputniknews.ru/health/20200127/1030608238/tajikistan-koronavirus-minzdrav-zashchitnye-mery.html ; http://moh.tj/%d0%bc%d1%83%d0%b1%d0%be%d1%80%d0%b8%d0%b7%d0%b0%d0%b8-%d0%b3%d0%bb%d0%be%d0%b1%d0%b0%d0%bb%d3%a3-%d0%b1%d0%be-%d0%ba%d0%be%d1%80%d0%be%d0%bd%d0%b0%d0%b2%d0%b8%d1%80%d1%83%d1%81%d0%b8-%d1%87%d0%b8/",2020-04-17,2020-04-17 05:53:01
"7","R_2VPxvVIPniuuKWMNA","7949211","new_entry","original",NA,NA,"Tajikistan Suspends All Flights To Iran Over Coronavirus as of February 24",2020-02-24,2020-02-24,NA,"Tajikistan","TJK","TJ","National",0,NA,NA,"External Border Restrictions",NA,NA,"","Iran","One or more countries, but not all countries",NA,NA,NA,NA,"All Travelers (Citizen Travelers + Foreign Travelers )","Inbound/Outbound","Flights","Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",50.5422921501814,49.1517729673923,47.9052100242538,115,"https://www.rferl.org/a/tajikistan-suspends-flights-to-iran-over-coronavirus/30451515.html",2020-04-17,2020-04-17 07:34:06
"8","R_2xKoMR2xFm5obRWBf","7385384","new_entry","original",NA,NA,"Tajikistan tightens border controls with Afghanistan and Uzbekistan starting February 25 for travelers from these countries",2020-02-25,2020-02-25,NA,"Tajikistan","TJK","TJ","National",0,NA,NA,"External Border Restrictions","Health Screenings (e.g. temperature checks)",NA,"","Afghanistan,Uzbekistan","One or more countries, but not all countries",NA,NA,NA,NA,"All Travelers (Citizen Travelers + Foreign Travelers )","Inbound","Flights,Land Border","Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",50.5356684530798,49.1798167626542,47.8629288214801,111,"https://rus.ozodi.org/a/30453152.html",2020-04-17,2020-04-17 14:10:16
"9","R_2zPk6gWb0Qjdz4tNA","2154691","new_entry","original",NA,NA,"Tajikistan blocks the entry of ""citizens from China, South Korea, Italy , Iran, Japan, Spain, Singapore, United States, Kuwait , Bahrain, Thailand, Switzerland, the United Kingdom , Malaysia, Australia, Canada, Iraq, United Arab Emirates , Austria, Vietnam, Sweden, Lebanon, Israel , Croatia, Belgium, Finland,  Oman, Algeria, India, the Philippines, Egypt, Afghanistan, Cambodia, Nepal and Sri Lanka,"" on March 2.",2020-03-02,2020-03-02,2020-03-04,"Tajikistan","TJK","TJ","National",0,NA,NA,"External Border Restrictions",NA,NA,"","Afghanistan,Algeria,Australia,Bahrain,Belgium,Cambodia,Canada,China,Croatia,Egypt,Finland,India,Iran,Iraq,Israel,Italy,Japan,Kuwait,Lebanon,Malaysia,Nepal,Oman,Philippines,Singapore,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Thailand,United Arab Emirates,United Kingdom,United States,Vietnam","One or more countries, but not all countries",NA,NA,NA,NA,"All Foreign Nationals (Foreign Residents + Foreign Travelers)","Inbound","Flights","Mandatory (Unspecified/Implied)","National Government",51.2259570115692,49.5684689152665,48.2942335226501,104,"https://thediplomat.com/2020/03/tajikistan-blocks-entry-of-citizens-from-35-countries-over-coronavirus-fears/",2020-04-03,2020-04-03 09:12:31
"10","R_2pKJGe8JX8ztSTONA","8759979","new_entry","original",NA,NA,"In Tajikistan on March 3, it was announced that ""the border would be shut only to citizens of China, Iran, South Korea, Afghanistan and Italy."" This comes after a previous ban to citizens of 35 nations which was subsequently annulled.",2020-03-03,2020-03-03,NA,"Tajikistan","TJK","TJ","National",0,NA,NA,"External Border Restrictions",NA,NA,"","Afghanistan,China,Iran,Italy,South Korea","One or more countries, but not all countries",NA,NA,NA,NA,"All Foreign Nationals (Foreign Residents + Foreign Travelers)","Inbound","All kinds of transport","Mandatory (Unspecified/Implied)","National Government",51.1124255558836,49.6691426233758,48.5125531774521,107,"https://advance.lexis.com/api/permalink/0df02ba2-5815-472b-a4eb-75a366c3539c/?context=1516831",2020-04-17,2020-04-17 07:20:07
