"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_3Q9mX5IMjuYps09NA",815450,"new_entry","original","NA",NA,"In Tanzania IMA World Health has been able to work quickly with Tanzania's Ministry of Health to set up a call center that will provide essential health information about COVID-19 as well as counter misinformation about the coronavirus on March 30.",2020-03-30,2020-03-30,NA,"Tanzania","TZA","TZ","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.87406052222,52.2255811045403,48.8420903409579,72,"https://reliefweb.int/report/united-republic-tanzania/ima-world-health-launches-coronavirus-health-information-initiative",2020-05-03,"2020-05-03 19:36:54"
"2","R_1CIVY4SqMLDWgSHCv",3536772,"new_entry","original","NA",NA,"Tanzanian Prime Minister Kassim Majaliwa announced the closure of all schools (extending this to universities the following day) on March 17.",2020-03-17,2020-03-17,NA,"Tanzania","TZA","TZ","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Tanzania",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.0402911105294,52.0840635944004,51.2254403622644,127,"https://www.thenewhumanitarian.org/news/2020/03/24/coronavirus-tanzania-africa",2020-04-02,"2020-04-02 18:19:16"
"3","R_1CIVY4SqMLDWgSHCw",3536772,"new_entry","original","NA",NA,"Tanzanian Prime Minister Kassim Majaliwa announced the closure of all schools (extending this to universities the following day) on March 17.",2020-03-17,2020-03-17,NA,"Tanzania","TZA","TZ","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Tanzania",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.0402911105294,52.0840635944004,51.2254403622644,127,"https://www.thenewhumanitarian.org/news/2020/03/24/coronavirus-tanzania-africa",2020-04-02,"2020-04-02 18:19:16"
"4","R_1CIVY4SqMLDWgSHDr",3536772,"new_entry","original","NA",NA,"Tanzanian Prime Minister Kassim Majaliwa announced the closure of all schools (extending this to universities the following day) on March 17.",2020-03-17,2020-03-17,NA,"Tanzania","TZA","TZ","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Tanzania",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.0402911105294,52.0840635944004,51.2254403622644,127,"https://www.thenewhumanitarian.org/news/2020/03/24/coronavirus-tanzania-africa",2020-04-02,"2020-04-02 18:19:16"
"5","R_1CIVY4SqMLDWgSHBg",3536772,"new_entry","original","NA",NA,"Tanzanian Prime Minister Kassim Majaliwa announced the closure of all schools (extending this to universities the following day) on March 17.",2020-03-17,2020-03-17,NA,"Tanzania","TZA","TZ","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Tanzania",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.0402911105294,52.0840635944004,51.2254403622644,127,"https://www.thenewhumanitarian.org/news/2020/03/24/coronavirus-tanzania-africa",2020-04-02,"2020-04-02 18:19:16"
"6","R_29uYiEwrae8j6P0Cv",6605799,"new_entry","original","NA",NA,"As from 16 March 2020 the government of Tanzania shut down schools for 30 days.",2020-03-16,2020-03-17,2020-04-15,"Tanzania","TZA","TZ","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Tanzania",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",53.0402911105294,52.0840635944004,51.2254403622644,127,"http://www.xinhuanet.com/english/2020-03/17/c_138888678.htm",2020-04-03,"2020-04-03 19:45:23"
"7","R_29uYiEwrae8j6P0Cw",6605799,"new_entry","original","NA",NA,"As from 16 March 2020 the government of Tanzania shut down schools for 30 days.",2020-03-16,2020-03-17,2020-04-15,"Tanzania","TZA","TZ","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Tanzania",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",53.0402911105294,52.0840635944004,51.2254403622644,127,"http://www.xinhuanet.com/english/2020-03/17/c_138888678.htm",2020-04-03,"2020-04-03 19:45:23"
"8","R_29uYiEwrae8j6P0Dr",6605799,"new_entry","original","NA",NA,"As from 16 March 2020 the government of Tanzania shut down schools for 30 days.",2020-03-16,2020-03-17,2020-04-15,"Tanzania","TZA","TZ","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Tanzania",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",53.0402911105294,52.0840635944004,51.2254403622644,127,"http://www.xinhuanet.com/english/2020-03/17/c_138888678.htm",2020-04-03,"2020-04-03 19:45:23"
"9","R_29uYiEwrae8j6P0Bg",6605799,"new_entry","original","NA",NA,"As from 16 March 2020 the government of Tanzania shut down schools for 30 days.",2020-03-16,2020-03-17,2020-04-15,"Tanzania","TZA","TZ","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Tanzania",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",53.0402911105294,52.0840635944004,51.2254403622644,127,"http://www.xinhuanet.com/english/2020-03/17/c_138888678.htm",2020-04-03,"2020-04-03 19:45:23"
"10","R_295GPTQcNVvg75MBg",5628427,"new_entry","correction","NA",NA,"On 20 April, All universities and colleges across Tanzania to be closed.",2020-03-18,2020-04-20,2020-04-20,"Tanzania","TZA","TZ","National",0,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"","Tanzania",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Provincial/State Government,Police",60.0826880693877,51.9312443110177,45.8091014992457,51,"https://www.youtube.com/watch?v=0YVAnn0lTaI",2020-06-10,"2020-06-10 11:12:10"
"11","R_2CwSHgxTlfB1wRABb",2071733,"new_entry","original","NA",NA,"Passengers should fill in Health Surveillance Form in the plane, or any other transport means and submit them to Port Health Authorities upon arrival.",2020-03-23,2020-03-23,NA,"Tanzania","TZA","TZ","National",0,NA,NA,"External Border Restrictions","Health Certificates",NA,"","All countries","All countries",NA,NA,NA,NA,"All Travelers (Citizen Travelers + Foreign Travelers )","Inbound","All kinds of transport","Mandatory (Unspecified/Implied)","National Government",53.3327788569766,52.2582520944327,51.219172807112,103,"https://www.africanews.com/2020/03/24/coronavirus-tanzania-travel-advisory-no1-of-23032020-update-on-covid-19-in-tanzania//",2020-04-02,"2020-04-02 13:44:56"
"12","R_3fwtXaZ0o608hBuBe",9843241,"new_entry","original","NA",NA,"In Tanzania all travellers will be subjected to an intensive screening and where necessary COVID-19 rapid testing.",2020-03-23,2020-03-23,NA,"Tanzania","TZA","TZ","National",0,NA,NA,"External Border Restrictions","Health Screenings (e.g. temperature checks)",NA,"","All countries","All countries",NA,NA,NA,NA,"All (Travelers + Residents)","Inbound","All kinds of transport","Mandatory (Unspecified/Implied)","National Government",53.3327788569766,52.2582520944327,51.219172807112,103,"https://www.africanews.com/2020/03/24/coronavirus-tanzania-travel-advisory-no1-of-23032020-update-on-covid-19-in-tanzania/",2020-04-04,"2020-04-04 11:50:27"
"13","R_bgBmJC3jAN8vyVPNA",7099487,"new_entry","original","NA",NA,"People residing in Tanzania are advised to avoid non-essential travels to COVID-19 affected countries",2020-03-23,2020-03-24,NA,"Tanzania","TZA","TZ","National",0,NA,NA,"External Border Restrictions",NA,NA,"","All countries","All countries",NA,NA,NA,NA,"All Residents (Citizen Residents +Foreign Residents)","Outbound","All kinds of transport","Voluntary/Recommended but No Penalties","National Government",54.3093447966509,52.3619194259407,50.4897894683725,107,"https://www.africanews.com/2020/03/24/coronavirus-tanzania-travel-advisory-no1-of-23032020-update-on-covid-19-in-tanzania//",2020-04-02,"2020-04-02 14:06:59"
