"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_3oHBGpGtY4XJccGCv",1043355,"new_entry","original","NA",NA,"The immediate closure of all public, private and denominational, primary, secondary and university schools for a period of three (03) weeks.",2020-03-20,2020-03-20,NA,"Togo","TGO","TG","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Togo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.29267578639,52.4065240438463,51.5275622876826,129,"https://covid19.gouv.tg/",2020-04-03,"2020-04-03 15:44:07"
"2","R_3oHBGpGtY4XJccGCw",1043355,"new_entry","original","NA",NA,"The immediate closure of all public, private and denominational, primary, secondary and university schools for a period of three (03) weeks.",2020-03-20,2020-03-20,NA,"Togo","TGO","TG","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Togo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.29267578639,52.4065240438463,51.5275622876826,129,"https://covid19.gouv.tg/",2020-04-03,"2020-04-03 15:44:07"
"3","R_3oHBGpGtY4XJccGDr",1043355,"new_entry","original","NA",NA,"The immediate closure of all public, private and denominational, primary, secondary and university schools for a period of three (03) weeks.",2020-03-20,2020-03-20,NA,"Togo","TGO","TG","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Togo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.29267578639,52.4065240438463,51.5275622876826,129,"https://covid19.gouv.tg/",2020-04-03,"2020-04-03 15:44:07"
"4","R_3oHBGpGtY4XJccGBg",1043355,"new_entry","original","NA",NA,"The immediate closure of all public, private and denominational, primary, secondary and university schools for a period of three (03) weeks.",2020-03-20,2020-03-20,NA,"Togo","TGO","TG","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Togo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.29267578639,52.4065240438463,51.5275622876826,129,"https://covid19.gouv.tg/",2020-04-03,"2020-04-03 15:44:07"
"5","R_1mO9Wdkne1xxxrsCv",1043355,"update","original","Change of Policy","Relaxing","The immediate closure of all public, private and denominational, primary, secondary and university schools for a period of three (03) weeks

 schools will reopen on Monday, June 15, according to official sources..",2020-06-13,2020-06-15,NA,"Togo","TGO","TG","National",0,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"","Togo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://covid19.gouv.tg/",2020-08-27,"2020-08-27 18:23:44"
"6","R_1mO9Wdkne1xxxrsCw",1043355,"update","original","Change of Policy","Relaxing","The immediate closure of all public, private and denominational, primary, secondary and university schools for a period of three (03) weeks

 schools will reopen on Monday, June 15, according to official sources..",2020-06-13,2020-06-15,NA,"Togo","TGO","TG","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"","Togo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://covid19.gouv.tg/",2020-08-27,"2020-08-27 18:23:44"
"7","R_1mO9Wdkne1xxxrsDr",1043355,"update","original","Change of Policy","Relaxing","The immediate closure of all public, private and denominational, primary, secondary and university schools for a period of three (03) weeks

 schools will reopen on Monday, June 15, according to official sources..",2020-06-13,2020-06-15,NA,"Togo","TGO","TG","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"","Togo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://covid19.gouv.tg/",2020-08-27,"2020-08-27 18:23:44"
"8","R_1mO9Wdkne1xxxrsBg",1043355,"update","original","Change of Policy","Relaxing","The immediate closure of all public, private and denominational, primary, secondary and university schools for a period of three (03) weeks

 schools will reopen on Monday, June 15, according to official sources..",2020-06-13,2020-06-15,NA,"Togo","TGO","TG","National",0,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"","Togo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://covid19.gouv.tg/",2020-08-27,"2020-08-27 18:23:44"
"9","R_2wMRkL4VhuffPS0NA",1610252,"new_entry","original","NA",NA,"Implementation of a curfew as of April 2, 2020 between 8 p.m. and 6 a.m.",2020-04-01,2020-04-02,NA,"Togo","TGO","TG","National",1,NA,NA,"Curfew",NA,NA,"","Togo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.0343176585018,53.2034046517963,52.2205092430681,122,"https://covid19.gouv.tg/",2020-04-03,"2020-04-03 16:26:57"
"10","R_2UftDYqAi8QbzX1NA",2968730,"new_entry","original","NA",NA,"The Government is instituting a curfew from 8 p.m. to 6 a.m. in the prefecture of Tchaoudjo where several cases of contamination by coronavirus have been detected in the town of Sokodé.",2020-04-07,2020-04-08,NA,"Togo","TGO","TG","National",1,NA,NA,"Curfew",NA,NA,"","Togo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",56.3365977686807,53.1067108409832,49.5971586072345,111,"https://covid19.gouv.tg/communique-du-ministre-de-la-securite-et-de-la-protection-civile/",2020-04-13,"2020-04-13 09:42:32"
