"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_1rrEOmyrqWJMqTzNA","4433821","new_entry","original",NA,NA,"With an alarming amount of disinformation about the new coronavirus circulating on social media, Turkish police have decided to start investigating people spreading hoaxes or fake news about the deadly COVID-19, authorities said Saturday( March 7)",2020-03-07,2020-03-09,NA,"Turkey","TUR","TR","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",52.2505606557645,49.321311797569,45.4576427419593,60,"https://www.dailysabah.com/turkey/turkish-cyber-police-to-curb-fake-news-on-coronavirus/news",2020-05-02,2020-05-02 15:46:33
"2","R_301TyBQt8A7NVrYCv","23116","new_entry","original",NA,NA,"In Turkey, as of March 16, all schools will be shut down until 30 March",2020-03-12,2020-03-16,NA,"Turkey","TUR","TR","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Turkey",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,NA,"Other (Please specify in the text box)",51.7681393974317,49.6107605294785,46.247508078603,46,"https://www.hurriyet.com.tr/gundem/son-dakika-haberleri-bestepedeki-corona-virus-toplantisi-sona-erdi-iste-alinan-kararlar-41467463",2020-04-04,2020-04-04 08:18:57
"3","R_301TyBQt8A7NVrYCw","23116","new_entry","original",NA,NA,"In Turkey, as of March 16, all schools will be shut down until 30 March",2020-03-12,2020-03-16,NA,"Turkey","TUR","TR","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Turkey",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,NA,"Other (Please specify in the text box)",51.7681393974317,49.6107605294785,46.247508078603,46,"https://www.hurriyet.com.tr/gundem/son-dakika-haberleri-bestepedeki-corona-virus-toplantisi-sona-erdi-iste-alinan-kararlar-41467463",2020-04-04,2020-04-04 08:18:57
"4","R_301TyBQt8A7NVrYDr","23116","new_entry","original",NA,NA,"In Turkey, as of March 16, all schools will be shut down until 30 March",2020-03-12,2020-03-16,NA,"Turkey","TUR","TR","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Turkey",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,NA,"Other (Please specify in the text box)",51.7681393974317,49.6107605294785,46.247508078603,46,"https://www.hurriyet.com.tr/gundem/son-dakika-haberleri-bestepedeki-corona-virus-toplantisi-sona-erdi-iste-alinan-kararlar-41467463",2020-04-04,2020-04-04 08:18:57
"5","R_301TyBQt8A7NVrYBg","23116","new_entry","original",NA,NA,"In Turkey, as of March 16, all schools will be shut down until 30 March",2020-03-12,2020-03-16,NA,"Turkey","TUR","TR","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Turkey",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,NA,"Other (Please specify in the text box)",51.7681393974317,49.6107605294785,46.247508078603,46,"https://www.hurriyet.com.tr/gundem/son-dakika-haberleri-bestepedeki-corona-virus-toplantisi-sona-erdi-iste-alinan-kararlar-41467463",2020-04-04,2020-04-04 08:18:57
"6","R_1F9AkVfieMk7XloCv","23116","new_entry","correction",NA,NA,"In Turkey, as of March 16, all schools will be shut down until 30 March",2020-03-12,2020-03-16,NA,"Turkey","TUR","TR","National",0,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"","Turkey",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Other (Please specify in the text box)",51.7681393974317,49.6107605294785,46.247508078603,46,"https://www.hurriyet.com.tr/gundem/son-dakika-haberleri-bestepedeki-corona-virus-toplantisi-sona-erdi-iste-alinan-kararlar-41467463",2020-08-02,2020-08-02 08:04:03
"7","R_1F9AkVfieMk7XloCw","23116","new_entry","correction",NA,NA,"In Turkey, as of March 16, all schools will be shut down until 30 March",2020-03-12,2020-03-16,NA,"Turkey","TUR","TR","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"","Turkey",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Other (Please specify in the text box)",51.7681393974317,49.6107605294785,46.247508078603,46,"https://www.hurriyet.com.tr/gundem/son-dakika-haberleri-bestepedeki-corona-virus-toplantisi-sona-erdi-iste-alinan-kararlar-41467463",2020-08-02,2020-08-02 08:04:03
"8","R_1F9AkVfieMk7XloDr","23116","new_entry","correction",NA,NA,"In Turkey, as of March 16, all schools will be shut down until 30 March",2020-03-12,2020-03-16,NA,"Turkey","TUR","TR","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"","Turkey",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Other (Please specify in the text box)",51.7681393974317,49.6107605294785,46.247508078603,46,"https://www.hurriyet.com.tr/gundem/son-dakika-haberleri-bestepedeki-corona-virus-toplantisi-sona-erdi-iste-alinan-kararlar-41467463",2020-08-02,2020-08-02 08:04:03
"9","R_1F9AkVfieMk7XloBg","23116","new_entry","correction",NA,NA,"In Turkey, as of March 16, all schools will be shut down until 30 March",2020-03-12,2020-03-16,NA,"Turkey","TUR","TR","National",0,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"","Turkey",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Other (Please specify in the text box)",51.7681393974317,49.6107605294785,46.247508078603,46,"https://www.hurriyet.com.tr/gundem/son-dakika-haberleri-bestepedeki-corona-virus-toplantisi-sona-erdi-iste-alinan-kararlar-41467463",2020-08-02,2020-08-02 08:04:03
"10","R_1lzeUyMuckj5RlbCv","8571779","new_entry","original",NA,NA,"Turkey on March 23 launched TV-based distance learning for around 18 million primary, secondary and high-school students, with Education Minister Ziya Selçuk giving the first lecture as he advised families to create the necessary conditions for their children at home.

Distance learning will be aired through three channels provided by the state-run Turkish Radio and Television Corporation (TRT) and Education Informatics Network (EBA). The TRT-EBA TV will air school lessons for the primary, secondary and high school students through separate channels, which will be supported by the digital EBA system.",2020-03-22,2020-03-23,NA,"Turkey","TUR","TR","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Turkey",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",51.655205056521,50.0085749133764,47.7723954261307,36,"https://www.hurriyetdailynews.com/turkey-begins-tv-based-distance-learning-for-school-students-due-to-pandemic-153169",2020-05-15,2020-05-15 16:52:15
"11","R_1lzeUyMuckj5RlbCw","8571779","new_entry","original",NA,NA,"Turkey on March 23 launched TV-based distance learning for around 18 million primary, secondary and high-school students, with Education Minister Ziya Selçuk giving the first lecture as he advised families to create the necessary conditions for their children at home.

Distance learning will be aired through three channels provided by the state-run Turkish Radio and Television Corporation (TRT) and Education Informatics Network (EBA). The TRT-EBA TV will air school lessons for the primary, secondary and high school students through separate channels, which will be supported by the digital EBA system.",2020-03-22,2020-03-23,NA,"Turkey","TUR","TR","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Turkey",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",51.655205056521,50.0085749133764,47.7723954261307,36,"https://www.hurriyetdailynews.com/turkey-begins-tv-based-distance-learning-for-school-students-due-to-pandemic-153169",2020-05-15,2020-05-15 16:52:15
"12","R_1lzeUyMuckj5RlbDr","8571779","new_entry","original",NA,NA,"Turkey on March 23 launched TV-based distance learning for around 18 million primary, secondary and high-school students, with Education Minister Ziya Selçuk giving the first lecture as he advised families to create the necessary conditions for their children at home.

Distance learning will be aired through three channels provided by the state-run Turkish Radio and Television Corporation (TRT) and Education Informatics Network (EBA). The TRT-EBA TV will air school lessons for the primary, secondary and high school students through separate channels, which will be supported by the digital EBA system.",2020-03-22,2020-03-23,NA,"Turkey","TUR","TR","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Turkey",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",51.655205056521,50.0085749133764,47.7723954261307,36,"https://www.hurriyetdailynews.com/turkey-begins-tv-based-distance-learning-for-school-students-due-to-pandemic-153169",2020-05-15,2020-05-15 16:52:15
