record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_3hfgpt5g3flWFgWEi,1621547,new_entry,original,,,Turkmenistan extends school holidays in response to the coronavirus on March 30.,2020-03-30,2020-03-30,2020-04-06,Turkmenistan,TKM,TM,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Turkmenistan,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.3193201531889,51.2380818712448,50.4213615868866,42,https://turkmenportal.com/en/blog/26387/turkmenistan-extends-school-holidays-until-april-6,2020-04-03,2020-04-03T12:46:51Z
R_2UXFKf1prvnc9VIDk,5851966,new_entry,original,,,"In Turkmenistan, on March 30, it was announced that spring break in schools is going to be extended for one week, until April 6. It was done as a preventive measure against the spread of the COVID-19.",2020-03-30,2020-03-30,2020-04-06,Turkmenistan,TKM,TM,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Turkmenistan,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.3193201531889,51.2380818712448,50.4213615868866,42,https://fergana.agency/news/116586/,2020-09-27,2020-09-27T15:56:08Z
R_2UXFKf1prvnc9VIEi,5851966,new_entry,original,,,"In Turkmenistan, on March 30, it was announced that spring break in schools is going to be extended for one week, until April 6. It was done as a preventive measure against the spread of the COVID-19.",2020-03-30,2020-03-30,2020-04-06,Turkmenistan,TKM,TM,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Turkmenistan,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.3193201531889,51.2380818712448,50.4213615868866,42,https://fergana.agency/news/116586/,2020-09-27,2020-09-27T15:56:08Z
R_30oWatZyWCVjVkTNA,678086,new_entry,original,,,"Turkmenistan has ""recommended the country’s citizens to refrain from traveling to China due to the coronavirus"" on January 30.",2020-01-30,2020-01-30,,Turkmenistan,TKM,TM,National,0,,,External Border Restrictions,,,"",China,"One or more countries, but not all countries",,,,,Citizen Travelers,Outbound,Flights,Voluntary/Recommended but No Penalties,National Government,49.2884271555945,47.6472714843879,45.400713924875,111,https://en.trend.az/casia/turkmenistan/3184545.html,2020-04-03,2020-04-03T12:16:34Z
R_2aWW1iu8F4b4kCxNA,4163441,new_entry,original,,,"""Turkmenistan suspends flights from February 6 to Bangkok and from February 7 to Beijing because of the coronavirus outbreak in China""",2020-01-31,2020-01-31,,Turkmenistan,TKM,TM,National,0,,,External Border Restrictions,,,"","China,Thailand","One or more countries, but not all countries",,,,,All (Travelers + Residents),Outbound,Flights,Mandatory (Unspecified/Implied),National Government,49.33634566709,47.7553406405924,45.5814010956782,118,https://turkmenportal.com/en/blog/24802/turkmenistan-suspends-flights-to-bangkok-and-beijing-due-to-coronavirus-outbreak-in-china,2020-04-03,2020-04-03T12:56:27Z
R_3kpmbPO3SuHv3G7NA,5126736,new_entry,original,,,The border with Iran was closed by Turkmenistan on Feb. 24.,2020-02-24,2020-02-24,,Turkmenistan,TKM,TM,National,0,,,External Border Restrictions,,,"",Iran,"One or more countries, but not all countries",,,,,All (Travelers + Residents),Inbound/Outbound,Land Border,Mandatory (Unspecified/Implied),National Government,50.433206430639,48.9043486909562,46.7427427012179,102,https://eurasianet.org/turkmenistan-going-viral,2020-04-18,2020-04-18T09:55:02Z
R_TvzS1DHbBb5BgYxCq,260633,new_entry,original,,,"On March 2, Turkmenistan authorities recommended citizens to refrain from traveling abroad.",2020-03-02,2020-03-02,,Turkmenistan,TKM,TM,National,0,,,External Border Restrictions,Other External Border Restriction,,"",Turkmenistan,All countries,,,,,All (Travelers + Residents),Outbound,All kinds of transport,Voluntary/Recommended but No Penalties,Ministry/Department of Health,51.0318843862832,49.2826465999332,47.208040435002,91,https://www.hronikatm.com/2020/03/no-travel/,2020-09-27,2020-09-27T11:12:17Z
R_2dubTUsCrN6bbj7Cq,6028302,new_entry,original,,,"On March 2, the authorities of Turkmenistan recommended its citizens to refrain from traveling abroad.",2020-05-02,2020-03-02,,Turkmenistan,TKM,TM,National,0,,,External Border Restrictions,Other External Border Restriction,,"",Turkmenistan,All countries,,,,,All (Travelers + Residents),Outbound,All kinds of transport,Voluntary/Recommended but No Penalties,Ministry/Department of Health,51.0318843862832,49.2826465999332,47.208040435002,91,https://www.hronikatm.com/2020/03/no-travel/,2020-09-20,2020-09-20T11:56:57Z
R_3ELr0huSeIbT7a5Bo,4896732,new_entry,original,,,"Starting from March 6, Turkmenistan's authorities decided that all international flights coming to Ashgabat's airport are transferred to Turkmenabat. There passengers will have to go through medical checks (and test for coronavirus) and if necessary will stay for quarantine in medical facilities in Turkmenabat.
",2020-03-06,2020-03-06,,Turkmenistan,TKM,TM,National,0,,,External Border Restrictions,Health Screenings (e.g. temperature checks),,"",All countries,All countries,,,,,All (Travelers + Residents),Inbound,Flights,Mandatory (Unspecified/Implied),National Government,50.9183015031806,49.5664372273272,47.4932586860334,87,https://www.hronikatm.com/2020/03/stop-virus/,2020-09-20,2020-09-20T11:37:25Z
R_3J4dxdfVDAxM9GfBo,6825424,new_entry,original,,,"Starting from March 17, those wishing to visit Turkmenistan must have a certificate confirming that they are free of coronavirus. Travelers who have recently visited any of the countries where the COVID-19 virus has been detected will be required to undergo a medical examination upon entry and may be expelled from the country or quarantined for up to 24 days, if confirmed with COVID-19. The cost of tests and stay in quarantine will be at least $300, and must be paid by the person who entered Turkmenistan.

Also, from March 16, citizens of all countries can cross the Turkmen-Uzbek border only through the Olat-Farap Avtodorozhniy checkpoint. To enter the territory of Turkmenistan, a person must provide a negative test for coronavirus.",2020-03-17,2020-03-17,,Turkmenistan,TKM,TM,National,0,,,External Border Restrictions,Health Screenings (e.g. temperature checks),,"",All countries,All countries,,,,,All (Travelers + Residents),Inbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,51.0664282945628,50.0779092848093,48.7898536120926,55,https://www.hronikatm.com/2020/03/no-virus-certificate/,2020-09-20,2020-09-20T12:30:39Z
