record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_1F4HQrQiVLSX4mBDh,1047400,new_entry,original,,,"As of March 18,2020 the government of Uganda announced closure of all schools for 30 days effective Friday March 2020.",2020-03-18,2020-03-20,2020-04-18,Uganda,UGA,UG,National,1,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Uganda,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.692375257156,51.6463479381997,50.7566503651671,87,https://www.pm/daily.com/news/2020/031/breaking,2020-04-03,2020-04-03T06:29:03Z
R_1F4HQrQiVLSX4mBDj,1047400,new_entry,original,,,"As of March 18,2020 the government of Uganda announced closure of all schools for 30 days effective Friday March 2020.",2020-03-18,2020-03-20,2020-04-18,Uganda,UGA,UG,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Uganda,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.692375257156,51.6463479381997,50.7566503651671,87,https://www.pm/daily.com/news/2020/031/breaking,2020-04-03,2020-04-03T06:29:03Z
R_1F4HQrQiVLSX4mBEi,1047400,new_entry,original,,,"As of March 18,2020 the government of Uganda announced closure of all schools for 30 days effective Friday March 2020.",2020-03-18,2020-03-20,2020-04-18,Uganda,UGA,UG,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Uganda,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.692375257156,51.6463479381997,50.7566503651671,87,https://www.pm/daily.com/news/2020/031/breaking,2020-04-03,2020-04-03T06:29:03Z
R_1F4HQrQiVLSX4mBBq,1047400,new_entry,original,,,"As of March 18,2020 the government of Uganda announced closure of all schools for 30 days effective Friday March 2020.",2020-03-18,2020-03-20,2020-04-18,Uganda,UGA,UG,National,1,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Uganda,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.692375257156,51.6463479381997,50.7566503651671,87,https://www.pm/daily.com/news/2020/031/breaking,2020-04-03,2020-04-03T06:29:03Z
R_3Of4tPM3l41o4yhNA,1910960,new_entry,original,,,"As of March 31,2020 the government of Uganda declared a dusk to dawn curfew; 7:00 pm to 6:30 am for 14 days",2020-03-31,2020-03-31,2020-06-23,Uganda,UGA,UG,National,1,,,Curfew,,,"",Uganda,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Military,Police",53.7752279574541,52.7370800726033,51.8250135231352,104,https://www.aa.com.tr/en/africa/uganda-declares-curfew-to-curb-spread-of-covid-19/1785775,2020-04-03,2020-04-03T08:05:18Z
R_2VQK8S43vnWSrzCNA,1910960,update,original,Change of Policy,Strengthening,"As of March 31,2020 the government of Uganda declared a dusk to dawn curfew; 7:00 pm to 6:30 am for 14 days
Update: On 14th April, the govt extended the curfew for 21 days more. UPDATE: The update extends the length of the curfew policy
",2020-04-14,2020-04-14,2020-06-23,Uganda,UGA,UG,National,1,,,Curfew,,,"",Uganda,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Military,Police",57.0607534739583,53.5555321016903,51.1648380386153,126,NA,2020-09-14,2020-09-14T11:34:30Z
R_3qPdH8htXcZpXZbNA,1910960,update,original,Change of Policy,Strengthening,"As of March 31,2020 the government of Uganda declared a dusk to dawn curfew; 7:00 pm to 6:30 am for 14 days
Update: On 4th May, the govt extended the curfew for another 14 days. UPDATE: The update extends the duration of the policy",2020-05-04,2020-05-04,2020-06-23,Uganda,UGA,UG,National,1,,,Curfew,,,"",Uganda,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Military,Police",,,,,NA,2020-09-14,2020-09-14T11:39:34Z
R_1ozFSl1dpRTKZSQNA,1910960,update,original,Change of Policy,Strengthening,"As of March 31,2020 the government of Uganda declared a dusk to dawn curfew; 7:00 pm to 6:30 am for 14 days
Update: On 18th May, the govt extended the curfew for another 21 days. UPDATE: The update extends the duration of the curfew policy",2020-05-18,2020-05-18,2020-06-23,Uganda,UGA,UG,National,1,,,Curfew,,,"",Uganda,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Military,Police",,,,,NA,2020-09-14,2020-09-14T11:46:15Z
R_1q7YkY7u8ebdnyYNA,1910960,update,original,Change of Policy,Strengthening,"As of March 31,2020 the government of Uganda declared a dusk to dawn curfew; 7:00 pm to 6:30 am for 14 days
Update: On 4th June, the govt extended the curfew policy till 23rd June 2020 UPDATE: The update extends the duration of the curfew policy",2020-06-04,2020-06-04,2020-06-23,Uganda,UGA,UG,National,1,,,Curfew,,,"",Uganda,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Military,Police",,,,,NA,2020-09-14,2020-09-14T11:49:24Z
R_1rk4WgI4xFDBgCdNA,1910960,update,original,Change of Policy,Strengthening,"As of March 31,2020 the government of Uganda declared a dusk to dawn curfew; 7:00 pm to 6:30 am for 14 days
Update:On 22nd June, the govt announced that the curfew will continue till further notice since Uganda was registering more Covid-19 cases. UPDATE: The update extends the curfew policy for an unidentified period",2020-06-22,2020-06-22,2020-06-23,Uganda,UGA,UG,National,1,,,Curfew,,,"",Uganda,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Military,Police",,,,,NA,2020-09-19,2020-09-19T09:14:06Z
