"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_1Cmfk8IRKnJoUaLEd",9466982,"new_entry","original",NA,NA,"The UAE imposed a 20,000 AED fine for publishing or spreading false, misleading or unapproved health information with regards to the COVID-19 crisis, on April 18th.",2020-04-18,2020-04-18,NA,"United Arab Emirates","ARE","AE","National",0,NA,NA,"Anti-Disinformation Measures","Self-Quarantine (i.e. quarantine at home)",NA,NA,"United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Fines","National Government,Ministry/Department of Health",60.0563625772093,55.4557499373755,50.6172137114518,186,"https://www.khaleejtimes.com/coronavirus-pandemic/dh20000-fine-for-circulating-fake-health-news-in-uae-",2020-07-16,2020-07-16 12:49:08
"2","R_1Cmfk8IRKnJoUaLBy",9466982,"new_entry","original",NA,NA,"The UAE imposed a 20,000 AED fine for publishing or spreading false, misleading or unapproved health information with regards to the COVID-19 crisis, on April 18th.",2020-04-18,2020-04-18,NA,"United Arab Emirates","ARE","AE","National",0,NA,NA,"Anti-Disinformation Measures","Lockdown only applies to people of certain ages (Please note the age restriction in the text box)",NA,NA,"United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Fines","National Government,Ministry/Department of Health",60.0563625772093,55.4557499373755,50.6172137114518,186,"https://www.khaleejtimes.com/coronavirus-pandemic/dh20000-fine-for-circulating-fake-health-news-in-uae-",2020-07-16,2020-07-16 12:49:08
"3","R_1Cmfk8IRKnJoUaLEw",9466982,"new_entry","original",NA,NA,"The UAE imposed a 20,000 AED fine for publishing or spreading false, misleading or unapproved health information with regards to the COVID-19 crisis, on April 18th.",2020-04-18,2020-04-18,NA,"United Arab Emirates","ARE","AE","National",0,NA,NA,"Anti-Disinformation Measures","Visa extensions (e.g. visa validity extended)",NA,NA,"United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Fines","National Government,Ministry/Department of Health",60.0563625772093,55.4557499373755,50.6172137114518,186,"https://www.khaleejtimes.com/coronavirus-pandemic/dh20000-fine-for-circulating-fake-health-news-in-uae-",2020-07-16,2020-07-16 12:49:08
"4","R_1Cmfk8IRKnJoUaLDb",9466982,"new_entry","original",NA,NA,"The UAE imposed a 20,000 AED fine for publishing or spreading false, misleading or unapproved health information with regards to the COVID-19 crisis, on April 18th.",2020-04-18,2020-04-18,NA,"United Arab Emirates","ARE","AE","National",0,NA,NA,"Anti-Disinformation Measures","Postponement of an annually recurring event",NA,NA,"United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Fines","National Government,Ministry/Department of Health",60.0563625772093,55.4557499373755,50.6172137114518,186,"https://www.khaleejtimes.com/coronavirus-pandemic/dh20000-fine-for-circulating-fake-health-news-in-uae-",2020-07-16,2020-07-16 12:49:08
"5","R_1Cmfk8IRKnJoUaLBw",9466982,"new_entry","original",NA,NA,"The UAE imposed a 20,000 AED fine for publishing or spreading false, misleading or unapproved health information with regards to the COVID-19 crisis, on April 18th.",2020-04-18,2020-04-18,NA,"United Arab Emirates","ARE","AE","National",0,NA,NA,"Anti-Disinformation Measures","Keeping a distance of at least 6 feet or 1.5 meters apart",NA,NA,"United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Fines","National Government,Ministry/Department of Health",60.0563625772093,55.4557499373755,50.6172137114518,186,"https://www.khaleejtimes.com/coronavirus-pandemic/dh20000-fine-for-circulating-fake-health-news-in-uae-",2020-07-16,2020-07-16 12:49:08
"6","R_1Cmfk8IRKnJoUaLFb",9466982,"new_entry","original",NA,NA,"The UAE imposed a 20,000 AED fine for publishing or spreading false, misleading or unapproved health information with regards to the COVID-19 crisis, on April 18th.",2020-04-18,2020-04-18,NA,"United Arab Emirates","ARE","AE","National",0,NA,NA,"Anti-Disinformation Measures","Wearing Masks in all public spaces/everywhere",NA,NA,"United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Fines","National Government,Ministry/Department of Health",60.0563625772093,55.4557499373755,50.6172137114518,186,"https://www.khaleejtimes.com/coronavirus-pandemic/dh20000-fine-for-circulating-fake-health-news-in-uae-",2020-07-16,2020-07-16 12:49:08
"7","R_1Cmfk8IRKnJoUaLAf",9466982,"new_entry","original",NA,NA,"The UAE imposed a 20,000 AED fine for publishing or spreading false, misleading or unapproved health information with regards to the COVID-19 crisis, on April 18th.",2020-04-18,2020-04-18,NA,"United Arab Emirates","ARE","AE","National",0,NA,NA,"Anti-Disinformation Measures","77400",NA,NA,"United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Fines","National Government,Ministry/Department of Health",60.0563625772093,55.4557499373755,50.6172137114518,186,"https://www.khaleejtimes.com/coronavirus-pandemic/dh20000-fine-for-circulating-fake-health-news-in-uae-",2020-07-16,2020-07-16 12:49:08
"8","R_1Cmfk8IRKnJoUaLAa",9466982,"new_entry","original",NA,NA,"The UAE imposed a 20,000 AED fine for publishing or spreading false, misleading or unapproved health information with regards to the COVID-19 crisis, on April 18th.",2020-04-18,2020-04-18,NA,"United Arab Emirates","ARE","AE","National",0,NA,NA,"Anti-Disinformation Measures","18000",NA,NA,"United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Fines","National Government,Ministry/Department of Health",60.0563625772093,55.4557499373755,50.6172137114518,186,"https://www.khaleejtimes.com/coronavirus-pandemic/dh20000-fine-for-circulating-fake-health-news-in-uae-",2020-07-16,2020-07-16 12:49:08
"9","R_1Cmfk8IRKnJoUaLDe",9466982,"new_entry","original",NA,NA,"The UAE imposed a 20,000 AED fine for publishing or spreading false, misleading or unapproved health information with regards to the COVID-19 crisis, on April 18th.",2020-04-18,2020-04-18,NA,"United Arab Emirates","ARE","AE","National",0,NA,NA,"Anti-Disinformation Measures","Primary Schools (generally for children ages 10 and below)",NA,NA,"United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Fines","National Government,Ministry/Department of Health",60.0563625772093,55.4557499373755,50.6172137114518,186,"https://www.khaleejtimes.com/coronavirus-pandemic/dh20000-fine-for-circulating-fake-health-news-in-uae-",2020-07-16,2020-07-16 12:49:08
"10","R_1Cmfk8IRKnJoUaLEc",9466982,"new_entry","original",NA,NA,"The UAE imposed a 20,000 AED fine for publishing or spreading false, misleading or unapproved health information with regards to the COVID-19 crisis, on April 18th.",2020-04-18,2020-04-18,NA,"United Arab Emirates","ARE","AE","National",0,NA,NA,"Anti-Disinformation Measures","Secondary Schools (generally for children ages 10 to 18)",NA,NA,"United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Fines","National Government,Ministry/Department of Health",60.0563625772093,55.4557499373755,50.6172137114518,186,"https://www.khaleejtimes.com/coronavirus-pandemic/dh20000-fine-for-circulating-fake-health-news-in-uae-",2020-07-16,2020-07-16 12:49:08
"11","R_1Cmfk8IRKnJoUaLCt",9466982,"new_entry","original",NA,NA,"The UAE imposed a 20,000 AED fine for publishing or spreading false, misleading or unapproved health information with regards to the COVID-19 crisis, on April 18th.",2020-04-18,2020-04-18,NA,"United Arab Emirates","ARE","AE","National",0,NA,NA,"Anti-Disinformation Measures","Other public facilities",NA,NA,"United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Fines","National Government,Ministry/Department of Health",60.0563625772093,55.4557499373755,50.6172137114518,186,"https://www.khaleejtimes.com/coronavirus-pandemic/dh20000-fine-for-circulating-fake-health-news-in-uae-",2020-07-16,2020-07-16 12:49:08
"12","R_1Cmfk8IRKnJoUaLAl",9466982,"new_entry","original",NA,NA,"The UAE imposed a 20,000 AED fine for publishing or spreading false, misleading or unapproved health information with regards to the COVID-19 crisis, on April 18th.",2020-04-18,2020-04-18,NA,"United Arab Emirates","ARE","AE","National",0,NA,NA,"Anti-Disinformation Measures","All or unspecified non-essential businesses",NA,NA,"United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Fines","National Government,Ministry/Department of Health",60.0563625772093,55.4557499373755,50.6172137114518,186,"https://www.khaleejtimes.com/coronavirus-pandemic/dh20000-fine-for-circulating-fake-health-news-in-uae-",2020-07-16,2020-07-16 12:49:08
"13","R_1Cmfk8IRKnJoUaLCn",9466982,"new_entry","original",NA,NA,"The UAE imposed a 20,000 AED fine for publishing or spreading false, misleading or unapproved health information with regards to the COVID-19 crisis, on April 18th.",2020-04-18,2020-04-18,NA,"United Arab Emirates","ARE","AE","National",0,NA,NA,"Anti-Disinformation Measures","Other Health Infrastructure",NA,NA,"United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Fines","National Government,Ministry/Department of Health",60.0563625772093,55.4557499373755,50.6172137114518,186,"https://www.khaleejtimes.com/coronavirus-pandemic/dh20000-fine-for-circulating-fake-health-news-in-uae-",2020-07-16,2020-07-16 12:49:08
"14","R_1Cmfk8IRKnJoUaLCj",9466982,"new_entry","original",NA,NA,"The UAE imposed a 20,000 AED fine for publishing or spreading false, misleading or unapproved health information with regards to the COVID-19 crisis, on April 18th.",2020-04-18,2020-04-18,NA,"United Arab Emirates","ARE","AE","National",0,NA,NA,"Anti-Disinformation Measures","Other Areas Hygiene Measures Applied",NA,NA,"United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Fines","National Government,Ministry/Department of Health",60.0563625772093,55.4557499373755,50.6172137114518,186,"https://www.khaleejtimes.com/coronavirus-pandemic/dh20000-fine-for-circulating-fake-health-news-in-uae-",2020-07-16,2020-07-16 12:49:08
"15","R_1Cmfk8IRKnJoUaLAy",9466982,"new_entry","original",NA,NA,"The UAE imposed a 20,000 AED fine for publishing or spreading false, misleading or unapproved health information with regards to the COVID-19 crisis, on April 18th.",2020-04-18,2020-04-18,NA,"United Arab Emirates","ARE","AE","National",0,NA,NA,"Anti-Disinformation Measures","Disseminating information related to COVID-19 to the public that is reliable and factually accurate",NA,NA,"United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Fines","National Government,Ministry/Department of Health",60.0563625772093,55.4557499373755,50.6172137114518,186,"https://www.khaleejtimes.com/coronavirus-pandemic/dh20000-fine-for-circulating-fake-health-news-in-uae-",2020-07-16,2020-07-16 12:49:08
"16","R_1Cmfk8IRKnJoUaLCe",9466982,"new_entry","original",NA,NA,"The UAE imposed a 20,000 AED fine for publishing or spreading false, misleading or unapproved health information with regards to the COVID-19 crisis, on April 18th.",2020-04-18,2020-04-18,NA,"United Arab Emirates","ARE","AE","National",0,NA,NA,"Anti-Disinformation Measures","New Task Force or Bureau (i.e. establishment of a temporary body)",NA,NA,"United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Fines","National Government,Ministry/Department of Health",60.0563625772093,55.4557499373755,50.6172137114518,186,"https://www.khaleejtimes.com/coronavirus-pandemic/dh20000-fine-for-circulating-fake-health-news-in-uae-",2020-07-16,2020-07-16 12:49:08
"17","R_1o0v6Ol9ULtBZ43De",3056422,"new_entry","original",NA,NA,"On March 3rd, the UAE’s education ministry announced the closure of all schools and universities in the country – public and private – for four weeks in a bid to prevent the spread of COVID-19.
Spring break was initially scheduled to run from March 29, 2020, to April 12, 2020 – but the ministry has instructed all schools and higher education establishments to close for four weeks from Sunday, March 8, 2020.
During the closure, the ministry will sterilize schools and universities and students will conduct distance learning.",2020-03-03,2020-03-08,2020-04-05,"United Arab Emirates","ARE","AE","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","United Arab Emirates",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",53.5672441113573,52.7930616952209,51.8590922585107,188,"https://www.arabnews.com/node/1636626/middle-east",2020-07-22,2020-07-22 02:38:42
