"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_3Q9mX5IMjuYps09En",815450,"new_entry","original","NA",NA,"In Tanzania IMA World Health has been able to work quickly with Tanzania's Ministry of Health to set up a call center that will provide essential health information about COVID-19 as well as counter misinformation about the coronavirus on March 30.","2020-03-30","2020-03-30",NA,"United Republic of Tanzania","TZA","TZ","National",0,NA,NA,"Anti-Disinformation Measures","Self-Quarantine (i.e. quarantine at home)",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.87406052222,52.2255811045403,48.8420903409579,72,"https://reliefweb.int/report/united-republic-tanzania/ima-world-health-launches-coronavirus-health-information-initiative","2020-05-03","2020-05-03 19:36:54"
"2","R_3Q9mX5IMjuYps09Ci",815450,"new_entry","original","NA",NA,"In Tanzania IMA World Health has been able to work quickly with Tanzania's Ministry of Health to set up a call center that will provide essential health information about COVID-19 as well as counter misinformation about the coronavirus on March 30.","2020-03-30","2020-03-30",NA,"United Republic of Tanzania","TZA","TZ","National",0,NA,NA,"Anti-Disinformation Measures","Lockdown only applies to people of certain ages (Please note the age restriction in the text box)",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.87406052222,52.2255811045403,48.8420903409579,72,"https://reliefweb.int/report/united-republic-tanzania/ima-world-health-launches-coronavirus-health-information-initiative","2020-05-03","2020-05-03 19:36:54"
"3","R_3Q9mX5IMjuYps09Fg",815450,"new_entry","original","NA",NA,"In Tanzania IMA World Health has been able to work quickly with Tanzania's Ministry of Health to set up a call center that will provide essential health information about COVID-19 as well as counter misinformation about the coronavirus on March 30.","2020-03-30","2020-03-30",NA,"United Republic of Tanzania","TZA","TZ","National",0,NA,NA,"Anti-Disinformation Measures","Visa extensions (e.g. visa validity extended)",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.87406052222,52.2255811045403,48.8420903409579,72,"https://reliefweb.int/report/united-republic-tanzania/ima-world-health-launches-coronavirus-health-information-initiative","2020-05-03","2020-05-03 19:36:54"
"4","R_3Q9mX5IMjuYps09Dk",815450,"new_entry","original","NA",NA,"In Tanzania IMA World Health has been able to work quickly with Tanzania's Ministry of Health to set up a call center that will provide essential health information about COVID-19 as well as counter misinformation about the coronavirus on March 30.","2020-03-30","2020-03-30",NA,"United Republic of Tanzania","TZA","TZ","National",0,NA,NA,"Anti-Disinformation Measures","Postponement of a recreational or commercial event",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.87406052222,52.2255811045403,48.8420903409579,72,"https://reliefweb.int/report/united-republic-tanzania/ima-world-health-launches-coronavirus-health-information-initiative","2020-05-03","2020-05-03 19:36:54"
"5","R_3Q9mX5IMjuYps09Cg",815450,"new_entry","original","NA",NA,"In Tanzania IMA World Health has been able to work quickly with Tanzania's Ministry of Health to set up a call center that will provide essential health information about COVID-19 as well as counter misinformation about the coronavirus on March 30.","2020-03-30","2020-03-30",NA,"United Republic of Tanzania","TZA","TZ","National",0,NA,NA,"Anti-Disinformation Measures","Keeping a distance of at least 6 feet or 1.5 meters apart",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.87406052222,52.2255811045403,48.8420903409579,72,"https://reliefweb.int/report/united-republic-tanzania/ima-world-health-launches-coronavirus-health-information-initiative","2020-05-03","2020-05-03 19:36:54"
"6","R_3Q9mX5IMjuYps09Fl",815450,"new_entry","original","NA",NA,"In Tanzania IMA World Health has been able to work quickly with Tanzania's Ministry of Health to set up a call center that will provide essential health information about COVID-19 as well as counter misinformation about the coronavirus on March 30.","2020-03-30","2020-03-30",NA,"United Republic of Tanzania","TZA","TZ","National",0,NA,NA,"Anti-Disinformation Measures","Wearing Masks in all public spaces/everywhere",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.87406052222,52.2255811045403,48.8420903409579,72,"https://reliefweb.int/report/united-republic-tanzania/ima-world-health-launches-coronavirus-health-information-initiative","2020-05-03","2020-05-03 19:36:54"
"7","R_3Q9mX5IMjuYps09Ap",815450,"new_entry","original","NA",NA,"In Tanzania IMA World Health has been able to work quickly with Tanzania's Ministry of Health to set up a call center that will provide essential health information about COVID-19 as well as counter misinformation about the coronavirus on March 30.","2020-03-30","2020-03-30",NA,"United Republic of Tanzania","TZA","TZ","National",0,NA,NA,"Anti-Disinformation Measures","82800",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.87406052222,52.2255811045403,48.8420903409579,72,"https://reliefweb.int/report/united-republic-tanzania/ima-world-health-launches-coronavirus-health-information-initiative","2020-05-03","2020-05-03 19:36:54"
"8","R_3Q9mX5IMjuYps09Ad",815450,"new_entry","original","NA",NA,"In Tanzania IMA World Health has been able to work quickly with Tanzania's Ministry of Health to set up a call center that will provide essential health information about COVID-19 as well as counter misinformation about the coronavirus on March 30.","2020-03-30","2020-03-30",NA,"United Republic of Tanzania","TZA","TZ","National",0,NA,NA,"Anti-Disinformation Measures","21600",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.87406052222,52.2255811045403,48.8420903409579,72,"https://reliefweb.int/report/united-republic-tanzania/ima-world-health-launches-coronavirus-health-information-initiative","2020-05-03","2020-05-03 19:36:54"
"9","R_3Q9mX5IMjuYps09Do",815450,"new_entry","original","NA",NA,"In Tanzania IMA World Health has been able to work quickly with Tanzania's Ministry of Health to set up a call center that will provide essential health information about COVID-19 as well as counter misinformation about the coronavirus on March 30.","2020-03-30","2020-03-30",NA,"United Republic of Tanzania","TZA","TZ","National",0,NA,NA,"Anti-Disinformation Measures","Primary Schools (generally for children ages 10 and below)",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.87406052222,52.2255811045403,48.8420903409579,72,"https://reliefweb.int/report/united-republic-tanzania/ima-world-health-launches-coronavirus-health-information-initiative","2020-05-03","2020-05-03 19:36:54"
"10","R_3Q9mX5IMjuYps09Em",815450,"new_entry","original","NA",NA,"In Tanzania IMA World Health has been able to work quickly with Tanzania's Ministry of Health to set up a call center that will provide essential health information about COVID-19 as well as counter misinformation about the coronavirus on March 30.","2020-03-30","2020-03-30",NA,"United Republic of Tanzania","TZA","TZ","National",0,NA,NA,"Anti-Disinformation Measures","Secondary Schools (generally for children ages 10 to 18)",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.87406052222,52.2255811045403,48.8420903409579,72,"https://reliefweb.int/report/united-republic-tanzania/ima-world-health-launches-coronavirus-health-information-initiative","2020-05-03","2020-05-03 19:36:54"
