record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_1Xn8aXPuEVP73vbDi,6465148,new_entry,original,,,Uruguay closes school of all levels on March 15.,2020-03-15,2020-03-15,2020-10-13,Uruguay,URY,UY,National,1,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Uruguay,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Police",52.556074450855,51.6137756832167,50.5453978549166,125,https://www.gub.uy/ministerio-salud-publica/comunicacion/noticias/msp-informa-acciones-realizadas-ante-emergencia-covid-19-comision-salud-del,2020-04-07,2020-04-07T09:23:12Z
R_1Xn8aXPuEVP73vbDk,6465148,new_entry,original,,,Uruguay closes school of all levels on March 15.,2020-03-15,2020-03-15,2020-10-13,Uruguay,URY,UY,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Uruguay,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Police",52.556074450855,51.6137756832167,50.5453978549166,125,https://www.gub.uy/ministerio-salud-publica/comunicacion/noticias/msp-informa-acciones-realizadas-ante-emergencia-covid-19-comision-salud-del,2020-04-07,2020-04-07T09:23:12Z
R_1Xn8aXPuEVP73vbEj,6465148,new_entry,original,,,Uruguay closes school of all levels on March 15.,2020-03-15,2020-03-15,2020-10-13,Uruguay,URY,UY,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Uruguay,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Police",52.556074450855,51.6137756832167,50.5453978549166,125,https://www.gub.uy/ministerio-salud-publica/comunicacion/noticias/msp-informa-acciones-realizadas-ante-emergencia-covid-19-comision-salud-del,2020-04-07,2020-04-07T09:23:12Z
R_1Xn8aXPuEVP73vbBr,6465148,new_entry,original,,,Uruguay closes school of all levels on March 15.,2020-03-15,2020-03-15,2020-10-13,Uruguay,URY,UY,National,1,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Uruguay,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Police",52.556074450855,51.6137756832167,50.5453978549166,125,https://www.gub.uy/ministerio-salud-publica/comunicacion/noticias/msp-informa-acciones-realizadas-ante-emergencia-covid-19-comision-salud-del,2020-04-07,2020-04-07T09:23:12Z
R_3itfOX0E6fel4yrDk,6465148,update,original,End of Policy,Relaxing,Uruguay closes school of all levels on March 15.,2020-03-15,2020-03-15,2020-10-13,Uruguay,URY,UY,National,0,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",Uruguay,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.556074450855,51.6137756832167,50.5453978549166,125,NA,2020-10-13,2020-10-13T14:46:13Z
R_3itfOX0E6fel4yrEj,6465148,update,original,End of Policy,Relaxing,Uruguay closes school of all levels on March 15.,2020-03-15,2020-03-15,2020-10-13,Uruguay,URY,UY,National,0,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",Uruguay,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.556074450855,51.6137756832167,50.5453978549166,125,NA,2020-10-13,2020-10-13T14:46:13Z
R_qvXMbnPweDLKpVvDk,6465148,update,original,End of Policy,Relaxing,Uruguay closes school of all levels on March 15.,2020-03-15,2020-03-15,2020-10-13,Uruguay,URY,UY,National,0,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",Uruguay,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.556074450855,51.6137756832167,50.5453978549166,125,NA,2020-10-06,2020-10-06T10:24:45Z
R_qvXMbnPweDLKpVvEj,6465148,update,original,End of Policy,Relaxing,Uruguay closes school of all levels on March 15.,2020-03-15,2020-03-15,2020-10-13,Uruguay,URY,UY,National,0,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",Uruguay,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.556074450855,51.6137756832167,50.5453978549166,125,NA,2020-10-06,2020-10-06T10:24:45Z
R_vHT0oT7KLfNfPhfDk,6465148,update,original,,Relaxing,"On April 22, Uruguay will reopen 973 rural schools. All other schools will remain closed.",2020-04-08,2020-04-22,2020-10-13,Uruguay,URY,UY,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Uruguay,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,58.7694674195676,53.8972416609966,48.368136037602,145,https://www.presidencia.gub.uy/sala-de-medios/videos/conferencia_luis_lacalle_pou,2020-04-18,2020-04-18T20:10:58Z
R_vHT0oT7KLfNfPhfEj,6465148,update,original,,Relaxing,"On April 22, Uruguay will reopen 973 rural schools. All other schools will remain closed.",2020-04-08,2020-04-22,2020-10-13,Uruguay,URY,UY,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Uruguay,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,58.7694674195676,53.8972416609966,48.368136037602,145,https://www.presidencia.gub.uy/sala-de-medios/videos/conferencia_luis_lacalle_pou,2020-04-18,2020-04-18T20:10:58Z
