record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_56KcwXoc9kBzddvNA,6946763,new_entry,correction,,,"On March 15, the ""prime minister also noted that media outlets which spread false information might be prosecuted in line with the current legislation.""",2020-03-15,2020-03-16,,Uzbekistan,UZB,UZ,National,0,,,,Anti-Disinformation Measures,,,,,,,,,,,,,Mandatory with Legal Penalties (Jail Time),National Government,53.940054729675,53.0351454589642,52.1593715056489,167,https://advance.lexis.com/api/permalink/545cd6c3-f0be-4c32-aeb6-ce36ecb10075/?context=1516831,2020-09-06,2020-09-06T10:37:14Z,6,0,0,,,,,,,,,169,6611,0,1,-0.82478433,-0.14891542,-0.20141026,12,21,31298900,58114360771,1856.75409,7.999999997,17.2590935,24.7856786,7.52658513,1,0,-0.01648993,,1894542,0.19736652
R_3fHpsPcN5nOIdTtDl,3639540,new_entry,correction,,,"In Uzbekistan, ""the National Television and Radio Company of Uzbekistan will prepare and organize the broadcasting of video lessons in accordance with the curriculum. To prepare video lessons, working groups will be created with the participation of representatives of relevant fields,"" announced on March 15.",2020-03-15,2020-03-16,,Uzbekistan,UZB,UZ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Uzbekistan,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,53.940054729675,53.0351454589642,52.1593715056489,167,https://advance.lexis.com/api/permalink/a56ab9b7-41b3-4d9a-afd9-97140fd0fba7/?context=1516831,2020-09-06,2020-09-06T11:30:20Z,6,0,0,,,,,,,,,169,6611,0,1,-0.82478433,-0.14891542,-0.20141026,12,21,31298900,58114360771,1856.75409,7.999999997,17.2590935,24.7856786,7.52658513,1,0,-0.01648993,,1894542,0.19736652
R_3fHpsPcN5nOIdTtDn,3639540,new_entry,correction,,,"In Uzbekistan, ""the National Television and Radio Company of Uzbekistan will prepare and organize the broadcasting of video lessons in accordance with the curriculum. To prepare video lessons, working groups will be created with the participation of representatives of relevant fields,"" announced on March 15.",2020-03-15,2020-03-16,,Uzbekistan,UZB,UZ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Uzbekistan,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,53.940054729675,53.0351454589642,52.1593715056489,167,https://advance.lexis.com/api/permalink/a56ab9b7-41b3-4d9a-afd9-97140fd0fba7/?context=1516831,2020-09-06,2020-09-06T11:30:20Z,6,0,0,,,,,,,,,169,6611,0,1,-0.82478433,-0.14891542,-0.20141026,12,21,31298900,58114360771,1856.75409,7.999999997,17.2590935,24.7856786,7.52658513,1,0,-0.01648993,,1894542,0.19736652
R_3fHpsPcN5nOIdTtEm,3639540,new_entry,correction,,,"In Uzbekistan, ""the National Television and Radio Company of Uzbekistan will prepare and organize the broadcasting of video lessons in accordance with the curriculum. To prepare video lessons, working groups will be created with the participation of representatives of relevant fields,"" announced on March 15.",2020-03-15,2020-03-16,,Uzbekistan,UZB,UZ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Uzbekistan,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,53.940054729675,53.0351454589642,52.1593715056489,167,https://advance.lexis.com/api/permalink/a56ab9b7-41b3-4d9a-afd9-97140fd0fba7/?context=1516831,2020-09-06,2020-09-06T11:30:20Z,6,0,0,,,,,,,,,169,6611,0,1,-0.82478433,-0.14891542,-0.20141026,12,21,31298900,58114360771,1856.75409,7.999999997,17.2590935,24.7856786,7.52658513,1,0,-0.01648993,,1894542,0.19736652
R_pSEiMKbRb5pVwqZEm,4501757,new_entry,original,,,"Starting from 16 March 2020, vacations are announced in all secondary schools of Uzbekistan. A special commission to prevent the spread of coronavirus infection and ensure the sanitary and epidemiological situation in educational institutions, headed by the Prime Minister of Uzbekistan Abdulla Aripov, made such a decision on 15 March 2020. Children can receive knowledge during the holidays, the National Television and Radio Company of Uzbekistan will prepare and organize the broadcasting of video lessons in accordance with the curriculum.",2020-03-15,2020-03-16,,Uzbekistan,UZB,UZ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Uzbekistan,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,New (COVID-19 specific) Task Force",53.940054729675,53.0351454589642,52.1593715056489,167,https://uzdaily.uz/en/post/55383,2020-09-21,2020-09-21T18:37:57Z,6,0,0,,,,,,,,,169,6611,0,1,-0.82478433,-0.14891542,-0.20141026,12,21,31298900,58114360771,1856.75409,7.999999997,17.2590935,24.7856786,7.52658513,1,0,-0.01648993,,1894542,0.19736652
R_24pbwTEuEY33z5zDl,9800051,new_entry,original,,,"On16 March, Uzbekistan closes universities, schools and kindergartens  for three weeks because of the coronavirus, Prime Minister Abdulla Aripov said at a meeting on Sunday.
",2020-03-15,2020-03-16,2020-04-06,Uzbekistan,UZB,UZ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Uzbekistan,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,53.940054729675,53.0351454589642,52.1593715056489,167,https://uzdaily.uz/en/post/55382,2020-09-21,2020-09-21T18:44:16Z,6,0,0,,,,,,,,,169,6611,0,1,-0.82478433,-0.14891542,-0.20141026,12,21,31298900,58114360771,1856.75409,7.999999997,17.2590935,24.7856786,7.52658513,1,0,-0.01648993,,1894542,0.19736652
R_24pbwTEuEY33z5zDn,9800051,new_entry,original,,,"On16 March, Uzbekistan closes universities, schools and kindergartens  for three weeks because of the coronavirus, Prime Minister Abdulla Aripov said at a meeting on Sunday.
",2020-03-15,2020-03-16,2020-04-06,Uzbekistan,UZB,UZ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Uzbekistan,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,53.940054729675,53.0351454589642,52.1593715056489,167,https://uzdaily.uz/en/post/55382,2020-09-21,2020-09-21T18:44:16Z,6,0,0,,,,,,,,,169,6611,0,1,-0.82478433,-0.14891542,-0.20141026,12,21,31298900,58114360771,1856.75409,7.999999997,17.2590935,24.7856786,7.52658513,1,0,-0.01648993,,1894542,0.19736652
R_24pbwTEuEY33z5zEm,9800051,new_entry,original,,,"On16 March, Uzbekistan closes universities, schools and kindergartens  for three weeks because of the coronavirus, Prime Minister Abdulla Aripov said at a meeting on Sunday.
",2020-03-15,2020-03-16,2020-04-06,Uzbekistan,UZB,UZ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Uzbekistan,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,53.940054729675,53.0351454589642,52.1593715056489,167,https://uzdaily.uz/en/post/55382,2020-09-21,2020-09-21T18:44:16Z,6,0,0,,,,,,,,,169,6611,0,1,-0.82478433,-0.14891542,-0.20141026,12,21,31298900,58114360771,1856.75409,7.999999997,17.2590935,24.7856786,7.52658513,1,0,-0.01648993,,1894542,0.19736652
R_24pbwTEuEY33z5zBs,9800051,new_entry,original,,,"On16 March, Uzbekistan closes universities, schools and kindergartens  for three weeks because of the coronavirus, Prime Minister Abdulla Aripov said at a meeting on Sunday.
",2020-03-15,2020-03-16,2020-04-06,Uzbekistan,UZB,UZ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Uzbekistan,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,53.940054729675,53.0351454589642,52.1593715056489,167,https://uzdaily.uz/en/post/55382,2020-09-21,2020-09-21T18:44:16Z,6,0,0,,,,,,,,,169,6611,0,1,-0.82478433,-0.14891542,-0.20141026,12,21,31298900,58114360771,1856.75409,7.999999997,17.2590935,24.7856786,7.52658513,1,0,-0.01648993,,1894542,0.19736652
R_1IWxqqYUF707J9sEm,861368,new_entry,original,,,"On Mar. 30, Uzbek Public Education Ministry launches video lessons through public and cable television, along with a special Telegram channel aimed at distance learning of the secondary school students.",2020-03-30,2020-03-30,,Uzbekistan,UZB,UZ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Uzbekistan,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Other (Please specify in the text box),56.137484467066,54.0537218771928,52.6782507136193,167,https://uzdaily.uz/en/post/55707 ; https://uzdaily.uz/en/post/55716,2020-04-27,2020-04-27T23:37:34Z,149,2,7,,,,,,,,,169,6611,0,1,-0.82478433,-0.14891542,-0.20141026,12,21,31298900,58114360771,1856.75409,7.999999997,17.2590935,24.7856786,7.52658513,1,0,-0.01648993,,1894542,0.19736652
