"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_1eWAUvZdsgvcgADDg",7272405,"new_entry","correction","NA",NA,"Zimbabwe on the 30th of March announced up to 20 year jail terms for spreading falsehoods about the Covid19 outbreak",2020-03-27,2020-03-30,NA,"Zimbabwe","ZWE","ZW",NA,0,NA,NA,"Anti-Disinformation Measures","Other Quarantine",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.1635688245336,51.1384653446466,49.9258686846999,40,"https://www.bbc.com/news/topics/crr7mlg0rpvt/zimbabwe",2020-07-06,"2020-07-06 15:24:09"
"2","R_1eWAUvZdsgvcgADCi",7272405,"new_entry","correction","NA",NA,"Zimbabwe on the 30th of March announced up to 20 year jail terms for spreading falsehoods about the Covid19 outbreak",2020-03-27,2020-03-30,NA,"Zimbabwe","ZWE","ZW",NA,0,NA,NA,"Anti-Disinformation Measures","Lockdown applies to all people",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.1635688245336,51.1384653446466,49.9258686846999,40,"https://www.bbc.com/news/topics/crr7mlg0rpvt/zimbabwe",2020-07-06,"2020-07-06 15:24:09"
"3","R_1eWAUvZdsgvcgADDc",7272405,"new_entry","correction","NA",NA,"Zimbabwe on the 30th of March announced up to 20 year jail terms for spreading falsehoods about the Covid19 outbreak",2020-03-27,2020-03-30,NA,"Zimbabwe","ZWE","ZW",NA,0,NA,NA,"Anti-Disinformation Measures","Other mass gatherings not specified above restricted",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.1635688245336,51.1384653446466,49.9258686846999,40,"https://www.bbc.com/news/topics/crr7mlg0rpvt/zimbabwe",2020-07-06,"2020-07-06 15:24:09"
"4","R_1eWAUvZdsgvcgADCh",7272405,"new_entry","correction","NA",NA,"Zimbabwe on the 30th of March announced up to 20 year jail terms for spreading falsehoods about the Covid19 outbreak",2020-03-27,2020-03-30,NA,"Zimbabwe","ZWE","ZW",NA,0,NA,NA,"Anti-Disinformation Measures","Keeping a distance of at least 6 feet or 1.5 meters apart",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.1635688245336,51.1384653446466,49.9258686846999,40,"https://www.bbc.com/news/topics/crr7mlg0rpvt/zimbabwe",2020-07-06,"2020-07-06 15:24:09"
"5","R_1eWAUvZdsgvcgADEi",7272405,"new_entry","correction","NA",NA,"Zimbabwe on the 30th of March announced up to 20 year jail terms for spreading falsehoods about the Covid19 outbreak",2020-03-27,2020-03-30,NA,"Zimbabwe","ZWE","ZW",NA,0,NA,NA,"Anti-Disinformation Measures","Restrictions on ridership of buses",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.1635688245336,51.1384653446466,49.9258686846999,40,"https://www.bbc.com/news/topics/crr7mlg0rpvt/zimbabwe",2020-07-06,"2020-07-06 15:24:09"
"6","R_1eWAUvZdsgvcgADEl",7272405,"new_entry","correction","NA",NA,"Zimbabwe on the 30th of March announced up to 20 year jail terms for spreading falsehoods about the Covid19 outbreak",2020-03-27,2020-03-30,NA,"Zimbabwe","ZWE","ZW",NA,0,NA,NA,"Anti-Disinformation Measures","Restrictions ridership of other forms of public transportation (please include details in the text entry)",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.1635688245336,51.1384653446466,49.9258686846999,40,"https://www.bbc.com/news/topics/crr7mlg0rpvt/zimbabwe",2020-07-06,"2020-07-06 15:24:09"
"7","R_1eWAUvZdsgvcgADAq",7272405,"new_entry","correction","NA",NA,"Zimbabwe on the 30th of March announced up to 20 year jail terms for spreading falsehoods about the Covid19 outbreak",2020-03-27,2020-03-30,NA,"Zimbabwe","ZWE","ZW",NA,0,NA,NA,"Anti-Disinformation Measures","82800",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.1635688245336,51.1384653446466,49.9258686846999,40,"https://www.bbc.com/news/topics/crr7mlg0rpvt/zimbabwe",2020-07-06,"2020-07-06 15:24:09"
"8","R_1eWAUvZdsgvcgADAd",7272405,"new_entry","correction","NA",NA,"Zimbabwe on the 30th of March announced up to 20 year jail terms for spreading falsehoods about the Covid19 outbreak",2020-03-27,2020-03-30,NA,"Zimbabwe","ZWE","ZW",NA,0,NA,NA,"Anti-Disinformation Measures","21600",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.1635688245336,51.1384653446466,49.9258686846999,40,"https://www.bbc.com/news/topics/crr7mlg0rpvt/zimbabwe",2020-07-06,"2020-07-06 15:24:09"
"9","R_1eWAUvZdsgvcgADDn",7272405,"new_entry","correction","NA",NA,"Zimbabwe on the 30th of March announced up to 20 year jail terms for spreading falsehoods about the Covid19 outbreak",2020-03-27,2020-03-30,NA,"Zimbabwe","ZWE","ZW",NA,0,NA,NA,"Anti-Disinformation Measures","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.1635688245336,51.1384653446466,49.9258686846999,40,"https://www.bbc.com/news/topics/crr7mlg0rpvt/zimbabwe",2020-07-06,"2020-07-06 15:24:09"
"10","R_1eWAUvZdsgvcgADDp",7272405,"new_entry","correction","NA",NA,"Zimbabwe on the 30th of March announced up to 20 year jail terms for spreading falsehoods about the Covid19 outbreak",2020-03-27,2020-03-30,NA,"Zimbabwe","ZWE","ZW",NA,0,NA,NA,"Anti-Disinformation Measures","Primary Schools (generally for children ages 10 and below)",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.1635688245336,51.1384653446466,49.9258686846999,40,"https://www.bbc.com/news/topics/crr7mlg0rpvt/zimbabwe",2020-07-06,"2020-07-06 15:24:09"
