date,municipality,state,highestsize,minsize,avgsize,violent_protest,curfew_protest,property_damage_protest,police_protest,url_source1,url_source2,countlove,wiki,ipsos
2020-01-31,SanJose,California,NA,NA,NA,0,1,0,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_California,NA,0,1,0
2020-05-01,Vancouver,Washington,10,10,10,0,0,0,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Washington_(state),NA,0,1,0
2020-05-01,Raleigh,NorthCarolina,NA,NA,NA,1,1,0,1,https://en.wikipedia.org/wiki/George_Floyd_protests_in_North_Carolina,NA,0,1,0
2020-05-05,Sequim,Washington,130,130,130,0,0,0,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Washington_(state),NA,0,1,0
2020-05-10,HamptonRoads,Virginia,100,100,100,0,0,0,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Virginia,NA,0,1,0
2020-05-13,Eugene,Oregon,NA,NA,NA,0,0,1,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Oregon,NA,0,1,0
2020-05-20,Hammond,Indiana,100,100,100,0,0,0,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Indiana,NA,0,1,0
2020-05-25,Snohomish,Washington,NA,NA,NA,0,0,0,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Washington_(state),NA,0,1,0
2020-05-26,Snohomish,Washington,NA,NA,NA,0,0,0,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Washington_(state),NA,0,1,0
2020-05-26,Houston,Texas,NA,NA,NA,NA,NA,NA,NA,NA,https://www.houstonchronicle.com/news/houston-texas/houston/article/Black-Lives-Matter-rally-to-be-held-at-Discovery-15301848.php,1,0,0
2020-05-26,Minneapolis,Minnesota,1000,1000,1000,NA,NA,NA,NA,NA,https://www.startribune.com/police-protesters-must-show-more-restraint-in-minneapolis/570815512/,1,0,0
2020-05-26,Minneapolis–SaintPaul,Minnesota,1000,1000,1000,1,0,1,1,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Minneapolis%E2%80%93Saint_Paul,NA,0,1,0
2020-05-26,St.Paul,Minnesota,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cbsnews.com/news/protesters-gather-at-intersection-where-george-floyd-was-pinned-down-by-minneapolis-police/,1,0,0
2020-05-26,AnnArbor,Michigan,20,20,20,NA,NA,NA,NA,NA,https://www.mlive.com/news/ann-arbor/2020/05/ypsilanti-woman-shown-being-punched-by-deputy-released-from-jail-will-speak-at-friday-protest.html,1,0,0
2020-05-26,Ypsilanti,Michigan,NA,NA,NA,NA,NA,NA,NA,NA,https://www.mlive.com/news/ann-arbor/2020/05/day-of-rest-postpones-police-brutality-protest-in-ypsilanti-township-to-monday.html,1,0,0
2020-05-26,Hammond,Indiana,NA,NA,NA,NA,NA,NA,NA,NA,https://www.nwitimes.com/news/local/watch-now-protesters-march-down-street-in-hammond/video_66a15098-7fbf-5be9-b034-6f5a396b9fe1.html,1,0,0
2020-05-26,LosAngeles,California,NA,NA,NA,NA,NA,NA,NA,NA,https://www.latimes.com/california/story/2020-05-29/protesters-outraged-over-george-floyd-death-shut-down-101-freeway-in-san-jose,1,0,0
2020-05-27,Olympia,Washington,NA,NA,NA,NA,NA,NA,NA,NA,https://www.king5.com/article/news/local/seattle/seattle-protest-death-of-george-floyd/281-bba2f836-c4a2-48e1-b5df-189527e08a7d,1,0,0
2020-05-27,Snohomish,Washington,NA,NA,NA,0,0,0,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Washington_(state),NA,0,1,0
2020-05-27,Memphis,Tennessee,70,40,55,0,1,0,1,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Tennessee,https://hosted.ap.org/clevelandbanner/article/911b2a1d5e1a68b244b3bbe81712da11/memphis-police-investigate-incident-floyd-protest,1,1,0
2020-05-27,Willingboro,NewJersey,NA,NA,NA,NA,NA,NA,NA,NA,https://www.courierpostonline.com/story/news/2020/05/30/burlington-county-protesters-demand-justice-for-floyd/5294343002/,1,0,0
2020-05-27,Chadron,Nebraska,20,20,20,NA,NA,NA,NA,NA,https://www.omaha.com/news/local/from-grand-island-to-chadron-towns-across-nebraska-rally-silence-is-violence/article_48fb898e-15dc-5394-a836-945c8eca211d.html,1,0,0
2020-05-27,Duluth,Minnesota,100,100,100,NA,NA,NA,NA,NA,https://www.duluthnewstribune.com/news/6514070-Protesters-march-for-George-Floyd-in-Duluth,1,0,0
2020-05-27,Minneapolis,Minnesota,8000,8000,8000,NA,NA,NA,NA,NA,https://abcnews.go.com/US/dangerous-protests-erupt-overnight-george-floyds-death-minneapolis/story?id=70924047,1,0,0
2020-05-27,Minneapolis–SaintPaul,Minnesota,100,100,100,1,0,1,1,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Minneapolis%E2%80%93Saint_Paul,NA,0,1,0
2020-05-27,St.Paul,Minnesota,100,100,100,NA,NA,NA,NA,NA,https://www.washingtonpost.com/nation/2020/05/27/george-floyd-minneapolis-reaction/,1,0,0
2020-05-27,AnnArbor,Michigan,100,100,100,NA,NA,NA,NA,NA,https://www.mlive.com/news/ann-arbor/2020/05/outraged-residents-block-streets-in-protest-over-washtenaw-deputy-accused-of-punching-black-woman.html,1,0,0
2020-05-27,Ypsilanti,Michigan,NA,NA,NA,NA,NA,NA,NA,NA,https://www.mlive.com/news/ann-arbor/2020/05/day-of-rest-postpones-police-brutality-protest-in-ypsilanti-township-to-monday.html,1,0,0
2020-05-27,LosAngeles,California,200,200,200,NA,NA,NA,NA,NA,https://www.latimes.com/california/story/2020-05-27/protestors-block-the-101-freeway,1,0,0
2020-05-27,SouthSacramento,California,20,20,20,NA,NA,NA,NA,NA,https://fox40.com/news/local-news/sacramento-protesters-join-countrywide-demonstrations-to-demand-justice-for-george-floyd/,1,0,0
2020-05-28,Snohomish,Washington,NA,NA,NA,0,0,0,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Washington_(state),NA,0,1,0
2020-05-28,Stanwood,Washington,1,1,1,0,0,0,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Washington_(state),NA,0,1,0
