"","Date","Location","Attendees","Event (legacy; see tags)","Tags","Curated","Source","Total Articles","City","State Name","State Code","NAME","STNAME","SUMLEV","STATE","COUNTY","PLACE","COUSUB","CONCIT","PRIMGEO_FLAG","FUNCSTAT","CENSUS2010POP","ESTIMATESBASE2010","POPESTIMATE2010","POPESTIMATE2011","POPESTIMATE2012","POPESTIMATE2013","POPESTIMATE2014","POPESTIMATE2015","POPESTIMATE2016","POPESTIMATE2017","POPESTIMATE2018","POPESTIMATE2019"
"1",2020-05-25,"State House, Boston, MA",30,"Racial Injustice","Civil Rights; For racial justice; Coronavirus","Yes","https://www.boston.com/news/coronavirus/2020/05/26/massachusetts-reopening-protest-boston",3,"State House, Boston","Massachusetts","MA","Boston","Massachusetts","162","25","000","07000","00000","00000",0,"A","617594",617792,621048,630505,642955,653002,662855,670491,679848,687788,691147,692600
"2",2020-05-25,"Tulsa, OK",NA,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://kfor.com/news/local/protester-hit-by-vehicle-during-protest-in-tulsa-over-george-floyds-death/",1,"Tulsa","Oklahoma","OK","Tulsa","Oklahoma","162","40","000","75000","00000","00000",0,"A","391906",392004,392403,393005,394643,398401,399892,403491,404007,402060,400414,401190
"3",2020-05-26,"Powderhorn, Minneapolis, MN",1000,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://www.startribune.com/police-protesters-must-show-more-restraint-in-minneapolis/570815512/",57,"Powderhorn, Minneapolis","Minnesota","MN","Minneapolis","Minnesota","162","27","000","43000","00000","00000",0,"A","382578",382603,383067,388052,392768,400070,407067,411030,415079,420925,424903,429606
"4",2020-05-26,"Ann Arbor, MI",20,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://www.mlive.com/news/ann-arbor/2020/05/ypsilanti-woman-shown-being-punched-by-deputy-released-from-jail-will-speak-at-friday-protest.html",4,"Ann Arbor","Michigan","MI","Ann Arbor","Michigan","162","26","000","03000","00000","00000",0,"A","113934",113988,114173,115539,116079,116820,118716,119884,120919,121493,121429,119980
"5",2020-05-26,"St. Paul, MN",NA,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://www.cbsnews.com/news/protesters-gather-at-intersection-where-george-floyd-was-pinned-down-by-minneapolis-police/",2,"St. Paul","Minnesota","MN","St. Paul","Minnesota","162","27","000","58000","00000","00000",0,"A","285068",285112,285510,288872,291280,295054,297655,299915,302948,304913,306960,308096
"6",2020-05-26,"Emancipation Park, Houston, TX",NA,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://www.houstonchronicle.com/news/houston-texas/houston/article/Black-Lives-Matter-rally-to-be-held-at-Discovery-15301848.php",3,"Emancipation Park, Houston","Texas","TX","Houston","Texas","162","48","000","35000","00000","00000",0,"A","2099451",2095517,2100280,2126032,2161593,2199391,2241826,2286908,2309544,2316750,2318573,2320268
"7",2020-05-26,"Hammond, IN",NA,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://www.nwitimes.com/news/local/watch-now-protesters-march-down-street-in-hammond/video_66a15098-7fbf-5be9-b034-6f5a396b9fe1.html",1,"Hammond","Indiana","IN","Hammond","Indiana","162","18","000","31000","00000","00000",0,"A","80830",80825,80718,80220,79648,79009,78586,77688,77151,76489,75877,75522
"8",2020-05-26,"Downtown, Los Angeles, CA",NA,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://www.latimes.com/california/story/2020-05-29/protesters-outraged-over-george-floyd-death-shut-down-101-freeway-in-san-jose",1,"Downtown, Los Angeles","California","CA","Los Angeles","California","162","06","000","44000","00000","00000",0,"A","3792621",3793139,3795512,3820876,3851202,3881622,3909901,3938568,3963226,3975788,3977596,3979576
"9",2020-05-26,"Ypsilanti, MI",NA,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://www.mlive.com/news/ann-arbor/2020/05/day-of-rest-postpones-police-brutality-protest-in-ypsilanti-township-to-monday.html",1,"Ypsilanti","Michigan","MI","Ypsilanti","Michigan","162","26","000","89140","00000","00000",0,"A","19435",19569,19586,19730,20018,20505,20634,20948,21034,21062,20910,20171
"10",2020-05-27,"Ann Arbor, MI",100,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://www.mlive.com/news/ann-arbor/2020/05/outraged-residents-block-streets-in-protest-over-washtenaw-deputy-accused-of-punching-black-woman.html",3,"Ann Arbor","Michigan","MI","Ann Arbor","Michigan","162","26","000","03000","00000","00000",0,"A","113934",113988,114173,115539,116079,116820,118716,119884,120919,121493,121429,119980
"11",2020-05-27,"Powderhorn, Minneapolis, MN",8000,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://abcnews.go.com/US/dangerous-protests-erupt-overnight-george-floyds-death-minneapolis/story?id=70924047",56,"Powderhorn, Minneapolis","Minnesota","MN","Minneapolis","Minnesota","162","27","000","43000","00000","00000",0,"A","382578",382603,383067,388052,392768,400070,407067,411030,415079,420925,424903,429606
"12",2020-05-27,"Oakdale, St. Paul, MN",100,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://www.washingtonpost.com/nation/2020/05/27/george-floyd-minneapolis-reaction/",7,"Oakdale, St. Paul","Minnesota","MN","St. Paul","Minnesota","162","27","000","58000","00000","00000",0,"A","285068",285112,285510,288872,291280,295054,297655,299915,302948,304913,306960,308096
"13",2020-05-27,"Memphis, TN",70,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://hosted.ap.org/clevelandbanner/article/911b2a1d5e1a68b244b3bbe81712da11/memphis-police-investigate-incident-floyd-protest",36,"Memphis","Tennessee","TN","Memphis","Tennessee","162","47","000","48000","00000","00000",0,"A","646889",651873,652326,655341,658786,657146,654990,654106,652548,650878,651104,651073
"14",2020-05-27,"Downtown, Los Angeles, CA",200,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://www.latimes.com/california/story/2020-05-27/protestors-block-the-101-freeway",39,"Downtown, Los Angeles","California","CA","Los Angeles","California","162","06","000","44000","00000","00000",0,"A","3792621",3793139,3795512,3820876,3851202,3881622,3909901,3938568,3963226,3975788,3977596,3979576
