record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,city,type,type_sub_cat,type_text,school_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_322T52GsFBKYcVpEh,6318968,new_entry,original,NA,NA,"Pennsylvania Dept of Health announced on 15th June, a partnership with General Healthcare Resources who will assist with infection control practices, staffing, PPE training needs and specimen collection.",2020-06-15,2020-06-15,2021-06-15,United States of America,USA,US,Provincial,0,Pennsylvania,NA,Health Resources,Unspecified Health Staff,NA,NA,United States of America,NA,NA,Pennsylvania,NA,NA,13,NA,NA,Voluntary/Recommended but No Penalties,Ministry/Department of Health,NA,NA,NA,NA,https://www.media.pa.gov/Pages/Health-Details.aspx?newsid=901,2020-08-18,2020-08-18T14:50:31Z
R_3HnRo6KZTHABKgLAg,6987885,new_entry,original,NA,NA,"On June 4, Missouri (U.S. state) governor Mike Parson signed SB361 into law. The bill allows mail-in voting ONLY for voters who request one, amid voter fraud and ballot harvesting concerns. Also allows mail-in ballots to be cast without notarization. 

",2020-06-04,2020-06-04,2020-12-31,United States of America,USA,US,Provincial,1,Missouri,NA,Restrictions of Mass Gatherings,Annually recurring event allowed to occur with certain conditions,NA,NA,United States of America,NA,NA,Missouri,NA,NA,All Residents (Citizen Residents + Foreign Residents),NA,NA,Mandatory (Unspecified/Implied),Provincial/State Government,NA,NA,NA,NA,https://governor.mo.gov/press-releases/archive/governor-parson-takes-security-measures-safeguard-election-process-protect,2020-06-19,2020-06-19T16:47:44Z
R_Byc9eHHlKt0EmNrEg,4965444,update,original,Change of Policy,Strengthening,"On March 13, South Dakota Governor Kristi Noem ordered the South Dakota Department of Health to seek and accept funding or other resources from any entity, governmental or private, to treat, control, and stop the spread of COVID-19 from March 13 through April 12. On April 9, it was extended through May 31 and on May 26, it was extended through December 30. UPDATE: Extended from May 31 to December 30.",2020-05-26,2020-05-31,2020-12-30,United States of America,USA,US,Provincial,0,South Dakota,NA,Health Resources,Unspecified Health Materials,NA,NA,United States of America,NA,NA,South Dakota,NA,NA,13,NA,NA,Mandatory (Unspecified/Implied),Provincial/State Government,NA,NA,NA,NA,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-04.PDF,2020-08-12,2020-08-12T18:55:08Z
R_2frjhbqImDbzSrWAs,6209383,new_entry,original,NA,NA,"Starting March 30, in Missouri, physicians and surgeons licensed in another state can provide care to Missouri citizens, in person or using telehealth options, as long as they are actively licensed in another state and their license has not been disciplined.

At the request of the Missouri State Board of Nursing and the Missouri Board for the Healing Arts, Governor Parson has also temporarily waived the regulation requiring that a collaborating physician and an advanced practice registered nurse (APRN) be within 75 miles of each other. 

Last through state of emergency (12/30)",2020-03-30,2020-03-30,2020-12-30,United States of America,USA,US,Provincial,0,Missouri,NA,Health Resources,Doctors,NA,NA,United States of America,NA,NA,Missouri,NA,NA,13,NA,NA,Mandatory (Unspecified/Implied),Provincial/State Government,52.787942720796025,51.85585642872675,51.22342193129223,62,"https://governor.mo.gov/press-releases/archive/governor-parson-continues-efforts-eliminate-barriers-expand-ability-provide#:~:text=The%20purpose%20of%20the%20reciprocity,has%20not%20been%20disciplined.",2020-07-13,2020-07-13T16:50:55Z
R_2frjhbqImDbzSrWBz,6209383,new_entry,original,NA,NA,"Starting March 30, in Missouri, physicians and surgeons licensed in another state can provide care to Missouri citizens, in person or using telehealth options, as long as they are actively licensed in another state and their license has not been disciplined.

At the request of the Missouri State Board of Nursing and the Missouri Board for the Healing Arts, Governor Parson has also temporarily waived the regulation requiring that a collaborating physician and an advanced practice registered nurse (APRN) be within 75 miles of each other. 

Last through state of emergency (12/30)",2020-03-30,2020-03-30,2020-12-30,United States of America,USA,US,Provincial,0,Missouri,NA,Health Resources,Nurses,NA,NA,United States of America,NA,NA,Missouri,NA,NA,13,NA,NA,Mandatory (Unspecified/Implied),Provincial/State Government,52.787942720796025,51.85585642872675,51.22342193129223,62,"https://governor.mo.gov/press-releases/archive/governor-parson-continues-efforts-eliminate-barriers-expand-ability-provide#:~:text=The%20purpose%20of%20the%20reciprocity,has%20not%20been%20disciplined.",2020-07-13,2020-07-13T16:50:55Z
R_2CiYFqKLkkBrIU3Ag,4599866,new_entry,original,NA,NA,"Arkansas implemented provisions on July 1 for absentee voting - health concern because of COVID-19 is a qualifying reason to vote absentee for the November 3 general election. 

The state will also provide Hand sanitizer, masks/gloves, as well as disposable stylus pens for your signature and vote. This is all to prevent mass gatherings at polling places.",2020-07-10,2020-07-10,2020-11-03,United States of America,USA,US,Provincial,1,Arkansas,NA,Restrictions of Mass Gatherings,Annually recurring event allowed to occur with certain conditions,NA,NA,United States of America,NA,NA,Arkansas,NA,NA,All Residents (Citizen Residents + Foreign Residents),NA,NA,Voluntary/Recommended but No Penalties,Provincial/State Government,NA,NA,NA,NA,https://governor.arkansas.gov/news-media/press-releases/governor-hutchinsons-weekly-address-voting-in-the-age-of-covid-19,2020-07-13,2020-07-13T14:44:26Z
R_YavX4HgHgr0iGWJAg,5808354,new_entry,original,NA,NA,"To prevent mass gatherings at the election on Nov 3, 2020, Maryland ANNOUNCED on July 8 :

To ensure that every Marylander who wants to vote by mail can vote by mail, state will send out an absentee ballot request application to every eligible Maryland voter.
Every effort should be made to promote early voting, absentee voting by mail, and voting at off-peak times as safe and efficient options.",2020-07-08,2020-07-08,2020-11-03,United States of America,USA,US,Provincial,1,Maryland,NA,Restrictions of Mass Gatherings,Annually recurring event allowed to occur with certain conditions,NA,NA,United States of America,NA,NA,Maryland,NA,NA,All Residents (Citizen Residents + Foreign Residents),NA,NA,Mandatory (Unspecified/Implied),Other (Please specify in the text box),NA,NA,NA,NA,https://governor.maryland.gov/2020/07/08/governor-hogan-directs-state-board-of-elections-to-conduct-november-general-election-with-enhanced-voting-options/,2020-07-09,2020-07-09T16:04:34Z
R_3PRLO9Tv6H8shVLAa,8259937,update,original,Change of Policy,Strengthening,"US state Michigan introduced business restriction policies to protect migrant workers in the agricultural sector on June 1, 2020

Update: The policy has been extended until November 1, on June 29. UPDATE: The original business restriction was set to last until June 30, it has been extended to November 1.",2020-06-01,2020-06-01,2020-11-01,United States of America,USA,US,Provincial,0,Michigan,NA,Restriction and Regulation of Businesses,Agriculture; forestry and fishing,NA,NA,United States of America,NA,NA,Michigan,NA,NA,13,NA,NA,Mandatory (Unspecified/Implied),Provincial/State Government,NA,NA,NA,NA,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90640-530677--,00.html",2020-07-08,2020-07-08T11:37:54Z
R_26aKAqlaag6xK9CBz,513614,update,original,NA,Relaxing,"Pennsylvania Extends License Renewal Deadlines for Nurses and Others During Coronavirus Emergency to September 28, announced on March 27. UPDATE: Originally Pennsylvania waives and relaxes nurse licensing requirements to allow nurses to continue working and aid coronavirus response on 21 March 2020. These relaxations have been further extended to Sept. 28, 2020 - on March 27 2020.",2020-04-27,2020-03-27,2020-09-28,United States of America,USA,US,Provincial,0,Pennsylvania,NA,Health Resources,Nurses,NA,NA,United States of America,A geographical or administrative unit within a country,NA,Pennsylvania,NA,NA,13,NA,Not Applicable,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Provincial/State Government,Other (Please specify in the text box)",52.67395709410181,51.73972632779031,50.977992728469516,61,https://www.media.pa.gov/pages/State-details.aspx?newsid=380,2020-04-25,2020-04-25T09:52:19Z
R_2cw4oSpV3mgr2iiBn,5168825,new_entry,original,NA,NA,Governor Kelly signs a new executive order waiving the requirement for Kansas receiving unemployment to actively seek work each week.,2020-06-30,2020-06-30,2020-09-15,United States of America,USA,US,Provincial,1,Kansas,NA,Restriction and Regulation of Government Services,Issuing of permits/certificates and/or processing of government documents,NA,NA,United States of America,NA,NA,Kansas,NA,NA,All Residents (Citizen Residents + Foreign Residents),NA,NA,Mandatory (Unspecified/Implied),Provincial/State Government,NA,NA,NA,NA,https://governor.kansas.gov/wp-content/uploads/2020/06/EO-20-50-Signed.pdf,2020-07-03,2020-07-03T04:41:15Z
